TimePeriod,Current account; Goods; Exports (fob) total,Current account; Services; Exports total,Current account; Goods; Imports (fob) total,Current account; Services; Imports total
1971Q2,350,55,253,99
1971Q3,357,56,294,102
1971Q4,274,60,265,102
1972Q1,326,65,272,102
1972Q2,434,65,281,116
1972Q3,380,63,278,111
1972Q4,341,68,339,113
1973Q1,490,84,335,114
1973Q2,548,86,316,148
1973Q3,465,77,416,151
1973Q4,406,86,396,146
1974Q1,443,99,473,150
1974Q2,482,102,589,184
1974Q3,424,98,654,188
1974Q4,391,113,740,186
1975Q1,348,127,617,171
1975Q2,477,123,567,206
1975Q3,458,127,573,198
1975Q4,540,156,734,207
1976Q1,587,165,730,205
1976Q2,818,152,759,229
1976Q3,716,151,768,241
1976Q4,718,180,817,233
1977Q1,795,196,806,232
1977Q2,990,181,845,321
1977Q3,774,174,876,291
1977Q4,743,190,788,280
1978Q1,840,200,702,237
1978Q2,991,206,762,328
1978Q3,846,197,860,340
1978Q4,927,235,820,314
1979Q1,1057,266,853,317
1979Q2,1206,237,1043,438
1979Q3,1072,224,1071,430
1979Q4,1278,261,1207,398
1980Q1,1364,286,1276,383
1980Q2,1456,261,1235,491
1980Q3,1347,282,1375,528
1980Q4,1398,324,1348,528
1981Q1,1515,355,1229,467
1981Q2,1796,358,1615,622
1981Q3,1544,356,1621,660
1981Q4,1598,409,1719,577
1982Q1,1686,443,1682,580
1982Q2,1910,398,2084,697
1982Q3,1729,406,1910,776
1982Q4,1781,490,1785,679
1983Q1,1942,547,1555,701
1983Q2,2123,487,1841,640
1983Q3,1997,548,2107,800
1983Q4,1938,575,1983,670
1984Q1,2182,660,2202,701
1984Q2,2302,600,2373,801
1984Q3,2392,772,2943,916
1984Q4,2540,771,2775,861
1985Q1,3055,859,2908,794
1985Q2,3165,812,2965,980
1985Q3,2690,692,3025,971
1985Q4,2451,868,2508,919
1986Q1,2464,998,2899,904
1986Q2,2856,815,2438,1125
1986Q3,3044,784,2940,1108
1986Q4,2829,1082,2717,1092
1987Q1,2801,1226,2689,1036
1987Q2,3410,931,2732,1248
1987Q3,3087,907,2900,1152
1987Q4,3008,1141,2916,1133
1988Q1,3247,1307,2422,1076
1988Q2,3390,1011,2331,1311
1988Q3,3352,933,2632,1295
1988Q4,3570,1120,2804,1245
1989Q1,3680,1314,2821,1140
1989Q2,4210,951,3103,1393
1989Q3,3400,983,3460,1528
1989Q4,3614,1218,3802,1362
1990Q1,3808,1372,3178,1192
1990Q2,4117,1075,3339,1522
1990Q3,3806,979,3705,1531
1990Q4,3865,1201,3661,1408
1991Q1,3898,1430,3215,1295
