Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201904,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,"286,660",4,"52,000",2,"338,660",6,Final,,,,
201904,101210027,"Horses; live, pure-bred breeding animals, thoroughbred, breeding stock, excluding race or sport breeding stock, mares",NMB,"296,743",8,"598,725",1,"895,468",9,Final,,,,
201904,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"3,465,367",74,"222,220",2,"3,687,587",76,Final,,,,
201904,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"1,227,697",29,"333,330",1,"1,561,027",30,Final,,,,
201904,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"251,641",18,0,0,"251,641",18,Final,,,,
201904,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"194,967",20,"71,000",1,"265,967",21,Final,,,,
201904,101290023,"Horses; live, other than pure-bred breeding animals, sport horses, other than for racing, thoroughbred, mares and fillies",NMB,"68,600",6,0,0,"68,600",6,Final,,,,
201904,101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,"47,000",1,0,0,"47,000",1,Final,,,,
201904,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"467,717",157,0,0,"467,717",157,Final,,,,
201904,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"337,924",33,0,0,"337,924",33,Final,,,,
201904,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"13,762,730","5,711",0,0,"13,762,730","5,711",Final,,,,
201904,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"3,850,955","159,104","468,796","16,640","4,319,751","175,744",Final,,,,
201904,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"73,520","7,628",0,0,"73,520","7,628",Final,,,,
201904,106200000,Reptiles; live (including snakes and turtles),NMB,"22,532",40,0,0,"22,532",40,Final,,,,
201904,106410010,"Insects; live, queen bees, in packages",NMB,"795,779","10,865",0,0,"795,779","10,865",Final,,,,
201904,106410019,"Insects; live, queen bees, other than in packages",NMB,"19,998",460,0,0,"19,998",460,Final,,,,
201904,106410029,"Insects; live, bees other than queen bees",NMB,"752,061","57,024,310",0,0,"752,061","57,024,310",Final,,,,
201904,201200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, fresh or chilled",KGM,"11,124",773,0,0,"11,124",773,Final,,,,
201904,201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,"13,906",366,0,0,"13,906",366,Final,,,,
201904,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"958,381","64,385",0,0,"958,381","64,385",Final,,,,
201904,201200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"1,416",102,0,0,"1,416",102,Final,,,,
201904,201200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0201.20, fresh or chilled",KGM,"17,920","1,823",0,0,"17,920","1,823",Final,,,,
