Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202204,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"2,638,260",30,"600,000",2,"3,238,260",32,Final,,,,
202204,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"4,584,000",30,"635,000",5,"5,219,000",35,Final,,,,
202204,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"360,402",24,0,0,"360,402",24,Final,,,,
202204,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"199,002",22,0,0,"199,002",22,Final,,,,
202204,101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,"12,000",1,0,0,"12,000",1,Final,,,,
202204,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"283,000",12,0,0,"283,000",12,Final,,,,
202204,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"661,116",14,0,0,"661,116",14,Final,,,,
202204,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"33,412,973","13,054",0,0,"33,412,973","13,054",Final,,,,
202204,102290010,"Cattle; live, other than pure-bred, for breeding, dairy",NMB,"1,834,573",658,0,0,"1,834,573",658,Final,,,,
202204,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"2,080,289","135,612",0,0,"2,080,289","135,612",Final,,,,
202204,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"1,252,987","21,121",0,0,"1,252,987","21,121",Final,,,,
202204,106190029,"Mammals; live, other than primates, whales, dolphins, porpoises (order Cetacea), manatees, dugongs (order Sirenia), seals, sea lions, walruses (suborder Pinnipedia), camels, other camelids, rabbits, hares, deer, and dogs",NMB,"1,112",2,0,0,"1,112",2,Final,,,,
202204,106200000,Reptiles; live (including snakes and turtles),NMB,"14,910",20,0,0,"14,910",20,Final,,,,
