Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,
202204,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Australia,"2,638,260",30,"600,000",2,"3,238,260",32,Final,,,
202204,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Australia,"4,438,500",23,"635,000",5,"5,073,500",28,Final,,,
202204,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,United Kingdom,"145,500",7,0,0,"145,500",7,Final,,,
202204,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,Australia,"360,402",24,0,0,"360,402",24,Final,,,
202204,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,Australia,"199,002",22,0,0,"199,002",22,Final,,,
202204,101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,Australia,"12,000",1,0,0,"12,000",1,Final,,,
202204,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,Australia,"5,000",1,0,0,"5,000",1,Final,,,
202204,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,United Kingdom,"278,000",11,0,0,"278,000",11,Final,,,
202204,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,Australia,"441,116",11,0,0,"441,116",11,Final,,,
202204,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,United Kingdom,"220,000",3,0,0,"220,000",3,Final,,,
202204,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"China, People's Republic of","33,412,973","13,054",0,0,"33,412,973","13,054",Final,,,
202204,102290010,"Cattle; live, other than pure-bred, for breeding, dairy",NMB,"China, People's Republic of","1,834,573",658,0,0,"1,834,573",658,Final,,,
202204,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"China, People's Republic of","1,116,509","29,952",0,0,"1,116,509","29,952",Final,,,
202204,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Fiji,"125,304","52,044",0,0,"125,304","52,044",Final,,,
202204,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Papua New Guinea,"185,092","20,506",0,0,"185,092","20,506",Final,,,
202204,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Philippines,"653,384","33,110",0,0,"653,384","33,110",Final,,,
202204,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Bangladesh,"745,428","13,200",0,0,"745,428","13,200",Final,,,
202204,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Malaysia,"427,846","5,800",0,0,"427,846","5,800",Final,,,
202204,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Papua New Guinea,"79,713","2,121",0,0,"79,713","2,121",Final,,,
202204,106190029,"Mammals; live, other than primates, whales, dolphins, porpoises (order Cetacea), manatees, dugongs (order Sirenia), seals, sea lions, walruses (suborder Pinnipedia), camels, other camelids, rabbits, hares, deer, and dogs",NMB,Australia,"1,112",2,0,0,"1,112",2,Final,,,
202204,106200000,Reptiles; live (including snakes and turtles),NMB,Japan,"14,910",20,0,0,"14,910",20,Final,,,
202204,106320000,"Birds; live, Psittaciformes, including parrots, parakeets, macaws, and cockatoos",NMB,"Korea, Republic of","105,166",41,0,0,"105,166",41,Final,,,
202204,106410010,"Insects; live, queen bees, in packages",NMB,Canada,"768,996","5,269",0,0,"768,996","5,269",Final,,,
202204,106410019,"Insects; live, queen bees, other than in packages",NMB,Canada,"1,655",36,0,0,"1,655",36,Final,,,
202204,106410029,"Insects; live, bees other than queen bees",NMB,Canada,"297,639","19,008,000",0,0,"297,639","19,008,000",Final,,,
202204,201200029,"Meat; of bovine animals, beef quarters of cow, G grade, with bone in, fresh or chilled",KGM,United Arab Emirates,"3,782",219,0,0,"3,782",219,Final,,,
