Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202304,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,"112,000",1,0,0,"112,000",1,Provisional,,,,
202304,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"3,831,521",48,"798,488",7,"4,630,009",55,Provisional,,,,
202304,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"1,581,960",36,0,0,"1,581,960",36,Provisional,,,,
202304,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"346,371",21,0,0,"346,371",21,Provisional,,,,
202304,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"273,902",17,0,0,"273,902",17,Provisional,,,,
202304,101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,"17,000",1,0,0,"17,000",1,Provisional,,,,
202304,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"250,103",18,0,0,"250,103",18,Provisional,,,,
202304,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"864,733",21,0,0,"864,733",21,Provisional,,,,
202304,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"20,816,583","8,457",0,0,"20,816,583","8,457",Provisional,,,,
202304,102290010,"Cattle; live, other than pure-bred, for breeding, dairy",NMB,"11,077,645","5,205",0,0,"11,077,645","5,205",Provisional,,,,
202304,104100001,"Sheep; live, for breeding",NMB,"73,839",8,0,0,"73,839",8,Provisional,,,,
202304,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"2,801,355","148,779",0,0,"2,801,355","148,779",Provisional,,,,
