Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,
202304,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,Australia,"112,000",1,0,0,"112,000",1,Provisional,,,
202304,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Australia,"3,646,521",40,"663,488",5,"4,310,009",45,Provisional,,,
202304,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Singapore,"185,000",8,"135,000",2,"320,000",10,Provisional,,,
202304,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Australia,"1,316,160",25,0,0,"1,316,160",25,Provisional,,,
202304,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,United Kingdom,"255,800",10,0,0,"255,800",10,Provisional,,,
202304,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Singapore,"10,000",1,0,0,"10,000",1,Provisional,,,
202304,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,Australia,"346,371",21,0,0,"346,371",21,Provisional,,,
202304,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,Australia,"273,902",17,0,0,"273,902",17,Provisional,,,
202304,101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,Australia,"17,000",1,0,0,"17,000",1,Provisional,,,
202304,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,Australia,"174,103",15,0,0,"174,103",15,Provisional,,,
202304,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,United Kingdom,"76,000",3,0,0,"76,000",3,Provisional,,,
202304,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,Australia,"708,233",14,0,0,"708,233",14,Provisional,,,
202304,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,United Kingdom,"156,500",7,0,0,"156,500",7,Provisional,,,
202304,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"China, People's Republic of","20,816,583","8,457",0,0,"20,816,583","8,457",Provisional,,,
202304,102290010,"Cattle; live, other than pure-bred, for breeding, dairy",NMB,"China, People's Republic of","11,077,645","5,205",0,0,"11,077,645","5,205",Provisional,,,
