Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201908,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,"2,963,760",68,"882,070",10,"3,845,830",78,Final,,,,
201908,101210019,"Horses; live, pure-bred breeding animals, thoroughbred, sport breeding stock, excluding race breeding stock, mares",NMB,"12,000",1,0,0,"12,000",1,Final,,,,
201908,101210027,"Horses; live, pure-bred breeding animals, thoroughbred, breeding stock, excluding race or sport breeding stock, mares",NMB,"31,903",3,0,0,"31,903",3,Final,,,,
201908,101210033,"Horses; live, pure-bred breeding animals, standardbred, race breeding stock, mares",NMB,"5,525",1,0,0,"5,525",1,Final,,,,
201908,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"9,891,900",77,0,0,"9,891,900",77,Final,,,,
201908,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"2,191,568",39,0,0,"2,191,568",39,Final,,,,
201908,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"535,800",23,0,0,"535,800",23,Final,,,,
201908,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"236,757",18,0,0,"236,757",18,Final,,,,
201908,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"84,554",9,0,0,"84,554",9,Final,,,,
201908,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"86,500",12,0,0,"86,500",12,Final,,,,
201908,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"8,823,512","4,400",0,0,"8,823,512","4,400",Final,,,,
201908,102290010,"Cattle; live, other than pure-bred, for breeding, dairy",NMB,"2,007,536","1,000",0,0,"2,007,536","1,000",Final,,,,
201908,104200010,"Goats; live, for breeding",NMB,"20,170",12,0,0,"20,170",12,Final,,,,
201908,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"1,700,284","79,923","494,820","16,640","2,195,104","96,563",Final,,,,
201908,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"171,310","18,531",0,0,"171,310","18,531",Final,,,,
201908,105990001,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g, for breeding",NMB,"80,000","9,568",0,0,"80,000","9,568",Final,,,,
201908,106410029,"Insects; live, bees other than queen bees",NMB,"1,970",300,0,0,"1,970",300,Final,,,,
201908,201200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, fresh or chilled",KGM,"5,337",410,0,0,"5,337",410,Final,,,,
201908,201200029,"Meat; of bovine animals, beef quarters of cow, G grade, with bone in, fresh or chilled",KGM,"2,008",62,0,0,"2,008",62,Final,,,,
201908,201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,"30,424",847,0,0,"30,424",847,Final,,,,
201908,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"1,022,428","56,554",0,0,"1,022,428","56,554",Final,,,,
201908,201200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"113,699","8,642",0,0,"113,699","8,642",Final,,,,
201908,201200059,"Meat; of bovine animals, quarters and cuts of veal (other than bobby), with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"5,144",283,0,0,"5,144",283,Final,,,,
201908,201200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0201.20, fresh or chilled",KGM,"20,826","1,880",0,0,"20,826","1,880",Final,,,,
201908,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"31,945,274","2,275,359","1,030",81,"31,946,304","2,275,440",Final,,,,
201908,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"781,085","92,963",0,0,"781,085","92,963",Final,,,,
201908,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,"1,904,455","160,486",0,0,"1,904,455","160,486",Final,,,,
201908,201300021,"Meat; of bovine animals, boneless cuts of veal (bobby), fresh or chilled",KGM,"49,503","4,259",0,0,"49,503","4,259",Final,,,,
201908,202100001,"Meat; of bovine animals, carcasses, frozen",KGM,"3,889,935","749,985",0,0,"3,889,935","749,985",Final,,,,
201908,202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,"6,092",381,0,0,"6,092",381,Final,,,,
201908,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"11,524,366","1,782,391",0,0,"11,524,366","1,782,391",Final,,,,
201908,202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"1,716,715","734,060",0,0,"1,716,715","734,060",Final,,,,
201908,202200051,"Meat; of bovine animals, beef cuts of bull, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"3,384,142","709,708",0,0,"3,384,142","709,708",Final,,,,
201908,202200059,"Meat; of bovine animals, veal (other than bobby) quarters and cuts, with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"28,357","2,388",0,0,"28,357","2,388",Final,,,,
201908,202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,"12,798,645","2,893,392",0,0,"12,798,645","2,893,392",Final,,,,
201908,202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"95,894,951","11,847,143",0,0,"95,894,951","11,847,143",Final,,,,
201908,202300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"2,918,869","402,752",0,0,"2,918,869","402,752",Final,,,,
201908,202300011,"Meat; of bovine animals, boneless cuts of bull, frozen",KGM,"32,284,270","3,667,184",0,0,"32,284,270","3,667,184",Final,,,,
201908,202300021,"Meat; of bovine animals, boneless cuts of veal (bobby), frozen",KGM,"17,930,380","2,717,905",0,0,"17,930,380","2,717,905",Final,,,,
201908,202300029,"Meat; of bovine animals, boneless cuts of veal (other than bobby), frozen",KGM,"22,161","10,354",0,0,"22,161","10,354",Final,,,,
201908,203110008,"Meat; of swine, carcasses and half-carcasses, (other than wild pork), fresh or chilled",KGM,"3,521",350,0,0,"3,521",350,Final,,,,
201908,203120009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, fresh or chilled",KGM,"7,111","2,641",0,0,"7,111","2,641",Final,,,,
201908,203190009,"Meat; of swine (other than wild pork), fresh or chilled, (excluding carcasses, half-carcasses, and hams, shoulders and cuts thereof, with bone in)",KGM,464,31,0,0,464,31,Final,,,,
201908,203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,"216,061","50,197",0,0,"216,061","50,197",Final,,,,
