Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202208,101210010,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, stallions",NMB,0,0,"37,552",1,"37,552",1,Final,,,,
202208,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,"30,200",3,"10,000",1,"40,200",4,Final,,,,
202208,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"4,680,246",37,"130,000",1,"4,810,246",38,Final,,,,
202208,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"121,640",6,0,0,"121,640",6,Final,,,,
202208,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"593,502",31,0,0,"593,502",31,Final,,,,
202208,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"274,291",17,0,0,"274,291",17,Final,,,,
202208,101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,"46,800",2,0,0,"46,800",2,Final,,,,
202208,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"22,330",5,0,0,"22,330",5,Final,,,,
202208,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"446,973",15,0,0,"446,973",15,Final,,,,
202208,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"5,171,620","1,185",0,0,"5,171,620","1,185",Final,,,,
202208,102290010,"Cattle; live, other than pure-bred, for breeding, dairy",NMB,"23,514,508","7,773",0,0,"23,514,508","7,773",Final,,,,
202208,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"3,172,975","222,547",0,0,"3,172,975","222,547",Final,,,,
