Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202508,0101210010,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, stallions",NMB,"155,141",9,0,0,"155,141",9,Provisional
202508,0101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,"2,607",1,0,0,"2,607",1,Provisional
202508,0101210027,"Horses; live, pure-bred breeding animals, thoroughbred, breeding stock, excluding race or sport breeding stock, mares",NMB,"33,246",3,0,0,"33,246",3,Provisional
202508,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"5,199,413",27,"1,209,945",8,"6,409,358",35,Provisional
202508,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"2,962,466",5,"380,000",2,"3,342,466",7,Provisional
202508,0101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"392,469",11,0,0,"392,469",11,Provisional
202508,0101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"187,536",4,0,0,"187,536",4,Provisional
202508,0101290021,"Horses; live, other than pure-bred breeding animals, sport horses, other than for racing, thoroughbred, stallions, colts, and geldings",NMB,"10,000",1,0,0,"10,000",1,Provisional
202508,0101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,"25,518",3,0,0,"25,518",3,Provisional
202508,0101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"86,154",4,0,0,"86,154",4,Provisional
202508,0101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"404,545",5,0,0,"404,545",5,Provisional
202508,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"2,574,402","190,653",0,0,"2,574,402","190,653",Provisional
202508,0105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"2,901,161","112,619",0,0,"2,901,161","112,619",Provisional
202508,0201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"1,073,065","48,523",0,0,"1,073,065","48,523",Provisional
202508,0201200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"23,859",884,0,0,"23,859",884,Provisional
202508,0201200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0201.20, fresh or chilled",KGM,"69,402","5,072",0,0,"69,402","5,072",Provisional
202508,0201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"61,974,444","2,945,503",0,0,"61,974,444","2,945,503",Provisional
202508,0201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"823,987","56,329",0,0,"823,987","56,329",Provisional
202508,0201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,"1,092,619","38,618",0,0,"1,092,619","38,618",Provisional
202508,0201300021,"Meat; of bovine animals, boneless cuts of veal (bobby), fresh or chilled",KGM,"88,007","5,593",0,0,"88,007","5,593",Provisional
202508,0202100001,"Meat; of bovine animals, carcasses, frozen",KGM,"38,762","8,707",0,0,"38,762","8,707",Provisional
202508,0202100011,"Meat; of bovine animals, half-carcasses of veal (other than bobby), frozen",KGM,"29,259","7,050",0,0,"29,259","7,050",Provisional
202508,0202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,"936,309","59,739",0,0,"936,309","59,739",Provisional
202508,0202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"13,866,573","1,774,042","2,588",88,"13,869,161","1,774,130",Provisional
202508,0202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"4,019,573","1,545,073",0,0,"4,019,573","1,545,073",Provisional
202508,0202200051,"Meat; of bovine animals, beef cuts of bull, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"2,829,230","666,052",0,0,"2,829,230","666,052",Provisional
