Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202508,0101210010,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, stallions",NMB,Australia,"155,141",9,0,0,"155,141",9,Final
202508,0101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,Australia,"2,607",1,0,0,"2,607",1,Final
202508,0101210027,"Horses; live, pure-bred breeding animals, thoroughbred, breeding stock, excluding race or sport breeding stock, mares",NMB,Australia,"33,246",3,0,0,"33,246",3,Final
202508,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Australia,"834,413",11,"94,945",2,"929,358",13,Final
202508,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Hong Kong (Special Administrative Region),"4,270,000",13,"1,005,000",4,"5,275,000",17,Final
202508,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Malaysia,"95,000",3,"110,000",2,"205,000",5,Final
202508,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Australia,"2,962,466",5,"380,000",2,"3,342,466",7,Final
202508,0101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,Australia,"392,469",11,0,0,"392,469",11,Final
202508,0101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,Australia,"187,536",4,0,0,"187,536",4,Final
202508,0101290021,"Horses; live, other than pure-bred breeding animals, sport horses, other than for racing, thoroughbred, stallions, colts, and geldings",NMB,Australia,"10,000",1,0,0,"10,000",1,Final
202508,0101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,Australia,"25,518",3,0,0,"25,518",3,Final
202508,0101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,Australia,"86,154",4,0,0,"86,154",4,Final
