Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Imports ($NZD vfd),Imports ($NZD cif),Imports Qty,Status
202508,0101210031,"Horses; live, pure-bred breeding animals, standardbred, race breeding stock, stallions",NMB,United States of America,"84,000","146,118",1,Final
202508,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Australia,"99,853","129,983",5,Final
202508,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,New Zealand,"21,980","28,730",1,Final
202508,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,United States of America,"6,745","56,745",1,Final
202508,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Australia,"171,279","234,754",10,Final
202508,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,New Zealand,"44,980","63,565",3,Final
202508,0101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,New Zealand,"142,857","148,907",1,Final
202508,0101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,Australia,"49,100","55,550",1,Final
202508,0101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,Australia,"74,112","86,212",2,Final
202508,0101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,Australia,"39,000","57,950",3,Final
202508,0101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,United States of America,"164,183","266,423",2,Final
202508,0106140000,"Mammals; live, rabbits and hares",NMB,Australia,"2,809","4,372",5,Final
202508,0106190019,"Mammals; live, dogs",NMB,Australia,"61,779","86,120",15,Final
202508,0106190019,"Mammals; live, dogs",NMB,Spain,"4,863","11,357",1,Final
202508,0106190019,"Mammals; live, dogs",NMB,United Kingdom,"2,955","10,835",2,Final
202508,0106190019,"Mammals; live, dogs",NMB,Portugal,"3,000","12,030",1,Final
202508,0106190029,"Mammals; live, other than primates, whales, dolphins, porpoises (order Cetacea), manatees, dugongs (order Sirenia), seals, sea lions, walruses (suborder Pinnipedia), camels, other camelids, rabbits, hares, deer, and dogs",NMB,Australia,"1,111","1,409",2,Final
202508,0106190029,"Mammals; live, other than primates, whales, dolphins, porpoises (order Cetacea), manatees, dugongs (order Sirenia), seals, sea lions, walruses (suborder Pinnipedia), camels, other camelids, rabbits, hares, deer, and dogs",NMB,Poland,"4,000","6,780",1,Final
202508,0106190029,"Mammals; live, other than primates, whales, dolphins, porpoises (order Cetacea), manatees, dugongs (order Sirenia), seals, sea lions, walruses (suborder Pinnipedia), camels, other camelids, rabbits, hares, deer, and dogs",NMB,United States of America,"14,734","21,962",7,Final
202508,0106490000,"Insects; live, other than bees",NMB,Costa Rica,"6,368","7,982","1,295",Final
202508,0201200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Australia,"22,537","23,962",834,Final
202508,0201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Australia,"1,408,465","1,422,964","74,149",Final
202508,0201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Australia,"8,940,471","9,064,242","562,950",Final
202508,0201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,New Zealand,"347,604","350,311","15,679",Final
202508,0201300029,"Meat; of bovine animals, boneless cuts of veal (other than bobby), fresh or chilled",KGM,Australia,"99,093","107,351","2,713",Final
202508,0202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,New Zealand,"18,274","18,768","6,778",Final
202508,0202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Australia,"1,338","1,484",35,Final
202508,0202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,Australia,"1,878,910","1,907,589","249,527",Final
202508,0202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,Japan,"161,265","163,597","1,916",Final
202508,0202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,New Zealand,"492,623","511,079","47,698",Final
202508,0202300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,Australia,"4,472,161","4,584,364","572,466",Final
202508,0202300011,"Meat; of bovine animals, boneless cuts of bull, frozen",KGM,Australia,"31,770","31,770","2,319",Final
202508,0202300029,"Meat; of bovine animals, boneless cuts of veal (other than bobby), frozen",KGM,Australia,"5,020","5,359",216,Final
202508,0203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,Canada,"914,955","983,376","164,439",Final
