Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201912,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,"38,540",4,0,0,"38,540",4,Provisional,,,,
201912,101210027,"Horses; live, pure-bred breeding animals, thoroughbred, breeding stock, excluding race or sport breeding stock, mares",NMB,"1,989,047",27,"926,731",5,"2,915,778",32,Provisional,,,,
201912,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"6,001,611",82,"114,870",7,"6,116,481",89,Provisional,,,,
201912,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"1,213,024",22,0,0,"1,213,024",22,Provisional,,,,
201912,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"337,782",21,0,0,"337,782",21,Provisional,,,,
201912,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"106,200",7,0,0,"106,200",7,Provisional,,,,
201912,101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,"1,001",1,0,0,"1,001",1,Provisional,,,,
201912,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"2,000",1,0,0,"2,000",1,Provisional,,,,
201912,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"68,000",2,0,0,"68,000",2,Provisional,,,,
201912,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"13,612,000","6,786",0,0,"13,612,000","6,786",Provisional,,,,
201912,104100001,"Sheep; live, for breeding",NMB,"48,834",7,0,0,"48,834",7,Provisional,,,,
201912,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"5,059,456","265,097","1,352,621","43,264","6,412,077","308,361",Provisional,,,,
201912,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"253,979","55,770",0,0,"253,979","55,770",Provisional,,,,
201912,105990001,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g, for breeding",NMB,"148,440","17,071",0,0,"148,440","17,071",Provisional,,,,
201912,106190019,"Mammals; live, dogs",NMB,"2,000",4,0,0,"2,000",4,Provisional,,,,
