Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202212,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,0,0,"56,180",1,"56,180",1,Provisional,,,,
202212,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"2,736,532",35,"260,000",1,"2,996,532",36,Provisional,,,,
202212,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"1,258,702",21,0,0,"1,258,702",21,Provisional,,,,
202212,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"889,800",17,0,0,"889,800",17,Provisional,,,,
202212,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"123,000",10,0,0,"123,000",10,Provisional,,,,
202212,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"50,500",4,0,0,"50,500",4,Provisional,,,,
202212,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"378,088",11,0,0,"378,088",11,Provisional,,,,
202212,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"9,917,446","3,087",0,0,"9,917,446","3,087",Provisional,,,,
202212,102290010,"Cattle; live, other than pure-bred, for breeding, dairy",NMB,"27,239,083","10,072",0,0,"27,239,083","10,072",Provisional,,,,
202212,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"920,657","161,540",0,0,"920,657","161,540",Provisional,,,,
202212,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"1,152,365","72,904",0,0,"1,152,365","72,904",Provisional,,,,
202212,106190019,"Mammals; live, dogs",NMB,"2,000",2,0,0,"2,000",2,Provisional,,,,
202212,201100011,"Meat; of bovine animals, half-carcasses of veal (other than bobby), fresh or chilled",KGM,"218,055","16,400",0,0,"218,055","16,400",Provisional,,,,
202212,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"1,333,181","68,163",0,0,"1,333,181","68,163",Provisional,,,,
202212,201200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0201.20, fresh or chilled",KGM,"1,473",53,0,0,"1,473",53,Provisional,,,,
202212,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"43,299,798","2,569,471","3,045",144,"43,302,843","2,569,615",Provisional,,,,
202212,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"1,032,722","105,024",0,0,"1,032,722","105,024",Provisional,,,,
202212,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,"3,769,419","266,217",0,0,"3,769,419","266,217",Provisional,,,,
