Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,
202212,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,Australia,0,0,"56,180",1,"56,180",1,Provisional,,,
202212,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Australia,"2,686,532",32,"260,000",1,"2,946,532",33,Provisional,,,
202212,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Singapore,"50,000",3,0,0,"50,000",3,Provisional,,,
202212,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Australia,"1,249,702",18,0,0,"1,249,702",18,Provisional,,,
202212,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Malaysia,"9,000",3,0,0,"9,000",3,Provisional,,,
202212,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,Australia,"889,800",17,0,0,"889,800",17,Provisional,,,
202212,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,Australia,"123,000",10,0,0,"123,000",10,Provisional,,,
202212,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,Australia,"50,500",4,0,0,"50,500",4,Provisional,,,
202212,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,Australia,"378,088",11,0,0,"378,088",11,Provisional,,,
202212,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"China, People's Republic of","9,917,446","3,087",0,0,"9,917,446","3,087",Provisional,,,
202212,102290010,"Cattle; live, other than pure-bred, for breeding, dairy",NMB,"China, People's Republic of","27,239,083","10,072",0,0,"27,239,083","10,072",Provisional,,,
202212,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Cook Islands,"2,003",312,0,0,"2,003",312,Provisional,,,
202212,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Fiji,"123,879","49,649",0,0,"123,879","49,649",Provisional,,,
202212,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Sri Lanka,"44,416","7,415",0,0,"44,416","7,415",Provisional,,,
202212,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Malaysia,"481,045","10,484",0,0,"481,045","10,484",Provisional,,,
202212,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,New Caledonia,"8,173","8,100",0,0,"8,173","8,100",Provisional,,,
202212,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,French Polynesia,"24,373","8,020",0,0,"24,373","8,020",Provisional,,,
202212,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Papua New Guinea,"134,117","13,656",0,0,"134,117","13,656",Provisional,,,
202212,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Philippines,"34,884","19,080",0,0,"34,884","19,080",Provisional,,,
202212,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Tonga,"15,270","31,200",0,0,"15,270","31,200",Provisional,,,
202212,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Samoa,"52,497","13,624",0,0,"52,497","13,624",Provisional,,,
