Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201902,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,"17,160",2,0,0,"17,160",2,Final,,,,
201902,101210027,"Horses; live, pure-bred breeding animals, thoroughbred, breeding stock, excluding race or sport breeding stock, mares",NMB,"1,209,586",7,0,0,"1,209,586",7,Final,,,,
201902,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"9,267,000",121,"200,000",1,"9,467,000",122,Final,,,,
201902,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"4,357,632",67,0,0,"4,357,632",67,Final,,,,
201902,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"241,000",21,0,0,"241,000",21,Final,,,,
201902,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"498,400",15,0,0,"498,400",15,Final,,,,
201902,101290021,"Horses; live, other than pure-bred breeding animals, sport horses, other than for racing, thoroughbred, stallions, colts, and geldings",NMB,"16,660",1,0,0,"16,660",1,Final,,,,
201902,101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,"15,000",1,0,0,"15,000",1,Final,,,,
201902,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"54,000",4,0,0,"54,000",4,Final,,,,
201902,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"86,450",5,0,0,"86,450",5,Final,,,,
201902,102290029,"Cattle; live, other than pure-bred, other than for breeding",NMB,"319,285",221,0,0,"319,285",221,Final,,,,
201902,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"3,820,295","162,072","942,270","33,280","4,762,565","195,352",Final,,,,
201902,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"511,824","47,808",0,0,"511,824","47,808",Final,,,,
