Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,
201902,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,Australia,"17,160",2,0,0,"17,160",2,Final,,,
201902,101210027,"Horses; live, pure-bred breeding animals, thoroughbred, breeding stock, excluding race or sport breeding stock, mares",NMB,Australia,"1,209,586",7,0,0,"1,209,586",7,Final,,,
201902,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Australia,"9,074,000",112,"200,000",1,"9,274,000",113,Final,,,
201902,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Singapore,"193,000",9,0,0,"193,000",9,Final,,,
201902,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Australia,"4,357,632",67,0,0,"4,357,632",67,Final,,,
201902,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,Australia,"132,000",17,0,0,"132,000",17,Final,,,
201902,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,United States of America,"109,000",4,0,0,"109,000",4,Final,,,
201902,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,Australia,"198,400",11,0,0,"198,400",11,Final,,,
201902,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,United States of America,"300,000",4,0,0,"300,000",4,Final,,,
201902,101290021,"Horses; live, other than pure-bred breeding animals, sport horses, other than for racing, thoroughbred, stallions, colts, and geldings",NMB,Australia,"16,660",1,0,0,"16,660",1,Final,,,
201902,101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,Australia,"15,000",1,0,0,"15,000",1,Final,,,
201902,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,Australia,"54,000",4,0,0,"54,000",4,Final,,,
201902,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,Australia,"86,450",5,0,0,"86,450",5,Final,,,
201902,102290029,"Cattle; live, other than pure-bred, other than for breeding",NMB,Viet Nam,"319,285",221,0,0,"319,285",221,Final,,,
201902,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"China, People's Republic of","3,695,635","131,607","942,270","33,280","4,637,905","164,887",Final,,,
201902,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Fiji,"124,660","30,465",0,0,"124,660","30,465",Final,,,
201902,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Fiji,"19,039","6,000",0,0,"19,039","6,000",Final,,,
201902,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Indonesia,"335,964","11,949",0,0,"335,964","11,949",Final,,,
201902,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,French Polynesia,"16,200","6,120",0,0,"16,200","6,120",Final,,,
201902,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Papua New Guinea,"121,139","17,139",0,0,"121,139","17,139",Final,,,
201902,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Samoa,"19,482","6,600",0,0,"19,482","6,600",Final,,,
201902,105990001,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g, for breeding",NMB,Fiji,"83,294","9,942",0,0,"83,294","9,942",Final,,,
201902,106320000,"Birds; live, Psittaciformes, including parrots, parakeets, macaws, and cockatoos",NMB,Japan,"69,800",29,0,0,"69,800",29,Final,,,
201902,106410029,"Insects; live, bees other than queen bees",NMB,Maldives,"3,940",200,0,0,"3,940",200,Final,,,
201902,201200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, fresh or chilled",KGM,United Arab Emirates,"18,474","1,342",0,0,"18,474","1,342",Final,,,
