Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202302,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,"1,100",1,"50,000",1,"51,100",2,Final,,,,
202302,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"16,297,620",102,"1,187,200",11,"17,484,820",113,Final,,,,
202302,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"9,917,360",77,"1,065,000",6,"10,982,360",83,Final,,,,
202302,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"643,761",24,0,0,"643,761",24,Final,,,,
202302,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"283,300",10,0,0,"283,300",10,Final,,,,
202302,101290023,"Horses; live, other than pure-bred breeding animals, sport horses, other than for racing, thoroughbred, mares and fillies",NMB,"7,320",6,0,0,"7,320",6,Final,,,,
202302,101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,"30,000",2,0,0,"30,000",2,Final,,,,
202302,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"103,000",5,0,0,"103,000",5,Final,,,,
202302,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"538,732",12,0,0,"538,732",12,Final,,,,
202302,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"9,597,672","3,211",0,0,"9,597,672","3,211",Final,,,,
202302,104200010,"Goats; live, for breeding",NMB,"3,379,150","3,557",0,0,"3,379,150","3,557",Final,,,,
202302,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"3,198,844","147,761",0,0,"3,198,844","147,761",Final,,,,
202302,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"3,387,606","80,560",0,0,"3,387,606","80,560",Final,,,,
202302,106190019,"Mammals; live, dogs",NMB,0,0,"1,300",1,"1,300",1,Final,,,,
202302,106320000,"Birds; live, Psittaciformes, including parrots, parakeets, macaws, and cockatoos",NMB,"226,060",58,0,0,"226,060",58,Final,,,,
202302,106410010,"Insects; live, queen bees, in packages",NMB,"271,258","1,185",0,0,"271,258","1,185",Final,,,,
202302,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"838,020","51,496",0,0,"838,020","51,496",Final,,,,
202302,201200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,150,18,0,0,150,18,Final,,,,
202302,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"30,366,909","1,957,545",0,0,"30,366,909","1,957,545",Final,,,,
