Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,
202302,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,Australia,"1,100",1,"50,000",1,"51,100",2,Final,,,
202302,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Australia,"16,277,620",100,"1,167,200",9,"17,444,820",109,Final,,,
202302,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Singapore,"20,000",2,"20,000",2,"40,000",4,Final,,,
202302,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Australia,"9,917,360",77,"1,065,000",6,"10,982,360",83,Final,,,
202302,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,Australia,"643,761",24,0,0,"643,761",24,Final,,,
202302,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,Australia,"283,300",10,0,0,"283,300",10,Final,,,
202302,101290023,"Horses; live, other than pure-bred breeding animals, sport horses, other than for racing, thoroughbred, mares and fillies",NMB,Australia,"7,320",6,0,0,"7,320",6,Final,,,
202302,101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,Australia,"30,000",2,0,0,"30,000",2,Final,,,
202302,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,Australia,"103,000",5,0,0,"103,000",5,Final,,,
202302,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,Australia,"538,732",12,0,0,"538,732",12,Final,,,
202302,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"China, People's Republic of","9,597,672","3,211",0,0,"9,597,672","3,211",Final,,,
202302,104200010,"Goats; live, for breeding",NMB,"China, People's Republic of","3,379,150","3,557",0,0,"3,379,150","3,557",Final,,,
202302,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Fiji,"232,108","37,247",0,0,"232,108","37,247",Final,,,
202302,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Sri Lanka,"51,910","10,115",0,0,"51,910","10,115",Final,,,
202302,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Nepal,"666,703","15,164",0,0,"666,703","15,164",Final,,,
202302,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,French Polynesia,"58,343","4,932",0,0,"58,343","4,932",Final,,,
202302,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Papua New Guinea,"134,163","13,656",0,0,"134,163","13,656",Final,,,
202302,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Philippines,"889,011","42,981",0,0,"889,011","42,981",Final,,,
202302,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Thailand,"1,166,606","23,666",0,0,"1,166,606","23,666",Final,,,
202302,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Bangladesh,"1,158,512","12,000",0,0,"1,158,512","12,000",Final,,,
202302,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Fiji,"86,459","30,247",0,0,"86,459","30,247",Final,,,
