month,hs,hs_desc,uom,Export_FOB,Export_Qty,Re_export_FOB,Re_export_Qty,total_export_FOB,total_export_qty,status
202502,0101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,200000,1,0,0,200000,1,Final
202502,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,10103422,76,872500,8,10975922,84,Final
202502,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,2128339,31,280000,3,2408339,34,Final
202502,0101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,1064904,17,0,0,1064904,17,Final
202502,0101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,515974,7,0,0,515974,7,Final
202502,0101290021,"Horses; live, other than pure-bred breeding animals, sport horses, other than for racing, thoroughbred, stallions, colts, and geldings",NMB,1100,1,0,0,1100,1,Final
202502,0101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,529233,15,0,0,529233,15,Final
202502,0101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,278687,9,0,0,278687,9,Final
202502,0104100001,"Sheep; live, for breeding",NMB,109060,28,0,0,109060,28,Final
202502,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,313565,73678,0,0,313565,73678,Final
202502,0105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,399070,31325,0,0,399070,31325,Final
202502,0106190019,"Mammals; live, dogs",NMB,10000,1,0,0,10000,1,Final
202502,0106190029,"Mammals; live, other than primates, whales, dolphins, porpoises (order Cetacea), manatees, dugongs (order Sirenia), seals, sea lions, walruses (suborder Pinnipedia), camels, other camelids, rabbits, hares, deer, and dogs",NMB,3000,3,0,0,3000,3,Final
202502,0201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,1215576,60075,0,0,1215576,60075,Final
202502,0201200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0201.20, fresh or chilled",KGM,14150,617,0,0,14150,617,Final
202502,0201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,64725876,3349159,0,0,64725876,3349159,Final
202502,0201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,491427,36420,0,0,491427,36420,Final
202502,0201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,3090709,156007,0,0,3090709,156007,Final
202502,0202100001,"Meat; of bovine animals, carcasses, frozen",KGM,13428,5514,0,0,13428,5514,Final
202502,0202200019,"Meat; of bovine animals, beef quarters of steer and heifer, L1 and L2 grades, with bone in, frozen",KGM,253625,42023,0,0,253625,42023,Final
202502,0202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,312961,33511,0,0,312961,33511,Final
202502,0202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,16832942,2355666,0,0,16832942,2355666,Final
202502,0202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,5059709,2039039,0,0,5059709,2039039,Final
202502,0202200051,"Meat; of bovine animals, beef cuts of bull, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,11386610,1893619,0,0,11386610,1893619,Final
202502,0202200059,"Meat; of bovine animals, veal (other than bobby) quarters and cuts, with bone in, frozen (excluding carcasses and half-carcasses)",KGM,102628,17576,0,0,102628,17576,Final
202502,0202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,527498,166117,0,0,527498,166117,Final
202502,0202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,161856166,15330934,0,0,161856166,15330934,Final
202502,0202300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,19171211,2021787,0,0,19171211,2021787,Final
202502,0202300011,"Meat; of bovine animals, boneless cuts of bull, frozen",KGM,182455028,15431416,0,0,182455028,15431416,Final
202502,0202300021,"Meat; of bovine animals, boneless cuts of veal (bobby), frozen",KGM,572146,72081,0,0,572146,72081,Final
202502,0202300029,"Meat; of bovine animals, boneless cuts of veal (other than bobby), frozen",KGM,489214,169663,0,0,489214,169663,Final
202502,0203120009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, fresh or chilled",KGM,3634,237,0,0,3634,237,Final
202502,0203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,0,0,1999,264,1999,264,Final
