Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201901,101210010,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, stallions",NMB,0,0,"15,056,890",7,"15,056,890",7,Final,,,,
201901,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,"355,350",3,0,0,"355,350",3,Final,,,,
201901,101210017,"Horses; live, pure-bred breeding animals, thoroughbred, sport breeding stock, excluding race breeding stock, stallions",NMB,"5,100",2,0,0,"5,100",2,Final,,,,
201901,101210027,"Horses; live, pure-bred breeding animals, thoroughbred, breeding stock, excluding race or sport breeding stock, mares",NMB,"138,232",7,0,0,"138,232",7,Final,,,,
201901,101210049,"Horses; live, pure-bred breeding animals, standardbred, breeding stock, excluding race or sport breeding stock, mares",NMB,"37,000",3,0,0,"37,000",3,Final,,,,
201901,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"10,747,253",122,0,0,"10,747,253",122,Final,,,,
201901,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"2,252,761",35,0,0,"2,252,761",35,Final,,,,
201901,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"840,087",34,0,0,"840,087",34,Final,,,,
201901,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"435,225",16,0,0,"435,225",16,Final,,,,
201901,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"13,050",2,0,0,"13,050",2,Final,,,,
201901,104100001,"Sheep; live, for breeding",NMB,"113,200",30,0,0,"113,200",30,Final,,,,
201901,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"2,343,983","118,970",0,0,"2,343,983","118,970",Final,,,,
201901,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"495,479","35,409",0,0,"495,479","35,409",Final,,,,
201901,106190019,"Mammals; live, dogs",NMB,"55,756",5,0,0,"55,756",5,Final,,,,
201901,106410029,"Insects; live, bees other than queen bees",NMB,"1,970",100,0,0,"1,970",100,Final,,,,
201901,201200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, fresh or chilled",KGM,"3,396",215,0,0,"3,396",215,Final,,,,
201901,201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,"16,822",405,0,0,"16,822",405,Final,,,,
201901,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"727,821","49,075",0,0,"727,821","49,075",Final,,,,
201901,201200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0201.20, fresh or chilled",KGM,"5,141",269,0,0,"5,141",269,Final,,,,
201901,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"24,121,359","1,852,031",889,70,"24,122,248","1,852,102",Final,,,,
201901,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"208,421","24,196",0,0,"208,421","24,196",Final,,,,
201901,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,"2,583,913","237,465",0,0,"2,583,913","237,465",Final,,,,
201901,201300021,"Meat; of bovine animals, boneless cuts of veal (bobby), fresh or chilled",KGM,"69,361","8,257",0,0,"69,361","8,257",Final,,,,
201901,202100001,"Meat; of bovine animals, carcasses, frozen",KGM,"68,359","16,528",0,0,"68,359","16,528",Final,,,,
201901,202100011,"Meat; of bovine animals, half-carcasses of veal (other than bobby), frozen",KGM,"1,338",295,0,0,"1,338",295,Final,,,,
201901,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"8,158,694","1,277,180",0,0,"8,158,694","1,277,180",Final,,,,
201901,202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"1,525,380","774,947",0,0,"1,525,380","774,947",Final,,,,
201901,202200051,"Meat; of bovine animals, beef cuts of bull, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"8,015,435","1,285,731",0,0,"8,015,435","1,285,731",Final,,,,
201901,202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,"552,960","205,909",0,0,"552,960","205,909",Final,,,,
201901,202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"75,358,183","10,622,106",0,0,"75,358,183","10,622,106",Final,,,,
201901,202300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"2,296,903","306,606",0,0,"2,296,903","306,606",Final,,,,
201901,202300011,"Meat; of bovine animals, boneless cuts of bull, frozen",KGM,"110,695,302","15,601,174",0,0,"110,695,302","15,601,174",Final,,,,
201901,202300021,"Meat; of bovine animals, boneless cuts of veal (bobby), frozen",KGM,"2,063,115","333,290",0,0,"2,063,115","333,290",Final,,,,
201901,203110008,"Meat; of swine, carcasses and half-carcasses, (other than wild pork), fresh or chilled",KGM,"1,262",180,0,0,"1,262",180,Final,,,,
201901,203120009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, fresh or chilled",KGM,"1,080",62,0,0,"1,080",62,Final,,,,
201901,203190009,"Meat; of swine (other than wild pork), fresh or chilled, (excluding carcasses, half-carcasses, and hams, shoulders and cuts thereof, with bone in)",KGM,"1,878",121,0,0,"1,878",121,Final,,,,
201901,203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,"4,282",500,"2,300",500,"6,582","1,000",Final,,,,
201901,203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"18,890","6,144",0,0,"18,890","6,144",Final,,,,
201901,204100038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, fresh or chilled",KGM,"216,988","20,509",0,0,"216,988","20,509",Final,,,,
201901,204100042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, fresh or chilled",KGM,"151,067","13,013",0,0,"151,067","13,013",Final,,,,
201901,204100048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.10, fresh or chilled",KGM,"3,066",296,0,0,"3,066",296,Final,,,,
201901,204220001,"Meat; of sheep, lamb cuts with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"35,465,059","2,702,125",0,0,"35,465,059","2,702,125",Final,,,,
201901,204220009,"Meat; of sheep (excluding lamb), cuts with bone in, fresh or chilled, (excluding carcasses and half-carcasses)",KGM,"8,927",602,0,0,"8,927",602,Final,,,,
201901,204230001,"Meat; of sheep, boneless cuts of lamb, fresh or chilled",KGM,"19,417,141","1,185,419",0,0,"19,417,141","1,185,419",Final,,,,
201901,204230009,"Meat; of sheep (excluding lamb), boneless cuts, fresh or chilled",KGM,"62,095","3,166",0,0,"62,095","3,166",Final,,,,
201901,204300012,"Meat; of sheep, lamb carcasses and half-carcasses, PH grade, frozen",KGM,"564,431","79,837",0,0,"564,431","79,837",Final,,,,
201901,204300022,"Meat; of sheep, lamb carcasses and half-carcasses, PM grade, frozen",KGM,"136,890","17,538",0,0,"136,890","17,538",Final,,,,
201901,204300028,"Meat; of sheep, lamb carcasses and half-carcasses, PX grade, frozen",KGM,"84,577","10,252",0,0,"84,577","10,252",Final,,,,
201901,204300032,"Meat; of sheep, lamb carcasses and half-carcasses, YL grade, frozen",KGM,"427,118","48,260",0,0,"427,118","48,260",Final,,,,
