Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,
201901,101210010,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, stallions",NMB,United States of America,0,0,"15,056,890",7,"15,056,890",7,Final,,,
201901,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,Australia,"355,350",3,0,0,"355,350",3,Final,,,
201901,101210017,"Horses; live, pure-bred breeding animals, thoroughbred, sport breeding stock, excluding race breeding stock, stallions",NMB,French Polynesia,"5,100",2,0,0,"5,100",2,Final,,,
201901,101210027,"Horses; live, pure-bred breeding animals, thoroughbred, breeding stock, excluding race or sport breeding stock, mares",NMB,Australia,"118,232",6,0,0,"118,232",6,Final,,,
201901,101210027,"Horses; live, pure-bred breeding animals, thoroughbred, breeding stock, excluding race or sport breeding stock, mares",NMB,New Caledonia,"20,000",1,0,0,"20,000",1,Final,,,
201901,101210049,"Horses; live, pure-bred breeding animals, standardbred, breeding stock, excluding race or sport breeding stock, mares",NMB,New Caledonia,"37,000",3,0,0,"37,000",3,Final,,,
201901,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Australia,"2,468,950",41,0,0,"2,468,950",41,Final,,,
201901,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"China, People's Republic of","405,803",14,0,0,"405,803",14,Final,,,
201901,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Hong Kong (Special Administrative Region),"6,903,000",28,0,0,"6,903,000",28,Final,,,
201901,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Malaysia,"12,000",4,0,0,"12,000",4,Final,,,
201901,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Singapore,"957,500",35,0,0,"957,500",35,Final,,,
201901,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Australia,"2,194,938",25,0,0,"2,194,938",25,Final,,,
201901,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"China, People's Republic of","12,823",3,0,0,"12,823",3,Final,,,
201901,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Malaysia,"15,000",5,0,0,"15,000",5,Final,,,
201901,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Singapore,"30,000",2,0,0,"30,000",2,Final,,,
201901,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,Australia,"802,087",33,0,0,"802,087",33,Final,,,
201901,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"China, People's Republic of","38,000",1,0,0,"38,000",1,Final,,,
201901,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,Australia,"435,225",16,0,0,"435,225",16,Final,,,
201901,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,Australia,"13,050",2,0,0,"13,050",2,Final,,,
201901,104100001,"Sheep; live, for breeding",NMB,Japan,"113,200",30,0,0,"113,200",30,Final,,,
201901,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Bangladesh,"396,907","44,460",0,0,"396,907","44,460",Final,,,
201901,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"China, People's Republic of","1,865,308","66,560",0,0,"1,865,308","66,560",Final,,,
201901,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Fiji,"81,768","7,950",0,0,"81,768","7,950",Final,,,
201901,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Bhutan,"16,200","3,000",0,0,"16,200","3,000",Final,,,
201901,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Indonesia,"347,812","11,949",0,0,"347,812","11,949",Final,,,
201901,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,French Polynesia,"25,848","7,200",0,0,"25,848","7,200",Final,,,
201901,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Papua New Guinea,"105,619","13,260",0,0,"105,619","13,260",Final,,,
201901,106190019,"Mammals; live, dogs",NMB,Australia,"44,756",4,0,0,"44,756",4,Final,,,
201901,106190019,"Mammals; live, dogs",NMB,Norfolk Island,"11,000",1,0,0,"11,000",1,Final,,,
201901,106410029,"Insects; live, bees other than queen bees",NMB,Maldives,"1,970",100,0,0,"1,970",100,Final,,,
201901,201200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, fresh or chilled",KGM,United Arab Emirates,"3,396",215,0,0,"3,396",215,Final,,,
201901,201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,United Arab Emirates,"16,822",405,0,0,"16,822",405,Final,,,
201901,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,United Arab Emirates,"194,538","14,819",0,0,"194,538","14,819",Final,,,
201901,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Australia,"29,044","2,224",0,0,"29,044","2,224",Final,,,
201901,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Bahrain,"50,450","3,358",0,0,"50,450","3,358",Final,,,
201901,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Canada,"12,121",870,0,0,"12,121",870,Final,,,
201901,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"China, People's Republic of","21,584","2,025",0,0,"21,584","2,025",Final,,,
201901,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Fiji,"12,834",625,0,0,"12,834",625,Final,,,
201901,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Faeroe Islands,"1,210",68,0,0,"1,210",68,Final,,,
201901,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Hong Kong (Special Administrative Region),"10,274",458,0,0,"10,274",458,Final,,,
201901,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Jordan,"11,704",740,0,0,"11,704",740,Final,,,
201901,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Japan,"5,551",334,0,0,"5,551",334,Final,,,
201901,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"Korea, Republic of","17,972","1,350",0,0,"17,972","1,350",Final,,,
201901,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Kuwait,"26,302","2,260",0,0,"26,302","2,260",Final,,,
201901,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Netherlands,850,53,0,0,850,53,Final,,,
