Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202201,101210010,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, stallions",NMB,"38,148",2,0,0,"38,148",2,Final,,,,
202201,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,0,0,"5,000",1,"5,000",1,Final,,,,
202201,101210027,"Horses; live, pure-bred breeding animals, thoroughbred, breeding stock, excluding race or sport breeding stock, mares",NMB,"602,461",15,0,0,"602,461",15,Final,,,,
202201,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"1,815,594",48,"205,000",2,"2,020,594",50,Final,,,,
202201,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"976,460",13,0,0,"976,460",13,Final,,,,
202201,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"791,726",25,0,0,"791,726",25,Final,,,,
202201,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"273,903",20,0,0,"273,903",20,Final,,,,
202201,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"195,000",11,0,0,"195,000",11,Final,,,,
202201,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"195,000",9,0,0,"195,000",9,Final,,,,
202201,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"12,555,948","3,252",0,0,"12,555,948","3,252",Final,,,,
202201,102290010,"Cattle; live, other than pure-bred, for breeding, dairy",NMB,"14,589,076","5,481",0,0,"14,589,076","5,481",Final,,,,
202201,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"1,744,732","99,778",0,0,"1,744,732","99,778",Final,,,,
202201,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"1,097,231","57,424",0,0,"1,097,231","57,424",Final,,,,
202201,201200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, fresh or chilled",KGM,"9,677",580,0,0,"9,677",580,Final,,,,
202201,201200029,"Meat; of bovine animals, beef quarters of cow, G grade, with bone in, fresh or chilled",KGM,"11,683",621,0,0,"11,683",621,Final,,,,
202201,201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,"9,211",395,0,0,"9,211",395,Final,,,,
202201,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"1,269,344","83,769",0,0,"1,269,344","83,769",Final,,,,
