Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,
202201,101210010,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, stallions",NMB,Australia,"38,148",2,0,0,"38,148",2,Final,,,
202201,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,Australia,0,0,"5,000",1,"5,000",1,Final,,,
202201,101210027,"Horses; live, pure-bred breeding animals, thoroughbred, breeding stock, excluding race or sport breeding stock, mares",NMB,Australia,"602,461",15,0,0,"602,461",15,Final,,,
202201,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Australia,"1,095,094",26,"160,000",1,"1,255,094",27,Final,,,
202201,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Malaysia,"95,500",10,0,0,"95,500",10,Final,,,
202201,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Singapore,"625,000",12,"45,000",1,"670,000",13,Final,,,
202201,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Australia,"875,460",10,0,0,"875,460",10,Final,,,
202201,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Malaysia,"51,000",2,0,0,"51,000",2,Final,,,
202201,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Singapore,"50,000",1,0,0,"50,000",1,Final,,,
202201,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,Australia,"791,726",25,0,0,"791,726",25,Final,,,
202201,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,Australia,"273,903",20,0,0,"273,903",20,Final,,,
202201,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,Australia,"185,000",10,0,0,"185,000",10,Final,,,
202201,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,Singapore,"10,000",1,0,0,"10,000",1,Final,,,
202201,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,Australia,"195,000",9,0,0,"195,000",9,Final,,,
202201,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"China, People's Republic of","12,555,948","3,252",0,0,"12,555,948","3,252",Final,,,
202201,102290010,"Cattle; live, other than pure-bred, for breeding, dairy",NMB,"China, People's Republic of","14,589,076","5,481",0,0,"14,589,076","5,481",Final,,,
202201,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Cook Islands,"4,365",572,0,0,"4,365",572,Final,,,
202201,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Fiji,"98,731","24,297",0,0,"98,731","24,297",Final,,,
202201,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Niue,"2,197",312,0,0,"2,197",312,Final,,,
202201,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Papua New Guinea,"236,751","20,073",0,0,"236,751","20,073",Final,,,
202201,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Philippines,"562,012","31,799",0,0,"562,012","31,799",Final,,,
202201,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Thailand,"840,676","22,725",0,0,"840,676","22,725",Final,,,
202201,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Bangladesh,"878,959","12,000",0,0,"878,959","12,000",Final,,,
202201,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Fiji,"44,514","16,190",0,0,"44,514","16,190",Final,,,
202201,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Malaysia,"95,068","11,000",0,0,"95,068","11,000",Final,,,
202201,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Papua New Guinea,"38,462","6,390",0,0,"38,462","6,390",Final,,,
202201,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Tonga,"19,135","5,100",0,0,"19,135","5,100",Final,,,
202201,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Vanuatu,"2,700",12,0,0,"2,700",12,Final,,,
202201,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Samoa,"18,393","6,732",0,0,"18,393","6,732",Final,,,
202201,201200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, fresh or chilled",KGM,United States of America,"9,677",580,0,0,"9,677",580,Final,,,
202201,201200029,"Meat; of bovine animals, beef quarters of cow, G grade, with bone in, fresh or chilled",KGM,United Arab Emirates,"11,683",621,0,0,"11,683",621,Final,,,
202201,201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,United States of America,"9,211",395,0,0,"9,211",395,Final,,,
202201,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,United Arab Emirates,"299,331","18,968",0,0,"299,331","18,968",Final,,,
202201,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Bahrain,"44,264","2,666",0,0,"44,264","2,666",Final,,,
202201,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Canada,"48,242","3,313",0,0,"48,242","3,313",Final,,,
202201,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"China, People's Republic of","21,281","1,210",0,0,"21,281","1,210",Final,,,
202201,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Hong Kong (Special Administrative Region),"17,591",835,0,0,"17,591",835,Final,,,
202201,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Jordan,"12,740",563,0,0,"12,740",563,Final,,,
202201,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Japan,"9,181",504,0,0,"9,181",504,Final,,,
202201,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"Korea, Republic of","471,551","35,986",0,0,"471,551","35,986",Final,,,
202201,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Kuwait,"20,912","1,515",0,0,"20,912","1,515",Final,,,
202201,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Malaysia,"15,002",763,0,0,"15,002",763,Final,,,
202201,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,New Caledonia,"16,906",776,0,0,"16,906",776,Final,,,
202201,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Oman,"36,329","2,025",0,0,"36,329","2,025",Final,,,
202201,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,French Polynesia,"68,742","3,811",0,0,"68,742","3,811",Final,,,
202201,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Qatar,"12,450","1,009",0,0,"12,450","1,009",Final,,,
202201,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Saudi Arabia,"77,183","4,590",0,0,"77,183","4,590",Final,,,
202201,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Singapore,"26,758","1,301",0,0,"26,758","1,301",Final,,,
202201,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,United States of America,"70,881","3,934",0,0,"70,881","3,934",Final,,,
202201,201200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Singapore,"8,116",461,0,0,"8,116",461,Final,,,
202201,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,United Arab Emirates,"2,994,049","198,530",0,0,"2,994,049","198,530",Final,,,
202201,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Australia,"1,120,338","67,481",0,0,"1,120,338","67,481",Final,,,
202201,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Belgium,"247,709","7,014",0,0,"247,709","7,014",Final,,,
