Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202301,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"5,458,791",69,"750,000",4,"6,208,791",73,Provisional,,,,
202301,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"1,137,091",19,"3,475,806",2,"4,612,897",21,Provisional,,,,
202301,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"899,122",33,0,0,"899,122",33,Provisional,,,,
202301,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"99,550",9,0,0,"99,550",9,Provisional,,,,
202301,101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,"2,400",1,0,0,"2,400",1,Provisional,,,,
202301,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"93,338",6,0,0,"93,338",6,Provisional,,,,
202301,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"232,064",7,0,0,"232,064",7,Provisional,,,,
202301,102210019,"Cattle; live, pure-bred breeding animals, beef",NMB,"14,163,498","6,374",0,0,"14,163,498","6,374",Provisional,,,,
202301,102290010,"Cattle; live, other than pure-bred, for breeding, dairy",NMB,"17,169,531","5,200",0,0,"17,169,531","5,200",Provisional,,,,
202301,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"1,682,174","99,853",0,0,"1,682,174","99,853",Provisional,,,,
202301,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"2,550,391","38,370",0,0,"2,550,391","38,370",Provisional,,,,
202301,106190019,"Mammals; live, dogs",NMB,"4,000",2,0,0,"4,000",2,Provisional,,,,
202301,201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,"46,426","3,212",0,0,"46,426","3,212",Provisional,,,,
202301,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"1,151,076","80,841",0,0,"1,151,076","80,841",Provisional,,,,
202301,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"27,733,419","1,769,984",0,0,"27,733,419","1,769,984",Provisional,,,,
202301,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"993,726","98,588",0,0,"993,726","98,588",Provisional,,,,
202301,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,"3,233,736","251,097",0,0,"3,233,736","251,097",Provisional,,,,
202301,202100001,"Meat; of bovine animals, carcasses, frozen",KGM,"47,748","13,146",0,0,"47,748","13,146",Provisional,,,,
202301,202100011,"Meat; of bovine animals, half-carcasses of veal (other than bobby), frozen",KGM,"45,684","8,158",0,0,"45,684","8,158",Provisional,,,,
202301,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,"10,656",998,0,0,"10,656",998,Provisional,,,,
202301,202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,"643,116","128,814",0,0,"643,116","128,814",Provisional,,,,
202301,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"17,178,727","2,431,284","8,167",682,"17,186,894","2,431,966",Provisional,,,,
202301,202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"3,835,003","1,647,037",0,0,"3,835,003","1,647,037",Provisional,,,,
202301,202200051,"Meat; of bovine animals, beef cuts of bull, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"9,368,890","1,323,445",0,0,"9,368,890","1,323,445",Provisional,,,,
202301,202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,"1,557,834","402,611",0,0,"1,557,834","402,611",Provisional,,,,
202301,202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"142,195,301","16,314,594","73,213","8,173","142,268,514","16,322,767",Provisional,,,,
202301,202300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"6,442,244","993,455",0,0,"6,442,244","993,455",Provisional,,,,
202301,202300011,"Meat; of bovine animals, boneless cuts of bull, frozen",KGM,"140,673,768","16,237,992",0,0,"140,673,768","16,237,992",Provisional,,,,
202301,202300021,"Meat; of bovine animals, boneless cuts of veal (bobby), frozen",KGM,"2,899,894","371,423",0,0,"2,899,894","371,423",Provisional,,,,
202301,202300029,"Meat; of bovine animals, boneless cuts of veal (other than bobby), frozen",KGM,"104,583","47,560",0,0,"104,583","47,560",Provisional,,,,
202301,203120009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, fresh or chilled",KGM,821,65,0,0,821,65,Provisional,,,,
202301,203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,339,4,"21,734","2,733","22,073","2,737",Provisional,,,,
202301,203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"117,837","12,571","68,142","14,345","185,979","26,916",Provisional,,,,
202301,204100038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, fresh or chilled",KGM,"68,129","5,268",0,0,"68,129","5,268",Provisional,,,,
202301,204100042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, fresh or chilled",KGM,"61,451","4,797",0,0,"61,451","4,797",Provisional,,,,
202301,204220001,"Meat; of sheep, lamb cuts with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"32,148,662","2,130,992",0,0,"32,148,662","2,130,992",Provisional,,,,
202301,204220009,"Meat; of sheep (excluding lamb), cuts with bone in, fresh or chilled, (excluding carcasses and half-carcasses)",KGM,"10,299",804,0,0,"10,299",804,Provisional,,,,
202301,204230001,"Meat; of sheep, boneless cuts of lamb, fresh or chilled",KGM,"15,194,328","766,012",0,0,"15,194,328","766,012",Provisional,,,,
202301,204300002,"Meat; of sheep, lamb carcasses and half-carcasses, A grade, frozen",KGM,"147,427","16,271",0,0,"147,427","16,271",Provisional,,,,
202301,204300012,"Meat; of sheep, lamb carcasses and half-carcasses, PH grade, frozen",KGM,"47,109","5,838",0,0,"47,109","5,838",Provisional,,,,
202301,204300028,"Meat; of sheep, lamb carcasses and half-carcasses, PX grade, frozen",KGM,"106,684","13,220",0,0,"106,684","13,220",Provisional,,,,
202301,204300032,"Meat; of sheep, lamb carcasses and half-carcasses, YL grade, frozen",KGM,"557,153","59,970",0,0,"557,153","59,970",Provisional,,,,
202301,204300038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, frozen",KGM,"3,083,534","328,927",0,0,"3,083,534","328,927",Provisional,,,,
202301,204300042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, frozen",KGM,"55,092","6,330",0,0,"55,092","6,330",Provisional,,,,
202301,204300048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.30, frozen",KGM,"64,771","7,319",0,0,"64,771","7,319",Provisional,,,,
202301,204410002,"Meat; of sheep, hogget carcasses and half-carcasses, HL grade, frozen",KGM,"41,068","6,923",0,0,"41,068","6,923",Provisional,,,,
202301,204410022,"Meat; of sheep, mutton carcasses and half-carcasses, MF grade, frozen",KGM,"653,477","126,006",0,0,"653,477","126,006",Provisional,,,,
202301,204410028,"Meat; of sheep, mutton carcasses and half-carcasses, MH grade, frozen",KGM,"705,433","135,399",0,0,"705,433","135,399",Provisional,,,,
202301,204410032,"Meat; of sheep, mutton carcasses and half-carcasses, ML grade, frozen",KGM,"3,502,098","602,151",0,0,"3,502,098","602,151",Provisional,,,,
202301,204410038,"Meat; of sheep, mutton carcasses and half-carcasses, MM grade, frozen",KGM,"117,181","23,095",0,0,"117,181","23,095",Provisional,,,,
202301,204410042,"Meat; of sheep, mutton carcasses and half-carcasses, MX grade, frozen",KGM,"16,579,153","2,859,556",0,0,"16,579,153","2,859,556",Provisional,,,,
202301,204410048,"Meat; of sheep, mutton carcasses and half-carcasses n.e.c. in item no. 0204.41, frozen",KGM,"1,640,069","285,268",0,0,"1,640,069","285,268",Provisional,,,,
202301,204420001,"Meat; of sheep, lamb cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"177,544,255","18,940,812",0,0,"177,544,255","18,940,812",Provisional,,,,
202301,204420009,"Meat; of sheep (excluding lamb), cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"44,408,903","6,973,674",0,0,"44,408,903","6,973,674",Provisional,,,,
202301,204430001,"Meat; of sheep, boneless cuts of lamb, frozen",KGM,"41,077,897","2,818,489",0,0,"41,077,897","2,818,489",Provisional,,,,
202301,204430009,"Meat; of sheep (excluding lamb), boneless cuts, frozen",KGM,"5,098,090","401,980",0,0,"5,098,090","401,980",Provisional,,,,
202301,204500000,"Meat; of goats, fresh, chilled or frozen",KGM,"11,170",997,0,0,"11,170",997,Provisional,,,,
202301,206100029,"Offal, edible; of bovine animals, tongues, fresh or chilled",KGM,"105,550","5,517",0,0,"105,550","5,517",Provisional,,,,
202301,206100039,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.10, fresh or chilled",KGM,"378,454","28,924",0,0,"378,454","28,924",Provisional,,,,
202301,206210000,"Offal, edible; of bovine animals, tongues, frozen",KGM,"2,942,901","353,660",0,0,"2,942,901","353,660",Provisional,,,,
202301,206220000,"Offal, edible; of bovine animals, livers, frozen",KGM,"1,043,073","611,336",0,0,"1,043,073","611,336",Provisional,,,,
202301,206290009,"Offal, edible; of bovine animals, hearts, frozen",KGM,"961,597","284,076",0,0,"961,597","284,076",Provisional,,,,
202301,206290011,"Offal, edible; of bovine animals, kidneys, frozen",KGM,"275,576","129,030",0,0,"275,576","129,030",Provisional,,,,
202301,206290019,"Offal, edible; of bovine animals, sweetbreads, frozen",KGM,"36,908","2,579",0,0,"36,908","2,579",Provisional,,,,
202301,206290029,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.2, frozen",KGM,"10,626,803","1,155,810",0,0,"10,626,803","1,155,810",Provisional,,,,
202301,206900009,"Offal, edible; of lamb, hearts, frozen",KGM,"355,961","61,203",0,0,"355,961","61,203",Provisional,,,,
202301,206900011,"Offal, edible; of lamb, kidneys, frozen",KGM,"903,711","129,916",0,0,"903,711","129,916",Provisional,,,,
202301,206900019,"Offal, edible; of lamb, livers, frozen",KGM,"1,494,826","461,628",0,0,"1,494,826","461,628",Provisional,,,,
202301,206900021,"Offal, edible; of lamb, sweetbreads, frozen",KGM,"72,144","7,279",0,0,"72,144","7,279",Provisional,,,,
202301,206900029,"Offal, edible; of lamb, tongues, frozen",KGM,"26,999","2,502",0,0,"26,999","2,502",Provisional,,,,
202301,206900039,"Offal, edible; of lamb, n.e.c. in item no. 0206.90, frozen",KGM,"1,975,364","274,412",0,0,"1,975,364","274,412",Provisional,,,,
202301,206900049,"Offal, edible; of sheep (excluding lamb), hearts, frozen",KGM,"322,724","51,915",0,0,"322,724","51,915",Provisional,,,,
202301,206900059,"Offal, edible; of sheep (excluding lamb), livers, frozen",KGM,"607,897","190,628",0,0,"607,897","190,628",Provisional,,,,
202301,206900079,"Offal, edible; of sheep (excluding lamb), n.e.c. in item no. 0206.90, frozen",KGM,"188,248","33,062",0,0,"188,248","33,062",Provisional,,,,
202301,206900091,"Offal, edible; of goats, horses, asses, mules or hinnies, livers, frozen",KGM,"100,901","25,373",0,0,"100,901","25,373",Provisional,,,,
202301,207110000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",KGM,"47,243","3,454",0,0,"47,243","3,454",Provisional,,,,
202301,207120000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",KGM,"364,691","95,422",0,0,"364,691","95,422",Provisional,,,,
202301,207130000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",KGM,"306,067","20,359",0,0,"306,067","20,359",Provisional,,,,
202301,207141000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, livers",KGM,412,150,0,0,412,150,Provisional,,,,
202301,207149000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, excluding livers",KGM,"2,157,190","566,222",0,0,"2,157,190","566,222",Provisional,,,,
202301,207250000,"Meat and edible offal; of turkeys, not cut in pieces, frozen",KGM,"4,245",398,0,0,"4,245",398,Provisional,,,,
