Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201907,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,"3,410,110",40,"1,888,390",10,"5,298,500",50,Final,,,,
201907,101210027,"Horses; live, pure-bred breeding animals, thoroughbred, breeding stock, excluding race or sport breeding stock, mares",NMB,"270,082",21,0,0,"270,082",21,Final,,,,
201907,101210033,"Horses; live, pure-bred breeding animals, standardbred, race breeding stock, mares",NMB,"2,000",1,0,0,"2,000",1,Final,,,,
201907,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"6,087,432",73,0,0,"6,087,432",73,Final,,,,
201907,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"1,386,070",24,"1,491,938",8,"2,878,008",32,Final,,,,
201907,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"458,500",16,0,0,"458,500",16,Final,,,,
201907,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"395,524",10,0,0,"395,524",10,Final,,,,
201907,101290023,"Horses; live, other than pure-bred breeding animals, sport horses, other than for racing, thoroughbred, mares and fillies",NMB,"4,880",4,"1,220",1,"6,100",5,Final,,,,
201907,101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,"15,000",1,0,0,"15,000",1,Final,,,,
201907,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"15,360",2,0,0,"15,360",2,Final,,,,
201907,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"103,480",6,0,0,"103,480",6,Final,,,,
201907,104200010,"Goats; live, for breeding",NMB,"69,600",16,0,0,"69,600",16,Final,,,,
201907,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"2,736,611","129,514","959,066","33,280","3,695,677","162,794",Final,,,,
201907,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"15,603","1,860",0,0,"15,603","1,860",Final,,,,
201907,105990001,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g, for breeding",NMB,"126,360","15,113",0,0,"126,360","15,113",Final,,,,
201907,106410029,"Insects; live, bees other than queen bees",NMB,"1,970",10,0,0,"1,970",10,Final,,,,
201907,201200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, fresh or chilled",KGM,"10,582",755,0,0,"10,582",755,Final,,,,
