Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202207,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,"692,500",2,"51,000",2,"743,500",4,Final,,,,
202207,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"5,179,258",48,"1,197,583",25,"6,376,841",73,Final,,,,
202207,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"2,524,767",30,0,0,"2,524,767",30,Final,,,,
202207,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"642,901",17,0,0,"642,901",17,Final,,,,
202207,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"60,214",9,0,0,"60,214",9,Final,,,,
202207,101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,"5,000",1,0,0,"5,000",1,Final,,,,
202207,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"33,000",2,0,0,"33,000",2,Final,,,,
202207,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"124,277",5,0,0,"124,277",5,Final,,,,
202207,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"28,324,107","9,260",0,0,"28,324,107","9,260",Final,,,,
202207,102290010,"Cattle; live, other than pure-bred, for breeding, dairy",NMB,"4,095,445","1,954",0,0,"4,095,445","1,954",Final,,,,
202207,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"2,465,318","154,348",0,0,"2,465,318","154,348",Final,,,,
202207,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"1,043,889","68,454",0,0,"1,043,889","68,454",Final,,,,
202207,106190019,"Mammals; live, dogs",NMB,"2,500",2,0,0,"2,500",2,Final,,,,
202207,106190029,"Mammals; live, other than primates, whales, dolphins, porpoises (order Cetacea), manatees, dugongs (order Sirenia), seals, sea lions, walruses (suborder Pinnipedia), camels, other camelids, rabbits, hares, deer, and dogs",NMB,"69,000",1,0,0,"69,000",1,Final,,,,
202207,201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,"85,560","11,046",0,0,"85,560","11,046",Final,,,,
202207,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"1,423,892","77,722",0,0,"1,423,892","77,722",Final,,,,
