Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,
202207,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,Australia,"692,500",2,"51,000",2,"743,500",4,Final,,,
202207,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Australia,"3,959,278",31,"1,194,583",24,"5,153,861",55,Final,,,
202207,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Hong Kong (Special Administrative Region),"1,007,980",4,0,0,"1,007,980",4,Final,,,
202207,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Malaysia,"12,000",4,"3,000",1,"15,000",5,Final,,,
202207,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Singapore,"200,000",9,0,0,"200,000",9,Final,,,
202207,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Australia,"2,504,767",28,0,0,"2,504,767",28,Final,,,
202207,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Singapore,"20,000",2,0,0,"20,000",2,Final,,,
202207,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,Australia,"642,901",17,0,0,"642,901",17,Final,,,
202207,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,Australia,"60,214",9,0,0,"60,214",9,Final,,,
202207,101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,Australia,"5,000",1,0,0,"5,000",1,Final,,,
202207,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,Australia,"33,000",2,0,0,"33,000",2,Final,,,
202207,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,Australia,"124,277",5,0,0,"124,277",5,Final,,,
202207,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"China, People's Republic of","28,324,107","9,260",0,0,"28,324,107","9,260",Final,,,
202207,102290010,"Cattle; live, other than pure-bred, for breeding, dairy",NMB,"China, People's Republic of","4,095,445","1,954",0,0,"4,095,445","1,954",Final,,,
202207,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Cook Islands,"5,025",600,0,0,"5,025",600,Final,,,
202207,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Fiji,"288,142","79,498",0,0,"288,142","79,498",Final,,,
