Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202307,0101210010,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, stallions",NMB,0,0,117,50,117,50,Provisional
202307,0101210033,"Horses; live, pure-bred breeding animals, standardbred, race breeding stock, mares",NMB,"56,000",6,0,0,"56,000",6,Provisional
202307,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"3,864,625",36,"200,000",3,"4,064,625",39,Provisional
202307,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"450,605",13,0,0,"450,605",13,Provisional
202307,0101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"413,959",20,0,0,"413,959",20,Provisional
202307,0101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"707,986",52,0,0,"707,986",52,Provisional
202307,0101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,"16,000",2,0,0,"16,000",2,Provisional
202307,0101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"112,500",5,0,0,"112,500",5,Provisional
202307,0101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"945,137",17,0,0,"945,137",17,Provisional
202307,0104100001,"Sheep; live, for breeding",NMB,"180,000",10,0,0,"180,000",10,Provisional
202307,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"1,936,651","139,310",0,0,"1,936,651","139,310",Provisional
202307,0105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"2,367,725","104,192",0,0,"2,367,725","104,192",Provisional
202307,0201200029,"Meat; of bovine animals, beef quarters of cow, G grade, with bone in, fresh or chilled",KGM,"4,200",243,0,0,"4,200",243,Provisional
202307,0201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,"3,834",211,0,0,"3,834",211,Provisional
202307,0201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"870,045","44,380",0,0,"870,045","44,380",Provisional
202307,0201200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0201.20, fresh or chilled",KGM,"12,758",602,0,0,"12,758",602,Provisional
202307,0201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"39,082,130","2,377,205",0,0,"39,082,130","2,377,205",Provisional
202307,0201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"675,687","58,974",0,0,"675,687","58,974",Provisional
202307,0201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,"2,465,446","156,619",0,0,"2,465,446","156,619",Provisional
202307,0202100001,"Meat; of bovine animals, carcasses, frozen",KGM,"4,622","1,203",0,0,"4,622","1,203",Provisional
202307,0202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,"99,487","20,532",0,0,"99,487","20,532",Provisional
202307,0202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,"768,359","154,195",0,0,"768,359","154,195",Provisional
202307,0202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"25,807,661","3,543,467","37,788","6,986","25,845,449","3,550,453",Provisional
202307,0202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"4,227,380","1,850,894",0,0,"4,227,380","1,850,894",Provisional
202307,0202200051,"Meat; of bovine animals, beef cuts of bull, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"7,774,951","1,454,583",0,0,"7,774,951","1,454,583",Provisional
202307,0202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,"501,164","209,141",0,0,"501,164","209,141",Provisional
202307,0202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"222,128,164","25,425,012","799,710","96,113","222,927,874","25,521,125",Provisional
202307,0202300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"14,219,694","1,866,523",0,0,"14,219,694","1,866,523",Provisional
202307,0202300011,"Meat; of bovine animals, boneless cuts of bull, frozen",KGM,"84,376,216","8,706,172",0,0,"84,376,216","8,706,172",Provisional
202307,0202300021,"Meat; of bovine animals, boneless cuts of veal (bobby), frozen",KGM,"906,204","127,643",0,0,"906,204","127,643",Provisional
202307,0202300029,"Meat; of bovine animals, boneless cuts of veal (other than bobby), frozen",KGM,"980,444","244,073",0,0,"980,444","244,073",Provisional
202307,0203120009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, fresh or chilled",KGM,"4,164",634,0,0,"4,164",634,Provisional
202307,0203190009,"Meat; of swine (other than wild pork), fresh or chilled, (excluding carcasses, half-carcasses, and hams, shoulders and cuts thereof, with bone in)",KGM,"9,939","1,830",0,0,"9,939","1,830",Provisional
202307,0203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,"172,755","23,915",449,68,"173,204","23,983",Provisional
202307,0203290011,"Meat; of swine n.e.c. in item no. 0203.2, frozen, meat bones and hocks",KGM,"10,391","1,735",0,0,"10,391","1,735",Provisional
202307,0203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"365,646","46,771","1,603",96,"367,249","46,867",Provisional
202307,0204100038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, fresh or chilled",KGM,"71,829","5,353",0,0,"71,829","5,353",Provisional
202307,0204100042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, fresh or chilled",KGM,"159,104","11,732",0,0,"159,104","11,732",Provisional
202307,0204220001,"Meat; of sheep, lamb cuts with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"30,824,342","1,716,156",0,0,"30,824,342","1,716,156",Provisional
202307,0204220009,"Meat; of sheep (excluding lamb), cuts with bone in, fresh or chilled, (excluding carcasses and half-carcasses)",KGM,"26,877","1,973",0,0,"26,877","1,973",Provisional
202307,0204230001,"Meat; of sheep, boneless cuts of lamb, fresh or chilled",KGM,"15,703,291","826,166",0,0,"15,703,291","826,166",Provisional
202307,0204230009,"Meat; of sheep (excluding lamb), boneless cuts, fresh or chilled",KGM,"12,188",559,0,0,"12,188",559,Provisional
202307,0204300002,"Meat; of sheep, lamb carcasses and half-carcasses, A grade, frozen",KGM,"165,293","14,136",0,0,"165,293","14,136",Provisional
202307,0204300012,"Meat; of sheep, lamb carcasses and half-carcasses, PH grade, frozen",KGM,"4,475",621,0,0,"4,475",621,Provisional
202307,0204300022,"Meat; of sheep, lamb carcasses and half-carcasses, PM grade, frozen",KGM,"132,029","18,570",0,0,"132,029","18,570",Provisional
202307,0204300028,"Meat; of sheep, lamb carcasses and half-carcasses, PX grade, frozen",KGM,"82,660","8,376",0,0,"82,660","8,376",Provisional
202307,0204300032,"Meat; of sheep, lamb carcasses and half-carcasses, YL grade, frozen",KGM,"890,923","88,596",0,0,"890,923","88,596",Provisional
