Month,Harmonised System Code,Harmonised System Description,Unit Qty,Imports ($NZD vfd),Imports ($NZD cif),Imports Qty,Status
202307,0101210010,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, stallions",NMB,"200,000","210,000",4,Provisional
202307,0101210027,"Horses; live, pure-bred breeding animals, thoroughbred, breeding stock, excluding race or sport breeding stock, mares",NMB,"316,924","349,504",12,Provisional
202307,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"1,691,589","1,875,985",13,Provisional
202307,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"149,298","210,408",10,Provisional
202307,0101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"20,000","25,850",1,Provisional
202307,0101290027,"Horses; live, other than pure-bred breeding animals, sport horses, other than for racing, standardbred, stallions, colts, and geldings",NMB,"10,000","15,850",1,Provisional
202307,0101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"143,142","232,492",15,Provisional
202307,0106190019,"Mammals; live, dogs",NMB,"50,860","80,903",19,Provisional
202307,0106190029,"Mammals; live, other than primates, whales, dolphins, porpoises (order Cetacea), manatees, dugongs (order Sirenia), seals, sea lions, walruses (suborder Pinnipedia), camels, other camelids, rabbits, hares, deer, and dogs",NMB,"17,011","23,307",7,Provisional
202307,0106490000,"Insects; live, other than bees",NMB,"5,469","7,050","1,230",Provisional
202307,0201200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"13,076","15,933",618,Provisional
202307,0201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"262,857","268,474","23,465",Provisional
202307,0201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"3,901,601","3,952,186","297,713",Provisional
202307,0202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"84,711","90,213","9,370",Provisional
202307,0202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,277,424,116,Provisional
202307,0202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"1,347,750","1,406,277","144,489",Provisional
202307,0202300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"2,397,151","2,487,755","341,595",Provisional
202307,0203120009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, fresh or chilled",KGM,"57,973","67,896","5,504",Provisional
202307,0203190009,"Meat; of swine (other than wild pork), fresh or chilled, (excluding carcasses, half-carcasses, and hams, shoulders and cuts thereof, with bone in)",KGM,"11,734","13,748","1,012",Provisional
202307,0203210008,"Meat; of swine, carcasses and half-carcasses, (other than wild pork), frozen",KGM,"2,928","3,052",114,Provisional
202307,0203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,"1,620,365","1,739,839","323,353",Provisional
202307,0203290011,"Meat; of swine n.e.c. in item no. 0203.2, frozen, meat bones and hocks",KGM,"1,073,992","1,174,109","303,091",Provisional
202307,0203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"20,165,812","21,261,134","3,471,332",Provisional
202307,0204220001,"Meat; of sheep, lamb cuts with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"11,863","19,647","5,199",Provisional
202307,0204220009,"Meat; of sheep (excluding lamb), cuts with bone in, fresh or chilled, (excluding carcasses and half-carcasses)",KGM,47,73,20,Provisional
202307,0204230001,"Meat; of sheep, boneless cuts of lamb, fresh or chilled",KGM,"1,406","2,023",598,Provisional
202307,0204420001,"Meat; of sheep, lamb cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"1,693,713","1,723,356","224,566",Provisional
202307,0204420009,"Meat; of sheep (excluding lamb), cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,592,869,251,Provisional
202307,0204430001,"Meat; of sheep, boneless cuts of lamb, frozen",KGM,"448,434","458,377","60,065",Provisional
202307,0204430009,"Meat; of sheep (excluding lamb), boneless cuts, frozen",KGM,"670,474","673,267","67,569",Provisional
202307,0206210000,"Offal, edible; of bovine animals, tongues, frozen",KGM,"86,472","99,296","12,156",Provisional
202307,0206220000,"Offal, edible; of bovine animals, livers, frozen",KGM,"2,427","2,787","1,201",Provisional
202307,0206290011,"Offal, edible; of bovine animals, kidneys, frozen",KGM,"46,544","51,108","24,930",Provisional
202307,0206290029,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.2, frozen",KGM,"7,358","8,063",390,Provisional
202307,0206410000,"Offal, edible; of swine, livers, frozen",KGM,"2,177","2,500","1,000",Provisional
202307,0206490001,"Offal, edible; of swine, hearts, frozen",KGM,"69,690","78,506","26,490",Provisional
202307,0206490009,"Offal, edible; of swine, kidneys, frozen",KGM,"4,927","5,657","2,880",Provisional
202307,0206490019,"Offal, edible; of swine, n.e.c. in item no. 0206.4, frozen",KGM,"181,360","210,864","74,997",Provisional
202307,0206800099,"Offal, edible; of goats, horses, asses, mules or hinnies, n.e.c. in item no. 0206.80, fresh or chilled",KGM,"41,209","45,158","1,160",Provisional
202307,0207279000,"Meat and edible offal; of turkeys, cuts and offal, frozen, excluding livers",KGM,"149,308","171,427","45,260",Provisional
202307,0207520000,"Meat and edible offal; of geese, not cut in pieces, frozen",KGM,"13,035","13,191",545,Provisional
202307,0207551000,"Meat and edible offal; of geese, cuts and offal, excluding fatty livers, frozen, livers",KGM,444,449,7,Provisional
202307,0207559000,"Meat and edible offal; of geese, cuts and offal, excluding fatty livers, frozen, excluding livers",KGM,"5,218","5,279",141,Provisional
202307,0208500000,"Meat and edible meat offal; of reptiles (including snakes and turtles), fresh, chilled or frozen",KGM,"7,329","9,718",526,Provisional
202307,0209100000,"Fat; pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",TNE,"131,664","150,479",41,Provisional
202307,0209900000,"Fat; poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",TNE,"16,559","17,346",0,Provisional
202307,0210110001,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, smoked",KGM,"13,347","13,804","2,100",Provisional
202307,0210110009,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, salted, in brine or dried",KGM,"72,354","78,055","7,799",Provisional
202307,0210120000,"Meat; of swine, bellies (streaky) and cuts thereof, salted, in brine, dried or smoked",KGM,"235,708","249,502","22,474",Provisional
202307,0210190001,"Meat; of swine, bacon, salted, in brine, dried or smoked",KGM,"573,074","581,268","55,032",Provisional
202307,0210190029,"Meat; of swine, n.e.c. in heading 0210, dried",KGM,"64,009","72,204","3,429",Provisional
202307,0210993050,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, n.e.c. in heading 0210",KGM,"144,093","165,043","1,575",Provisional
202307,0301110000,"Fish; live, ornamental, freshwater",KGM,"36,755","54,343","1,064",Provisional
202307,0301190000,"Fish; live, ornamental, other than freshwater",KGM,"19,487","24,788",434,Provisional
202307,0302110005,"Fish; fresh or chilled, trout (Salmo trutta, Salmo gairdneri, Salmo clarki, Salmo aguabonita, Salmo gilae), headed and gutted",KGM,"2,054","2,054",38,Provisional
202307,0302320011,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), headed and gutted",KGM,"55,966","103,816","11,101",Provisional
202307,0302470015,"Fish; fresh or chilled, swordfish (Xiphias gladius), headed and gutted",KGM,690,"1,267",141,Provisional
202307,0302710029,"Fish; fresh or chilled, tilapias (Oreochromis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"14,164","14,199","3,200",Provisional
202307,0303240010,"Fish; frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), whole",KGM,"4,766","4,963",749,Provisional
202307,0303250029,"Fish; frozen, carp (as specified by the WCO), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"2,860","2,978",575,Provisional
202307,0303290049,"Fish; frozen, Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"6,865","7,148","1,125",Provisional
202307,0303490013,"Fish; frozen, tuna, n.e.c. in item no. 0303.4, whole",KGM,"9,310","9,917","2,960",Provisional
202307,0303490049,"Fish; frozen, tuna, n.e.c. in item no. 0303.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"22,063","25,838","6,000",Provisional
202307,0303530015,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), headed and gutted",KGM,"3,218","3,469",700,Provisional
202307,0303540015,"Fish; frozen, mackerel (Scomber scombrus, Scomber japonicus), whole",KGM,"43,239","43,347","8,792",Provisional
202307,0303590010,"Fish; frozen, n.e.c. in item no. 0303.5, whole",KGM,"36,817","42,749","10,020",Provisional
202307,0303590019,"Fish; frozen, n.e.c. in item no. 0303.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"26,866","28,705","4,670",Provisional
202307,0303830017,"Fish; frozen, Antarctic toothfish (Dissostichus mawsoni), headed and gutted",KGM,"88,197","97,017","6,480",Provisional
202307,0303830031,"Fish; frozen, Antarctic toothfish (Dissostichus mawsoni), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"5,360,656","5,896,722","107,681",Provisional
202307,0303840029,"Fish; frozen, seabass (Dicentrarchus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"15,564","15,749",945,Provisional
202307,0303891023,"Fish; frozen, groper, whole",KGM,"39,283","40,074","1,920",Provisional
202307,0303891041,"Fish; frozen, mullet, whole",KGM,"66,414","69,925","34,440",Provisional
202307,0303891079,"Fish; frozen, n.e.c. in heading 0303, whole",KGM,"438,179","440,869","53,863",Provisional
202307,0303892041,"Fish; frozen, mullet, headed and gutted",KGM,"3,632","4,264","2,150",Provisional
202307,0303899042,"Fish; frozen, mullet, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"12,740","12,740","2,520",Provisional
202307,0303899079,"Fish; frozen, n.e.c. in heading 0303, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"69,802","79,083","12,476",Provisional
202307,0303910019,"Fish; frozen, livers, roes and milt, n.e.c. in item 0303.91",KGM,"7,359","7,782",195,Provisional
202307,0304310000,"Fish fillets; fresh or chilled, tilapias (Oreochromis spp.)",KGM,"25,006","25,305","3,666",Provisional
202307,0304490041,"Fish fillets; fresh or chilled, ling",KGM,932,983,50,Provisional
202307,0304490077,"Fish fillets; fresh or chilled, yellowtail kingfish",KGM,"10,167","12,087",292,Provisional
202307,0304490099,"Fish fillets; fresh or chilled, n.e.c. in item no. 0304.49",KGM,"12,581","12,732","1,089",Provisional
202307,0304610000,"Fish fillets; frozen, tilapias (Oreochromis spp.)",KGM,"113,431","113,715","25,000",Provisional
202307,0304620000,"Fish fillets; frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",KGM,"450,886","462,994","73,460",Provisional
202307,0304690010,"Fish fillets; frozen, carp (Cyprinus/Carassius/Ctenopharyngodon idellus/Hypophthalmichthys/Cirrhinus/Mylopharyngodon piceus/Catla catla/Labeo/Osteochilus hasselti/Leptobarbus hoeveni/Megalobrama), eels (Anguilla) and snakeheads (Channa)",KGM,224,224,10,Provisional
202307,0304790010,"Fish fillets; frozen, hoki, in blocks",KGM,"740,586","759,264","72,752",Provisional
202307,0304790019,"Fish fillets; frozen, hoki, other than in blocks",KGM,"381,786","391,532","42,682",Provisional
202307,0304790035,"Fish fillets; frozen, southern blue whiting, other than in blocks",KGM,"1,143","1,254",405,Provisional
202307,0304790039,"Fish fillets; frozen, of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, n.e.c. in item no. 0304.7",KGM,"7,748","8,501","2,745",Provisional
202307,0304810000,"Fish fillets; frozen, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), Atlantic (Salmo salar), and Danube (Hucho hucho)",KGM,"906,062","907,443","36,019",Provisional
202307,0304870010,"Fish fillets; frozen, southern bluefin",KGM,"5,120","6,955",52,Provisional
202307,0304870019,"Fish fillets; frozen, tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), other than southern bluefin",KGM,"172,194","178,423","7,780",Provisional
202307,0304890013,"Fish fillets; frozen, other than in blocks, bluenose",KGM,"2,950","3,236","1,045",Provisional
202307,0304890029,"Fish fillets; frozen, other than in blocks, gurnard",KGM,"3,105","3,407","1,100",Provisional
202307,0304890049,"Fish fillets; frozen, other than in blocks, monkfish",KGM,"7,861","8,625","2,785",Provisional
202307,0304890057,"Fish fillets; frozen, other than in blocks, oreo dory, smooth",KGM,428,439,23,Provisional
202307,0304890065,"Fish fillets; frozen, other than in blocks, snapper",KGM,"3,839","4,213","1,360",Provisional
202307,0304890075,"Fish fillets; frozen, other than in blocks, warehou, blue",KGM,"15,030","16,491","5,325",Provisional
202307,0304890099,"Fish fillets; frozen, other than in blocks, n.e.c. in item no. 0304.89",KGM,"124,879","127,497","9,670",Provisional
202307,0304990039,"Fish meat, excluding fillets, whether or not minced; frozen, n.e.c. in item no. 0304.9",KGM,"5,430","5,504",576,Provisional
202307,0305390011,"Fish fillets; dried, n.e.c. in item no. 0305.3",KGM,554,564,36,Provisional
202307,0305410010,"Fish; smoked, whether or not cooked before or during smoking, salmon, Pacific (Oncorhynchus nerka, gorbuscha, keta, tschawytscha, kisutch, masou, rhodurus), Atlantic (Salmo salar) and Danube (Hucho hucho), includes fillets, but excludes edible fish offal",KGM,"2,700,570","2,732,904","69,050",Provisional
202307,0305490015,"Fish; smoked, whether or not cooked before or during smoking, hoki, includes fillets, but excludes edible fish offal",KGM,"95,279","99,955","13,500",Provisional
202307,0305490025,"Fish; smoked, whether or not cooked before or during smoking, mackerel, includes fillets, but excludes edible fish offal",KGM,"25,203","25,673",922,Provisional
202307,0305490089,"Fish; smoked, whether or not cooked before or during smoking, n.e.c. in item no. 0305.4, includes fillets, but excludes edible fish offal",KGM,"7,728","7,854",662,Provisional
202307,0305540000,"Dried herrings, anchovies, sardines, sardinella, brisling or sprats, mackerel (incl Indian, jack, or horse), seerfishes, jacks, crevalles, cobia, silver pomfrets, Pacific saury, scads, capelin, swordfish, Kawakawa, bonitos, marlins, sailfishes, spearfish",KGM,529,543,24,Provisional
202307,0305590011,"Fish; dried, whether or not salted but not smoked, other than edible fish offal, n.e.c. in item no. 0305.5",KGM,"19,248","19,599",591,Provisional
202307,0305630010,"Fish; salted or in brine, not dried or smoked, other than edible fish offal, anchovies (Engrails spp.)",KGM,191,199,120,Provisional
202307,0306110001,"Crustaceans; frozen, rock lobsters and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water, whole",KGM,"16,839","19,138",341,Provisional
202307,0306110011,"Crustaceans; frozen, rock lobsters and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water, tails",KGM,9,10,10,Provisional
202307,0306140010,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",KGM,"698,024","729,495","85,405",Provisional
202307,0306160000,"Crustaceans; frozen, cold-water shrimps and prawns (Pandalus spp., Crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",KGM,30,31,1,Provisional
202307,0306170000,"Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",KGM,"4,589,497","4,697,117","372,896",Provisional
202307,0306952900,"Crustaceans; shrimps and prawns, other than smoked or whole, cooked",KGM,"5,194","5,887",177,Provisional
202307,0307190069,"Molluscs; oysters, other than New Zealand Dredge (Ostrea chilensis, Tiostrea chilensis), Pacific (Crassostrea gigas), or rock (Saccostrea cuccullatta, Saccostrea glomerata), other than live, fresh or chilled",DZN,"4,648","4,695",83,Provisional
