Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202507,0101210010,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, stallions",NMB,"230,637",1,0,0,"230,637",1,Provisional
202507,0101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,"37,777",2,0,0,"37,777",2,Provisional
202507,0101210027,"Horses; live, pure-bred breeding animals, thoroughbred, breeding stock, excluding race or sport breeding stock, mares",NMB,"479,913",10,0,0,"479,913",10,Provisional
202507,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"2,820,830",28,"512,000",6,"3,332,830",34,Provisional
202507,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"806,712",11,"25,000",1,"831,712",12,Provisional
202507,0101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"121,804",5,0,0,"121,804",5,Provisional
202507,0101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"160,450",6,0,0,"160,450",6,Provisional
202507,0101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"160,539",4,0,0,"160,539",4,Provisional
202507,0101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"115,354",4,0,0,"115,354",4,Provisional
202507,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"3,608,701","146,564",0,0,"3,608,701","146,564",Provisional
202507,0105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"2,163,350","76,450",0,0,"2,163,350","76,450",Provisional
202507,0106190019,"Mammals; live, dogs",NMB,"3,500",1,0,0,"3,500",1,Provisional
202507,0201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,"8,617",352,0,0,"8,617",352,Provisional
202507,0201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"1,018,433","45,450",0,0,"1,018,433","45,450",Provisional
202507,0201200059,"Meat; of bovine animals, quarters and cuts of veal (other than bobby), with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,308,14,0,0,308,14,Provisional
