Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202507,0101210010,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, stallions",NMB,Australia,"230,637",1,0,0,"230,637",1,Final
202507,0101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,Australia,"37,777",2,0,0,"37,777",2,Final
202507,0101210027,"Horses; live, pure-bred breeding animals, thoroughbred, breeding stock, excluding race or sport breeding stock, mares",NMB,Australia,"479,913",10,0,0,"479,913",10,Final
202507,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Australia,"1,085,830",11,"100,000",1,"1,185,830",12,Final
202507,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Hong Kong (Special Administrative Region),"1,705,000",7,"400,000",1,"2,105,000",8,Final
202507,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Malaysia,"30,000",10,"12,000",4,"42,000",14,Final
202507,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Australia,"803,712",10,"25,000",1,"828,712",11,Final
202507,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Malaysia,"3,000",1,0,0,"3,000",1,Final
202507,0101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,Australia,"121,804",5,0,0,"121,804",5,Final
202507,0101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,Australia,"160,450",6,0,0,"160,450",6,Final
202507,0101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,Australia,"160,539",4,0,0,"160,539",4,Final
202507,0101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,Australia,"115,354",4,0,0,"115,354",4,Final
202507,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Cook Islands,"6,140","1,122",0,0,"6,140","1,122",Final
202507,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Fiji,"209,806","37,333",0,0,"209,806","37,333",Final
202507,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Indonesia,"842,898","14,795",0,0,"842,898","14,795",Final
202507,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Sri Lanka,"387,911","9,686",0,0,"387,911","9,686",Final
202507,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Malaysia,"1,866,241","46,408",0,0,"1,866,241","46,408",Final
202507,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,New Caledonia,"27,692","2,325",0,0,"27,692","2,325",Final
202507,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Niue,"3,804",714,0,0,"3,804",714,Final
