Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Imports ($NZD vfd),Imports ($NZD cif),Imports Qty,Status
202507,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Australia,"176,877","210,457",5,Final
202507,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,New Zealand,"40,000","66,370",4,Final
202507,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,United States of America,"10,700","61,125",1,Final
202507,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Australia,"382,130","443,057",10,Final
202507,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,New Zealand,"20,000","26,350",1,Final
202507,0101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,New Zealand,"115,000","121,050",1,Final
202507,0101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,Australia,"27,450","33,500",1,Final
202507,0101290027,"Horses; live, other than pure-bred breeding animals, sport horses, other than for racing, standardbred, stallions, colts, and geldings",NMB,New Zealand,"42,750","48,800",1,Final
202507,0101290029,"Horses; live, other than pure-bred breeding animals, sport horses, other than for racing, standardbred, mares and fillies",NMB,Australia,"400,000","406,050",1,Final
202507,0101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,Australia,"285,315","309,615",4,Final
202507,0104100001,"Sheep; live, for breeding",NMB,Australia,"21,813","28,589",7,Final
202507,0104200010,"Goats; live, for breeding",NMB,Australia,"24,411","35,555",8,Final
202507,0106190019,"Mammals; live, dogs",NMB,Australia,"71,789","111,421",14,Final
202507,0106190019,"Mammals; live, dogs",NMB,New Zealand,"14,000","36,042",4,Final
202507,0106190029,"Mammals; live, other than primates, whales, dolphins, porpoises (order Cetacea), manatees, dugongs (order Sirenia), seals, sea lions, walruses (suborder Pinnipedia), camels, other camelids, rabbits, hares, deer, and dogs",NMB,Poland,"24,510","29,110",3,Final
202507,0106190029,"Mammals; live, other than primates, whales, dolphins, porpoises (order Cetacea), manatees, dugongs (order Sirenia), seals, sea lions, walruses (suborder Pinnipedia), camels, other camelids, rabbits, hares, deer, and dogs",NMB,United States of America,"1,562","6,672",2,Final
202507,0106490000,"Insects; live, other than bees",NMB,Costa Rica,"8,300","10,584","2,900",Final
202507,0106900000,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds, and insects",NMB,Germany,"1,170","2,745",80,Final
202507,0201200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Australia,"11,793","12,497",563,Final
