Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201906,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,"334,320",8,"59,760",2,"394,080",10,Final,,,,
201906,101210017,"Horses; live, pure-bred breeding animals, thoroughbred, sport breeding stock, excluding race breeding stock, stallions",NMB,"33,000",4,0,0,"33,000",4,Final,,,,
201906,101210027,"Horses; live, pure-bred breeding animals, thoroughbred, breeding stock, excluding race or sport breeding stock, mares",NMB,"3,619,388",12,0,0,"3,619,388",12,Final,,,,
201906,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"3,244,570",56,"216,410",3,"3,460,980",59,Final,,,,
201906,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"656,370",22,"260,000",3,"916,370",25,Final,,,,
201906,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"629,097",24,"244,000",4,"873,097",28,Final,,,,
201906,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"218,950",7,0,0,"218,950",7,Final,,,,
201906,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"75,700",4,0,0,"75,700",4,Final,,,,
201906,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"95,000",6,0,0,"95,000",6,Final,,,,
201906,104200010,"Goats; live, for breeding",NMB,"824,000",950,0,0,"824,000",950,Final,,,,
201906,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"2,310,042","111,671","480,264","16,640","2,790,306","128,311",Final,,,,
201906,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"371,148","54,537",0,0,"371,148","54,537",Final,,,,
201906,106320000,"Birds; live, Psittaciformes, including parrots, parakeets, macaws, and cockatoos",NMB,"55,147",155,0,0,"55,147",155,Final,,,,
201906,106410010,"Insects; live, queen bees, in packages",NMB,"11,627",275,0,0,"11,627",275,Final,,,,
201906,201200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, fresh or chilled",KGM,"93,985","8,750",0,0,"93,985","8,750",Final,,,,
201906,201200029,"Meat; of bovine animals, beef quarters of cow, G grade, with bone in, fresh or chilled",KGM,"3,440",205,0,0,"3,440",205,Final,,,,
201906,201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,"24,162",936,0,0,"24,162",936,Final,,,,
201906,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"805,866","49,664",0,0,"805,866","49,664",Final,,,,
201906,201200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"99,636","7,288",0,0,"99,636","7,288",Final,,,,
201906,201200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0201.20, fresh or chilled",KGM,"3,829",123,0,0,"3,829",123,Final,,,,
201906,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"34,769,884","2,635,901",951,75,"34,770,835","2,635,976",Final,,,,
201906,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"749,843","90,747",0,0,"749,843","90,747",Final,,,,
201906,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,"2,613,707","230,607",0,0,"2,613,707","230,607",Final,,,,
201906,202100011,"Meat; of bovine animals, half-carcasses of veal (other than bobby), frozen",KGM,"2,536",713,0,0,"2,536",713,Final,,,,
201906,202100019,"Meat; of bovine animals, half-carcasses n.e.c. in item no. 0202.10, frozen",KGM,"9,675","5,347",0,0,"9,675","5,347",Final,,,,
201906,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,"1,992","1,060",0,0,"1,992","1,060",Final,,,,
201906,202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,132,40,0,0,132,40,Final,,,,
201906,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"18,942,102","2,991,707",0,0,"18,942,102","2,991,707",Final,,,,
201906,202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"3,788,603","1,873,696",0,0,"3,788,603","1,873,696",Final,,,,
201906,202200051,"Meat; of bovine animals, beef cuts of bull, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"5,825,820","1,215,503",0,0,"5,825,820","1,215,503",Final,,,,
