Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,
202206,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,Australia,"23,520",3,"340,000",2,"363,520",5,Final,,,
202206,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Australia,"2,846,747",38,"899,202",15,"3,745,949",53,Final,,,
202206,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Hong Kong (Special Administrative Region),"775,000",5,0,0,"775,000",5,Final,,,
202206,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Australia,"1,422,121",17,"500,000",2,"1,922,121",19,Final,,,
202206,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,Australia,"455,138",32,0,0,"455,138",32,Final,,,
202206,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,United States of America,"90,000",2,0,0,"90,000",2,Final,,,
202206,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,Australia,"292,432",31,0,0,"292,432",31,Final,,,
202206,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,United States of America,"202,000",4,0,0,"202,000",4,Final,,,
202206,101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,Australia,"6,000",1,0,0,"6,000",1,Final,,,
202206,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,Australia,"77,250",5,0,0,"77,250",5,Final,,,
202206,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,Australia,"206,124",7,0,0,"206,124",7,Final,,,
202206,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"China, People's Republic of","3,533,063",800,0,0,"3,533,063",800,Final,,,
202206,102290010,"Cattle; live, other than pure-bred, for breeding, dairy",NMB,"China, People's Republic of","12,564,455","2,845",0,0,"12,564,455","2,845",Final,,,
202206,104100001,"Sheep; live, for breeding",NMB,Chile,"28,797",9,0,0,"28,797",9,Final,,,
202206,104100001,"Sheep; live, for breeding",NMB,Peru,"136,889",13,0,0,"136,889",13,Final,,,
202206,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Cook Islands,"2,439",416,0,0,"2,439",416,Final,,,
202206,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Fiji,"212,400","78,087",0,0,"212,400","78,087",Final,,,
202206,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,France,"58,210",78,0,0,"58,210",78,Final,,,
202206,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Nepal,"607,424","15,164",0,0,"607,424","15,164",Final,,,
202206,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Papua New Guinea,"178,764","18,208",0,0,"178,764","18,208",Final,,,
202206,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Philippines,"28,077","2,080",0,0,"28,077","2,080",Final,,,
202206,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Thailand,"910,410","21,818",0,0,"910,410","21,818",Final,,,
202206,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Samoa,"22,852","6,300",0,0,"22,852","6,300",Final,,,
202206,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Fiji,"220,271","45,802",0,0,"220,271","45,802",Final,,,
202206,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Malaysia,"1,427,348","29,500",0,0,"1,427,348","29,500",Final,,,
202206,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,French Polynesia,"32,739","12,240",0,0,"32,739","12,240",Final,,,
202206,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Papua New Guinea,"22,408","1,900",0,0,"22,408","1,900",Final,,,
202206,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Tonga,"24,000","3,085",0,0,"24,000","3,085",Final,,,
202206,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Vanuatu,"24,120","7,468",0,0,"24,120","7,468",Final,,,
202206,106320000,"Birds; live, Psittaciformes, including parrots, parakeets, macaws, and cockatoos",NMB,"Korea, Republic of","122,132",60,0,0,"122,132",60,Final,,,
202206,201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,Belgium,"2,266",109,0,0,"2,266",109,Final,,,
202206,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,United Arab Emirates,"158,523","8,987",0,0,"158,523","8,987",Final,,,
202206,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Australia,"6,275",525,0,0,"6,275",525,Final,,,
202206,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Belgium,"10,866",410,0,0,"10,866",410,Final,,,
202206,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Bahrain,"39,395","2,177",0,0,"39,395","2,177",Final,,,
202206,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Canada,"25,342","1,078",0,0,"25,342","1,078",Final,,,
202206,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"China, People's Republic of","73,056","4,402",0,0,"73,056","4,402",Final,,,
202206,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Denmark,"1,074",59,0,0,"1,074",59,Final,,,
202206,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Fiji,"6,989",378,0,0,"6,989",378,Final,,,
202206,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,France,"2,600",135,0,0,"2,600",135,Final,,,
202206,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Hong Kong (Special Administrative Region),"4,800",166,0,0,"4,800",166,Final,,,
202206,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Italy,"5,884",421,0,0,"5,884",421,Final,,,
202206,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Jordan,"11,577",513,0,0,"11,577",513,Final,,,
202206,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Japan,"4,743",245,0,0,"4,743",245,Final,,,
202206,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Kuwait,"22,169","1,477",0,0,"22,169","1,477",Final,,,
