Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202306,0101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,"59,500",2,0,0,"59,500",2,Provisional
202306,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"3,084,835",44,"210,000",1,"3,294,835",45,Provisional
202306,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"1,684,632",24,0,0,"1,684,632",24,Provisional
202306,0101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"483,600",18,0,0,"483,600",18,Provisional
202306,0101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"125,502",10,0,0,"125,502",10,Provisional
202306,0101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,"40,000",2,0,0,"40,000",2,Provisional
202306,0101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"156,650",9,0,0,"156,650",9,Provisional
202306,0101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"357,735",11,0,0,"357,735",11,Provisional
202306,0104100001,"Sheep; live, for breeding",NMB,"146,975",31,0,0,"146,975",31,Provisional
202306,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"3,599,050","172,603",0,0,"3,599,050","172,603",Provisional
202306,0105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"4,367,874","102,306",0,0,"4,367,874","102,306",Provisional
202306,0106190029,"Mammals; live, other than primates, whales, dolphins, porpoises (order Cetacea), manatees, dugongs (order Sirenia), seals, sea lions, walruses (suborder Pinnipedia), camels, other camelids, rabbits, hares, deer, and dogs",NMB,"161,500",24,0,0,"161,500",24,Provisional
202306,0201200029,"Meat; of bovine animals, beef quarters of cow, G grade, with bone in, fresh or chilled",KGM,"3,589",305,0,0,"3,589",305,Provisional
202306,0201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,"36,652","2,631",0,0,"36,652","2,631",Provisional
202306,0201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"902,062","47,020",0,0,"902,062","47,020",Provisional
202306,0201200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0201.20, fresh or chilled",KGM,"20,792","1,769",0,0,"20,792","1,769",Provisional
202306,0201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"41,952,508","2,482,218",0,0,"41,952,508","2,482,218",Provisional
202306,0201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"630,019","60,232",0,0,"630,019","60,232",Provisional
202306,0201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,"2,044,651","123,017",0,0,"2,044,651","123,017",Provisional
202306,0201300021,"Meat; of bovine animals, boneless cuts of veal (bobby), fresh or chilled",KGM,"37,158","1,625",0,0,"37,158","1,625",Provisional
202306,0202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,"6,360",165,0,0,"6,360",165,Provisional
202306,0202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,"1,878,268","432,172",0,0,"1,878,268","432,172",Provisional
202306,0202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"26,491,520","3,665,828","55,620","10,458","26,547,140","3,676,286",Provisional
202306,0202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"4,991,994","2,130,352",0,0,"4,991,994","2,130,352",Provisional
