Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202506,0101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,"288,890",1,0,0,"288,890",1,Final
202506,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"3,171,214",25,"855,000",5,"4,026,214",30,Final
202506,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"2,214,285",16,"795,880",2,"3,010,165",18,Final
202506,0101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"784,109",13,0,0,"784,109",13,Final
202506,0101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"354,945",9,0,0,"354,945",9,Final
202506,0101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,"3,235",1,0,0,"3,235",1,Final
202506,0101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"163,475",4,"5,000",1,"168,475",5,Final
202506,0101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"126,000",5,0,0,"126,000",5,Final
202506,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"1,181,675","161,765",0,0,"1,181,675","161,765",Final
202506,0105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"3,457,908","69,498",0,0,"3,457,908","69,498",Final
202506,0106190019,"Mammals; live, dogs",NMB,"1,500",2,0,0,"1,500",2,Final
202506,0201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,"16,475",502,0,0,"16,475",502,Final
202506,0201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"992,040","46,724",0,0,"992,040","46,724",Final
202506,0201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"62,843,452","3,256,594",0,0,"62,843,452","3,256,594",Final
202506,0201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"278,760","25,052",0,0,"278,760","25,052",Final
202506,0201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,"1,363,896","57,433",0,0,"1,363,896","57,433",Final
202506,0202100001,"Meat; of bovine animals, carcasses, frozen",KGM,"2,946","1,002",0,0,"2,946","1,002",Final
202506,0202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,"903,714","232,212",0,0,"903,714","232,212",Final
202506,0202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"18,999,990","2,636,330",0,0,"18,999,990","2,636,330",Final
202506,0202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"6,009,614","2,510,294",0,0,"6,009,614","2,510,294",Final
202506,0202200051,"Meat; of bovine animals, beef cuts of bull, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"5,347,905","1,240,175",0,0,"5,347,905","1,240,175",Final
202506,0202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,"3,506,506","704,998",880,57,"3,507,386","705,054",Final
202506,0202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"268,156,649","23,676,948",0,0,"268,156,649","23,676,948",Final
202506,0202300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"16,547,671","1,632,260",0,0,"16,547,671","1,632,260",Final
202506,0202300011,"Meat; of bovine animals, boneless cuts of bull, frozen",KGM,"60,846,276","5,029,945",0,0,"60,846,276","5,029,945",Final
202506,0202300029,"Meat; of bovine animals, boneless cuts of veal (other than bobby), frozen",KGM,"449,942","126,092",0,0,"449,942","126,092",Final
202506,0203120009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, fresh or chilled",KGM,"2,298",323,0,0,"2,298",323,Final
202506,0203190009,"Meat; of swine (other than wild pork), fresh or chilled, (excluding carcasses, half-carcasses, and hams, shoulders and cuts thereof, with bone in)",KGM,"1,671",435,"6,143",999,"7,814","1,434",Final
202506,0203210008,"Meat; of swine, carcasses and half-carcasses, (other than wild pork), frozen",KGM,"13,889","1,673",0,0,"13,889","1,673",Final
202506,0203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,"54,762","7,431",356,41,"55,118","7,472",Final
202506,0203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"356,488","36,777","6,853","1,000","363,341","37,777",Final
202506,0204100038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, fresh or chilled",KGM,"12,299",815,0,0,"12,299",815,Final
202506,0204100042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, fresh or chilled",KGM,"19,837","1,326",0,0,"19,837","1,326",Final
202506,0204220001,"Meat; of sheep, lamb cuts with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"32,640,451","1,461,244",0,0,"32,640,451","1,461,244",Final
202506,0204230001,"Meat; of sheep, boneless cuts of lamb, fresh or chilled",KGM,"21,142,597","835,131",0,0,"21,142,597","835,131",Final
202506,0204230009,"Meat; of sheep (excluding lamb), boneless cuts, fresh or chilled",KGM,"11,385",542,0,0,"11,385",542,Final
202506,0204300002,"Meat; of sheep, lamb carcasses and half-carcasses, A grade, frozen",KGM,"64,400","4,889",0,0,"64,400","4,889",Final
202506,0204300032,"Meat; of sheep, lamb carcasses and half-carcasses, YL grade, frozen",KGM,"193,464","15,313",0,0,"193,464","15,313",Final
202506,0204300038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, frozen",KGM,"709,808","61,861",0,0,"709,808","61,861",Final
202506,0204300048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.30, frozen",KGM,"392,333","17,149",0,0,"392,333","17,149",Final
202506,0204410022,"Meat; of sheep, mutton carcasses and half-carcasses, MF grade, frozen",KGM,"110,961","19,434",0,0,"110,961","19,434",Final
202506,0204410028,"Meat; of sheep, mutton carcasses and half-carcasses, MH grade, frozen",KGM,"231,397","37,195",0,0,"231,397","37,195",Final
202506,0204410032,"Meat; of sheep, mutton carcasses and half-carcasses, ML grade, frozen",KGM,"305,763","51,818",0,0,"305,763","51,818",Final
202506,0204410038,"Meat; of sheep, mutton carcasses and half-carcasses, MM grade, frozen",KGM,"4,028",619,0,0,"4,028",619,Final
202506,0204410042,"Meat; of sheep, mutton carcasses and half-carcasses, MX grade, frozen",KGM,"2,666,101","390,267",0,0,"2,666,101","390,267",Final
202506,0204410048,"Meat; of sheep, mutton carcasses and half-carcasses n.e.c. in item no. 0204.41, frozen",KGM,"1,501,372","211,256",0,0,"1,501,372","211,256",Final
202506,0204410058,"Meat; of sheep, ram carcasses and half-carcasses, frozen",KGM,"87,665","13,364",0,0,"87,665","13,364",Final
202506,0204420001,"Meat; of sheep, lamb cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"186,355,873","14,126,228",0,0,"186,355,873","14,126,228",Final
202506,0204420009,"Meat; of sheep (excluding lamb), cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"8,919,031","1,228,060",0,0,"8,919,031","1,228,060",Final
