Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201903,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,"104,956",4,0,0,"104,956",4,Final,,,,
201903,101210027,"Horses; live, pure-bred breeding animals, thoroughbred, breeding stock, excluding race or sport breeding stock, mares",NMB,"163,488",6,0,0,"163,488",6,Final,,,,
201903,101210049,"Horses; live, pure-bred breeding animals, standardbred, breeding stock, excluding race or sport breeding stock, mares",NMB,"10,300",4,0,0,"10,300",4,Final,,,,
201903,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"11,218,886",100,"381,500",3,"11,600,386",103,Final,,,,
201903,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"4,705,959",70,"1,287,946",14,"5,993,905",84,Final,,,,
201903,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"707,707",30,0,0,"707,707",30,Final,,,,
201903,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"663,997",20,0,0,"663,997",20,Final,,,,
201903,101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,"1,050",1,0,0,"1,050",1,Final,,,,
201903,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"39,000",4,"28,186",1,"67,186",5,Final,,,,
201903,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"220,400",8,0,0,"220,400",8,Final,,,,
201903,101900000,Mules and hinnies; live,NMB,"1,000",1,0,0,"1,000",1,Final,,,,
201903,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"14,628,287","6,397",0,0,"14,628,287","6,397",Final,,,,
201903,104100001,"Sheep; live, for breeding",NMB,"20,448",4,0,0,"20,448",4,Final,,,,
201903,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"1,778,575","72,086","470,519","16,640","2,249,094","88,726",Final,,,,
