Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202203,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,"4,300",1,"3,765",1,"8,065",2,Final,,,,
202203,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"13,095,911",105,"1,740,000",9,"14,835,911",114,Final,,,,
202203,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"3,619,110",43,"1,344,000",6,"4,963,110",49,Final,,,,
202203,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"926,904",26,0,0,"926,904",26,Final,,,,
202203,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"303,172",15,0,0,"303,172",15,Final,,,,
202203,101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,"6,000",1,0,0,"6,000",1,Final,,,,
202203,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"14,501",4,0,0,"14,501",4,Final,,,,
202203,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"53,937",9,0,0,"53,937",9,Final,,,,
202203,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"27,241,941","9,436",0,0,"27,241,941","9,436",Final,,,,
202203,102210019,"Cattle; live, pure-bred breeding animals, beef",NMB,"5,960,270","3,143",0,0,"5,960,270","3,143",Final,,,,
202203,102290010,"Cattle; live, other than pure-bred, for breeding, dairy",NMB,"1,688,420",564,0,0,"1,688,420",564,Final,,,,
202203,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"3,782,537","225,431",0,0,"3,782,537","225,431",Final,,,,
202203,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"2,721,385","92,728",0,0,"2,721,385","92,728",Final,,,,
202203,106190019,"Mammals; live, dogs",NMB,"2,000",2,0,0,"2,000",2,Final,,,,
202203,106190029,"Mammals; live, other than primates, whales, dolphins, porpoises (order Cetacea), manatees, dugongs (order Sirenia), seals, sea lions, walruses (suborder Pinnipedia), camels, other camelids, rabbits, hares, deer, and dogs",NMB,"1,500",1,0,0,"1,500",1,Final,,,,
202203,106410010,"Insects; live, queen bees, in packages",NMB,"1,155,169","6,288",0,0,"1,155,169","6,288",Final,,,,
202203,201200029,"Meat; of bovine animals, beef quarters of cow, G grade, with bone in, fresh or chilled",KGM,"1,958",108,0,0,"1,958",108,Final,,,,
202203,201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,"8,795",429,0,0,"8,795",429,Final,,,,
202203,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"1,549,451","99,222",0,0,"1,549,451","99,222",Final,,,,
202203,201200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"2,546",235,0,0,"2,546",235,Final,,,,
202203,201200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0201.20, fresh or chilled",KGM,"1,878",107,0,0,"1,878",107,Final,,,,
202203,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"45,956,160","2,775,445",781,51,"45,956,941","2,775,496",Final,,,,
202203,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"469,692","33,375",0,0,"469,692","33,375",Final,,,,
202203,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,"3,709,120","280,044",0,0,"3,709,120","280,044",Final,,,,
202203,202100019,"Meat; of bovine animals, half-carcasses n.e.c. in item no. 0202.10, frozen",KGM,"15,704","1,824",0,0,"15,704","1,824",Final,,,,
202203,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,"554,156","77,229",0,0,"554,156","77,229",Final,,,,
202203,202200009,"Meat; of bovine animals, beef quarters of steer and heifer, G grade, with bone in, frozen",KGM,"65,014","22,993",0,0,"65,014","22,993",Final,,,,
202203,202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,"850,732","121,096",0,0,"850,732","121,096",Final,,,,
202203,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"21,059,486","2,766,810",0,0,"21,059,486","2,766,810",Final,,,,
202203,202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"5,499,686","1,505,064",0,0,"5,499,686","1,505,064",Final,,,,
202203,202200051,"Meat; of bovine animals, beef cuts of bull, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"12,087,217","1,815,281",0,0,"12,087,217","1,815,281",Final,,,,
202203,202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,"586,902","244,008",0,0,"586,902","244,008",Final,,,,
202203,202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"204,359,202","20,367,378",0,0,"204,359,202","20,367,378",Final,,,,
202203,202300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"7,718,274","906,365",0,0,"7,718,274","906,365",Final,,,,
202203,202300011,"Meat; of bovine animals, boneless cuts of bull, frozen",KGM,"146,518,342","13,335,862",0,0,"146,518,342","13,335,862",Final,,,,
