Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,
202203,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,Australia,"4,300",1,"3,765",1,"8,065",2,Final,,,
202203,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Australia,"9,061,411",72,"200,000",1,"9,261,411",73,Final,,,
202203,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Hong Kong (Special Administrative Region),"3,415,000",15,"1,440,000",6,"4,855,000",21,Final,,,
202203,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Malaysia,"31,000",4,"10,000",1,"41,000",5,Final,,,
202203,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Singapore,"588,500",14,"90,000",1,"678,500",15,Final,,,
202203,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Australia,"3,616,110",42,"1,344,000",6,"4,960,110",48,Final,,,
202203,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Malaysia,"3,000",1,0,0,"3,000",1,Final,,,
202203,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,Australia,"926,904",26,0,0,"926,904",26,Final,,,
202203,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,Australia,"303,172",15,0,0,"303,172",15,Final,,,
202203,101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,Australia,"6,000",1,0,0,"6,000",1,Final,,,
202203,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,Australia,"14,501",4,0,0,"14,501",4,Final,,,
202203,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,Australia,"53,937",9,0,0,"53,937",9,Final,,,
202203,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"China, People's Republic of","27,241,941","9,436",0,0,"27,241,941","9,436",Final,,,
202203,102210019,"Cattle; live, pure-bred breeding animals, beef",NMB,"China, People's Republic of","5,960,270","3,143",0,0,"5,960,270","3,143",Final,,,
202203,102290010,"Cattle; live, other than pure-bred, for breeding, dairy",NMB,"China, People's Republic of","1,688,420",564,0,0,"1,688,420",564,Final,,,
202203,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Bangladesh,"183,404","6,740",0,0,"183,404","6,740",Final,,,
202203,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"China, People's Republic of","555,098","14,976",0,0,"555,098","14,976",Final,,,
202203,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Fiji,"208,105","68,091",0,0,"208,105","68,091",Final,,,
202203,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Malaysia,"395,151","10,443",0,0,"395,151","10,443",Final,,,
202203,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Papua New Guinea,"235,518","22,710",0,0,"235,518","22,710",Final,,,
202203,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Philippines,"434,032","56,882",0,0,"434,032","56,882",Final,,,
202203,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Thailand,"1,748,483","45,493",0,0,"1,748,483","45,493",Final,,,
202203,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Samoa,"22,746",96,0,0,"22,746",96,Final,,,
202203,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Bangladesh,"460,377","10,860",0,0,"460,377","10,860",Final,,,
202203,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Fiji,"68,006","34,737",0,0,"68,006","34,737",Final,,,
202203,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Malaysia,"2,145,264","37,000",0,0,"2,145,264","37,000",Final,,,
202203,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Papua New Guinea,"16,674","2,520",0,0,"16,674","2,520",Final,,,
202203,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Tonga,"24,314","5,111",0,0,"24,314","5,111",Final,,,
202203,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Vanuatu,"6,750","2,500",0,0,"6,750","2,500",Final,,,
202203,106190019,"Mammals; live, dogs",NMB,Australia,"2,000",2,0,0,"2,000",2,Final,,,
202203,106190029,"Mammals; live, other than primates, whales, dolphins, porpoises (order Cetacea), manatees, dugongs (order Sirenia), seals, sea lions, walruses (suborder Pinnipedia), camels, other camelids, rabbits, hares, deer, and dogs",NMB,Australia,"1,500",1,0,0,"1,500",1,Final,,,
202203,106410010,"Insects; live, queen bees, in packages",NMB,Canada,"1,155,169","6,288",0,0,"1,155,169","6,288",Final,,,
202203,201200029,"Meat; of bovine animals, beef quarters of cow, G grade, with bone in, fresh or chilled",KGM,United Arab Emirates,"1,958",108,0,0,"1,958",108,Final,,,
202203,201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,Hong Kong (Special Administrative Region),"1,508",91,0,0,"1,508",91,Final,,,
202203,201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,Singapore,"7,287",338,0,0,"7,287",338,Final,,,
202203,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,United Arab Emirates,"132,263","9,560",0,0,"132,263","9,560",Final,,,
202203,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Belgium,"9,760",411,0,0,"9,760",411,Final,,,
202203,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Bahrain,"38,506","2,241",0,0,"38,506","2,241",Final,,,
202203,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Canada,"80,457","4,301",0,0,"80,457","4,301",Final,,,
202203,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"China, People's Republic of","73,137","4,899",0,0,"73,137","4,899",Final,,,
202203,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Hong Kong (Special Administrative Region),"7,375",383,0,0,"7,375",383,Final,,,
202203,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Italy,"11,152",687,0,0,"11,152",687,Final,,,
202203,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Jordan,"2,952",148,0,0,"2,952",148,Final,,,
202203,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Japan,"8,006",380,0,0,"8,006",380,Final,,,
202203,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"Korea, Republic of","672,481","50,231",0,0,"672,481","50,231",Final,,,
202203,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Kuwait,"16,549","1,135",0,0,"16,549","1,135",Final,,,
202203,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Malaysia,"1,780",114,0,0,"1,780",114,Final,,,
202203,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,New Caledonia,"59,013","2,803",0,0,"59,013","2,803",Final,,,
202203,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Oman,"12,766",646,0,0,"12,766",646,Final,,,
202203,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,French Polynesia,"149,513","7,696",0,0,"149,513","7,696",Final,,,
202203,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Qatar,"3,470",211,0,0,"3,470",211,Final,,,
202203,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Saudi Arabia,"46,127","2,770",0,0,"46,127","2,770",Final,,,
202203,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Singapore,"44,150","2,155",0,0,"44,150","2,155",Final,,,
202203,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,United States of America,"160,849","7,493",0,0,"160,849","7,493",Final,,,
202203,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Wallis and Futuna,"19,145",958,0,0,"19,145",958,Final,,,
202203,201200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,French Polynesia,"2,546",235,0,0,"2,546",235,Final,,,
202203,201200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0201.20, fresh or chilled",KGM,Singapore,"1,878",107,0,0,"1,878",107,Final,,,
202203,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,United Arab Emirates,"1,804,933","125,336",0,0,"1,804,933","125,336",Final,,,
202203,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Australia,"1,472,789","84,363",0,0,"1,472,789","84,363",Final,,,
202203,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Belgium,"840,899","31,510",0,0,"840,899","31,510",Final,,,
202203,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Bahrain,"639,670","43,368",0,0,"639,670","43,368",Final,,,
202203,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Canada,"1,935,483","113,304",0,0,"1,935,483","113,304",Final,,,
202203,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Switzerland,"10,810",377,0,0,"10,810",377,Final,,,
202203,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"China, People's Republic of","5,517,952","459,176",0,0,"5,517,952","459,176",Final,,,
202203,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Germany,"1,384,857","49,597",0,0,"1,384,857","49,597",Final,,,
202203,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Denmark,"461,717","26,425",0,0,"461,717","26,425",Final,,,
202203,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Fiji,"33,635","1,267",0,0,"33,635","1,267",Final,,,
