Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202303,101210010,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, stallions",NMB,"35,000",1,0,0,"35,000",1,Provisional,,,,
202303,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,"135,160",1,0,0,"135,160",1,Provisional,,,,
202303,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"5,949,110",54,"137,708",15,"6,086,818",69,Provisional,,,,
202303,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"1,950,280",21,"640,000",3,"2,590,280",24,Provisional,,,,
202303,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"1,779,392",49,0,0,"1,779,392",49,Provisional,,,,
202303,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"752,500",40,0,0,"752,500",40,Provisional,,,,
202303,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"68,501",9,0,0,"68,501",9,Provisional,,,,
202303,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"13,598",3,0,0,"13,598",3,Provisional,,,,
202303,104100001,"Sheep; live, for breeding",NMB,"33,500",40,0,0,"33,500",40,Provisional,,,,
202303,104100009,"Sheep; live, for other than breeding",NMB,"70,548",45,0,0,"70,548",45,Provisional,,,,
202303,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"4,377,906","264,148",0,0,"4,377,906","264,148",Provisional,,,,
202303,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"1,703,166","69,204",0,0,"1,703,166","69,204",Provisional,,,,
202303,106190019,"Mammals; live, dogs",NMB,0,0,28,1,28,1,Provisional,,,,
202303,106410010,"Insects; live, queen bees, in packages",NMB,"1,421,178","9,309",0,0,"1,421,178","9,309",Provisional,,,,
202303,106410019,"Insects; live, queen bees, other than in packages",NMB,"11,670",248,0,0,"11,670",248,Provisional,,,,
202303,106410029,"Insects; live, bees other than queen bees",NMB,"391,617","19,712,000",0,0,"391,617","19,712,000",Provisional,,,,
202303,201200029,"Meat; of bovine animals, beef quarters of cow, G grade, with bone in, fresh or chilled",KGM,"10,405",463,0,0,"10,405",463,Provisional,,,,
202303,201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,"66,139","4,087","2,195",600,"68,334","4,687",Provisional,,,,
202303,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"1,082,050","64,852",0,0,"1,082,050","64,852",Provisional,,,,
202303,201200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0201.20, fresh or chilled",KGM,"24,392","1,015",0,0,"24,392","1,015",Provisional,,,,
202303,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"38,268,300","2,426,018","1,453",73,"38,269,753","2,426,091",Provisional,,,,
202303,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"774,790","73,787",0,0,"774,790","73,787",Provisional,,,,
202303,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,"2,672,802","202,895",0,0,"2,672,802","202,895",Provisional,,,,
202303,202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,"1,264,533","235,331",0,0,"1,264,533","235,331",Provisional,,,,
202303,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"20,952,762","3,155,052","66,916","12,304","21,019,678","3,167,356",Provisional,,,,
