month,hs,hs_desc,uom,Export_FOB,Export_Qty,Re_export_FOB,Re_export_Qty,total_export_FOB,total_export_qty,status
202503,0101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,47244,2,0,0,47244,2,Final
202503,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,4064258,36,2332500,8,6396758,44,Final
202503,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,3520529,22,0,0,3520529,22,Final
202503,0101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,55525,2,0,0,55525,2,Final
202503,0101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,171162,5,0,0,171162,5,Final
202503,0101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,418794,2,0,0,418794,2,Final
202503,0101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,94489,4,0,0,94489,4,Final
202503,0104100001,"Sheep; live, for breeding",NMB,99800,10,0,0,99800,10,Final
202503,0104100009,"Sheep; live, for other than breeding",NMB,399260,30,0,0,399260,30,Final
202503,0104200010,"Goats; live, for breeding",NMB,89358,67,0,0,89358,67,Final
202503,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,683926,76948,0,0,683926,76948,Final
202503,0105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,179639,15755,0,0,179639,15755,Final
202503,0106190019,"Mammals; live, dogs",NMB,4219,3,0,0,4219,3,Final
202503,0106190029,"Mammals; live, other than primates, whales, dolphins, porpoises (order Cetacea), manatees, dugongs (order Sirenia), seals, sea lions, walruses (suborder Pinnipedia), camels, other camelids, rabbits, hares, deer, and dogs",NMB,5000,4,0,0,5000,4,Final
202503,0106410010,"Insects; live, queen bees, in packages",NMB,948793,5770,0,0,948793,5770,Final
202503,0106410019,"Insects; live, queen bees, other than in packages",NMB,4048,72,0,0,4048,72,Final
202503,0106410029,"Insects; live, bees other than queen bees",NMB,112497,6336000,0,0,112497,6336000,Final
202503,0201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,1363021,62215,0,0,1363021,62215,Final
202503,0201200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,41848,1349,0,0,41848,1349,Final
202503,0201200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0201.20, fresh or chilled",KGM,14552,962,0,0,14552,962,Final
202503,0201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,69775656,3672219,0,0,69775656,3672219,Final
202503,0201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,795698,72774,0,0,795698,72774,Final
202503,0201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,3209289,155546,0,0,3209289,155546,Final
202503,0201300021,"Meat; of bovine animals, boneless cuts of veal (bobby), fresh or chilled",KGM,16663,1181,0,0,16663,1181,Final
202503,0202100001,"Meat; of bovine animals, carcasses, frozen",KGM,13751,3438,0,0,13751,3438,Final
202503,0202100011,"Meat; of bovine animals, half-carcasses of veal (other than bobby), frozen",KGM,9369,2466,0,0,9369,2466,Final
202503,0202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,169858,52218,0,0,169858,52218,Final
202503,0202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,17417517,2567709,0,0,17417517,2567709,Final
202503,0202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,6527389,2454142,0,0,6527389,2454142,Final
202503,0202200051,"Meat; of bovine animals, beef cuts of bull, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,8978412,1676698,0,0,8978412,1676698,Final
202503,0202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,477027,164256,0,0,477027,164256,Final
202503,0202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,261328183,23884529,0,0,261328183,23884529,Final
