Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201905,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,"199,780",10,0,0,"199,780",10,Final,,,,
201905,101210027,"Horses; live, pure-bred breeding animals, thoroughbred, breeding stock, excluding race or sport breeding stock, mares",NMB,"1,175,488",26,"52,835",1,"1,228,323",27,Final,,,,
201905,101210041,"Horses; live, pure-bred breeding animals, standardbred, breeding stock, excluding race or sport breeding stock, stallions",NMB,"28,000",4,0,0,"28,000",4,Final,,,,
201905,101210049,"Horses; live, pure-bred breeding animals, standardbred, breeding stock, excluding race or sport breeding stock, mares",NMB,"32,500",5,0,0,"32,500",5,Final,,,,
201905,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"6,938,480",90,"140,746",2,"7,079,226",92,Final,,,,
201905,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"3,133,944",44,"867,460",10,"4,001,404",54,Final,,,,
201905,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"776,582",43,"32,246",1,"808,828",44,Final,,,,
201905,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"389,036",22,"304,492",2,"693,528",24,Final,,,,
201905,101290023,"Horses; live, other than pure-bred breeding animals, sport horses, other than for racing, thoroughbred, mares and fillies",NMB,"10,000",1,0,0,"10,000",1,Final,,,,
201905,101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,"15,523",2,"46,246",2,"61,769",4,Final,,,,
201905,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"68,369",7,"178,984",4,"247,353",11,Final,,,,
201905,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"11,000",4,"35,246",1,"46,246",5,Final,,,,
201905,104100001,"Sheep; live, for breeding",NMB,"128,252",281,0,0,"128,252",281,Final,,,,
201905,104200010,"Goats; live, for breeding",NMB,"4,811,298","2,697",0,0,"4,811,298","2,697",Final,,,,
201905,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"2,328,856","96,044",0,0,"2,328,856","96,044",Final,,,,
201905,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"69,519","12,340",0,0,"69,519","12,340",Final,,,,
201905,106410010,"Insects; live, queen bees, in packages",NMB,"275,034","4,180",0,0,"275,034","4,180",Final,,,,
201905,106410019,"Insects; live, queen bees, other than in packages",NMB,"22,105",516,0,0,"22,105",516,Final,,,,
201905,106410029,"Insects; live, bees other than queen bees",NMB,"333,962","25,344,300",0,0,"333,962","25,344,300",Final,,,,
201905,201200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, fresh or chilled",KGM,"12,175",857,0,0,"12,175",857,Final,,,,
201905,201200029,"Meat; of bovine animals, beef quarters of cow, G grade, with bone in, fresh or chilled",KGM,"2,916",186,0,0,"2,916",186,Final,,,,
201905,201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,"7,531",194,0,0,"7,531",194,Final,,,,
201905,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"1,116,596","69,520",0,0,"1,116,596","69,520",Final,,,,
201905,201200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"27,411","1,178",0,0,"27,411","1,178",Final,,,,
201905,201200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0201.20, fresh or chilled",KGM,"27,641","2,774",0,0,"27,641","2,774",Final,,,,
201905,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"39,496,431","2,954,492","1,227",97,"39,497,658","2,954,589",Final,,,,
201905,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"671,016","83,828",0,0,"671,016","83,828",Final,,,,
201905,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,"2,718,173","243,607",0,0,"2,718,173","243,607",Final,,,,
201905,201300021,"Meat; of bovine animals, boneless cuts of veal (bobby), fresh or chilled",KGM,"16,920","1,466",0,0,"16,920","1,466",Final,,,,
201905,202100001,"Meat; of bovine animals, carcasses, frozen",KGM,"60,333","21,002",0,0,"60,333","21,002",Final,,,,
201905,202100011,"Meat; of bovine animals, half-carcasses of veal (other than bobby), frozen",KGM,"3,659",919,0,0,"3,659",919,Final,,,,
201905,202100019,"Meat; of bovine animals, half-carcasses n.e.c. in item no. 0202.10, frozen",KGM,"12,440","6,852",0,0,"12,440","6,852",Final,,,,
201905,202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,339,81,0,0,339,81,Final,,,,
201905,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"19,643,660","3,190,658",0,0,"19,643,660","3,190,658",Final,,,,
201905,202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"3,917,278","1,822,696",0,0,"3,917,278","1,822,696",Final,,,,
201905,202200051,"Meat; of bovine animals, beef cuts of bull, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"6,192,599","1,534,261",0,0,"6,192,599","1,534,261",Final,,,,
201905,202200059,"Meat; of bovine animals, veal (other than bobby) quarters and cuts, with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"8,486","1,632",0,0,"8,486","1,632",Final,,,,
201905,202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,"484,015","192,285",0,0,"484,015","192,285",Final,,,,
