Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202205,101210010,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, stallions",NMB,"236,466",5,0,0,"236,466",5,Final,,,,
202205,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"4,314,456",51,"550,000",3,"4,864,456",54,Final,,,,
202205,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"1,392,212",24,"133,333",1,"1,525,545",25,Final,,,,
202205,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"230,852",16,"105,850",1,"336,702",17,Final,,,,
202205,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"254,023",13,0,0,"254,023",13,Final,,,,
202205,101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,"15,000",2,0,0,"15,000",2,Final,,,,
202205,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"43,001",4,0,0,"43,001",4,Final,,,,
202205,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"1,137,216",54,0,0,"1,137,216",54,Final,,,,
202205,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"10,387,097","3,257",0,0,"10,387,097","3,257",Final,,,,
202205,102290029,"Cattle; live, other than pure-bred, other than for breeding",NMB,"4,643,580","1,741",0,0,"4,643,580","1,741",Final,,,,
202205,104200010,"Goats; live, for breeding",NMB,"25,000",5,0,0,"25,000",5,Final,,,,
202205,104200019,"Goats; live, for other than breeding",NMB,"2,760,000","2,027",0,0,"2,760,000","2,027",Final,,,,
