Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,
202205,101210010,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, stallions",NMB,Australia,"236,466",5,0,0,"236,466",5,Final,,,
202205,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Australia,"3,064,456",32,"550,000",3,"3,614,456",35,Final,,,
202205,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Hong Kong (Special Administrative Region),"870,000",3,0,0,"870,000",3,Final,,,
202205,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Malaysia,"50,000",4,0,0,"50,000",4,Final,,,
202205,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Singapore,"330,000",12,0,0,"330,000",12,Final,,,
202205,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Australia,"1,239,212",22,"133,333",1,"1,372,545",23,Final,,,
202205,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Malaysia,"3,000",1,0,0,"3,000",1,Final,,,
202205,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Singapore,"150,000",1,0,0,"150,000",1,Final,,,
202205,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,Australia,"230,852",16,"105,850",1,"336,702",17,Final,,,
202205,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,Australia,"254,023",13,0,0,"254,023",13,Final,,,
202205,101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,Australia,"15,000",2,0,0,"15,000",2,Final,,,
202205,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,Australia,"43,001",4,0,0,"43,001",4,Final,,,
202205,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,Australia,"1,137,216",54,0,0,"1,137,216",54,Final,,,
202205,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"China, People's Republic of","10,387,097","3,257",0,0,"10,387,097","3,257",Final,,,
202205,102290029,"Cattle; live, other than pure-bred, other than for breeding",NMB,"China, People's Republic of","4,643,580","1,741",0,0,"4,643,580","1,741",Final,,,
202205,104200010,"Goats; live, for breeding",NMB,"China, People's Republic of","25,000",5,0,0,"25,000",5,Final,,,
202205,104200019,"Goats; live, for other than breeding",NMB,"China, People's Republic of","2,760,000","2,027",0,0,"2,760,000","2,027",Final,,,
202205,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Fiji,"310,203","89,782",0,0,"310,203","89,782",Final,,,
202205,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Papua New Guinea,"229,596","22,810",0,0,"229,596","22,810",Final,,,
202205,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Philippines,"1,463,900","88,959",0,0,"1,463,900","88,959",Final,,,
202205,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Thailand,"450,022","11,795",0,0,"450,022","11,795",Final,,,
202205,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Tonga,"21,302","6,160",0,0,"21,302","6,160",Final,,,
202205,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Samoa,"22,746","6,300",0,0,"22,746","6,300",Final,,,
202205,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Fiji,"94,101","15,324",0,0,"94,101","15,324",Final,,,
202205,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Indonesia,"461,174","5,519",0,0,"461,174","5,519",Final,,,
202205,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Malaysia,"646,085","18,470",0,0,"646,085","18,470",Final,,,
202205,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Papua New Guinea,"15,360","1,920",0,0,"15,360","1,920",Final,,,
202205,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Tonga,"9,162","2,070",0,0,"9,162","2,070",Final,,,
