Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202505,0101210010,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, stallions",NMB,"208,474",2,0,0,"208,474",2,Final
202505,0101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,"160,490",31,0,0,"160,490",31,Final
202505,0101210033,"Horses; live, pure-bred breeding animals, standardbred, race breeding stock, mares",NMB,"5,260",3,0,0,"5,260",3,Final
202505,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"3,761,909",34,"1,485,000",4,"5,246,909",38,Final
202505,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"842,711",18,"520,000",2,"1,362,711",20,Final
202505,0101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"514,601",18,0,0,"514,601",18,Final
202505,0101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"347,273",11,0,0,"347,273",11,Final
202505,0101290021,"Horses; live, other than pure-bred breeding animals, sport horses, other than for racing, thoroughbred, stallions, colts, and geldings",NMB,"35,000",1,0,0,"35,000",1,Final
202505,0101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,"20,804",2,0,0,"20,804",2,Final
202505,0101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"301,931",14,0,0,"301,931",14,Final
202505,0101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"119,693",1,0,0,"119,693",1,Final
202505,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"2,612,811","126,719",0,0,"2,612,811","126,719",Final
202505,0105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"1,515,152","41,220",0,0,"1,515,152","41,220",Final
202505,0106190029,"Mammals; live, other than primates, whales, dolphins, porpoises (order Cetacea), manatees, dugongs (order Sirenia), seals, sea lions, walruses (suborder Pinnipedia), camels, other camelids, rabbits, hares, deer, and dogs",NMB,"2,000",4,0,0,"2,000",4,Final
202505,0106410010,"Insects; live, queen bees, in packages",NMB,"203,347","1,437",0,0,"203,347","1,437",Final
202505,0106410029,"Insects; live, bees other than queen bees",NMB,"560,084","19,008,000",0,0,"560,084","19,008,000",Final
202505,0201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,"7,842",304,0,0,"7,842",304,Final
202505,0201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"798,222","35,127",0,0,"798,222","35,127",Final
202505,0201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"62,645,411","3,277,865",0,0,"62,645,411","3,277,865",Final
202505,0201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"423,855","37,420",0,0,"423,855","37,420",Final
202505,0201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,"1,361,239","56,169",0,0,"1,361,239","56,169",Final
202505,0202100001,"Meat; of bovine animals, carcasses, frozen",KGM,"86,879","20,553",0,0,"86,879","20,553",Final
202505,0202100011,"Meat; of bovine animals, half-carcasses of veal (other than bobby), frozen",KGM,"5,160","1,086",0,0,"5,160","1,086",Final
202505,0202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,"10,826","3,712",0,0,"10,826","3,712",Final
202505,0202200019,"Meat; of bovine animals, beef quarters of steer and heifer, L1 and L2 grades, with bone in, frozen",KGM,"4,844",252,0,0,"4,844",252,Final
202505,0202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,"539,907","148,728",0,0,"539,907","148,728",Final
202505,0202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"24,886,143","3,339,158",0,0,"24,886,143","3,339,158",Final
202505,0202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"6,453,779","2,543,329",0,0,"6,453,779","2,543,329",Final
202505,0202200051,"Meat; of bovine animals, beef cuts of bull, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"7,196,267","1,555,393",0,0,"7,196,267","1,555,393",Final
202505,0202200059,"Meat; of bovine animals, veal (other than bobby) quarters and cuts, with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"63,480","11,164",0,0,"63,480","11,164",Final
202505,0202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,"997,364","335,959",0,0,"997,364","335,959",Final
