Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201911,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,0,0,"38,030",2,"38,030",2,Provisional,,,,
201911,101210033,"Horses; live, pure-bred breeding animals, standardbred, race breeding stock, mares",NMB,"1,250",1,0,0,"1,250",1,Provisional,,,,
201911,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"6,172,454",85,"266,250",2,"6,438,704",87,Provisional,,,,
201911,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"2,062,933",39,"95,000",1,"2,157,933",40,Provisional,,,,
201911,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"600,706",29,0,0,"600,706",29,Provisional,,,,
201911,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"258,198",19,0,0,"258,198",19,Provisional,,,,
201911,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"122,500",3,0,0,"122,500",3,Provisional,,,,
201911,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"121,200",5,0,0,"121,200",5,Provisional,,,,
201911,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"6,400,000","3,987",0,0,"6,400,000","3,987",Provisional,,,,
201911,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"3,140,803","116,944","499,610","16,640","3,640,413","133,584",Provisional,,,,
201911,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"406,953","65,503",0,0,"406,953","65,503",Provisional,,,,
201911,105990001,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g, for breeding",NMB,"75,060","8,979",0,0,"75,060","8,979",Provisional,,,,
201911,106320000,"Birds; live, Psittaciformes, including parrots, parakeets, macaws, and cockatoos",NMB,"28,055",25,0,0,"28,055",25,Provisional,,,,
201911,106410029,"Insects; live, bees other than queen bees",NMB,"1,970",300,0,0,"1,970",300,Provisional,,,,
201911,201200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, fresh or chilled",KGM,"208,481","17,028",0,0,"208,481","17,028",Provisional,,,,
201911,201200029,"Meat; of bovine animals, beef quarters of cow, G grade, with bone in, fresh or chilled",KGM,714,42,0,0,714,42,Provisional,,,,
201911,201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,"5,170",301,0,0,"5,170",301,Provisional,,,,
201911,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"1,534,506","97,972",0,0,"1,534,506","97,972",Provisional,,,,
201911,201200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0201.20, fresh or chilled",KGM,"5,961",475,0,0,"5,961",475,Provisional,,,,
201911,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"43,756,906","3,151,839","38,355","1,310","43,795,261","3,153,149",Provisional,,,,
201911,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"1,167,908","128,146",0,0,"1,167,908","128,146",Provisional,,,,
201911,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,"3,941,677","320,920",0,0,"3,941,677","320,920",Provisional,,,,
201911,202100001,"Meat; of bovine animals, carcasses, frozen",KGM,"369,714","94,845",0,0,"369,714","94,845",Provisional,,,,
201911,202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,71,22,0,0,71,22,Provisional,,,,
201911,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"13,851,597","1,946,874",0,0,"13,851,597","1,946,874",Provisional,,,,
201911,202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"2,668,473","1,078,548",0,0,"2,668,473","1,078,548",Provisional,,,,
201911,202200051,"Meat; of bovine animals, beef cuts of bull, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"5,729,826","982,730",0,0,"5,729,826","982,730",Provisional,,,,
201911,202200059,"Meat; of bovine animals, veal (other than bobby) quarters and cuts, with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"175,948","14,091",0,0,"175,948","14,091",Provisional,,,,
201911,202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,"3,514,806","876,612",0,0,"3,514,806","876,612",Provisional,,,,
201911,202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"122,685,170","14,079,846",0,0,"122,685,170","14,079,846",Provisional,,,,
201911,202300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"2,950,415","359,775",0,0,"2,950,415","359,775",Provisional,,,,
201911,202300011,"Meat; of bovine animals, boneless cuts of bull, frozen",KGM,"70,828,870","7,486,745",0,0,"70,828,870","7,486,745",Provisional,,,,
201911,202300021,"Meat; of bovine animals, boneless cuts of veal (bobby), frozen",KGM,"9,014,915","1,017,359",0,0,"9,014,915","1,017,359",Provisional,,,,
201911,203120009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, fresh or chilled",KGM,"5,732",390,"32,655","5,040","38,387","5,430",Provisional,,,,
201911,203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,"53,335","8,759","58,614","12,016","111,949","20,775",Provisional,,,,
201911,203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"226,750","34,335","71,730","12,222","298,480","46,557",Provisional,,,,
201911,204100028,"Meat; of sheep, lamb carcasses and half-carcasses, PX grade, fresh or chilled",KGM,468,36,0,0,468,36,Provisional,,,,
201911,204100038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, fresh or chilled",KGM,"224,490","19,644",0,0,"224,490","19,644",Provisional,,,,
