Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202511,0101210041,"Horses; live, pure-bred breeding animals, standardbred, breeding stock, excluding race or sport breeding stock, stallions",NMB,Australia,"15,000",1,"5,000",1,"20,000",2,Provisional
202511,0101210049,"Horses; live, pure-bred breeding animals, standardbred, breeding stock, excluding race or sport breeding stock, mares",NMB,Australia,"20,000",2,0,0,"20,000",2,Provisional
202511,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Australia,"8,948,593",46,"3,520,000",18,"12,468,593",64,Provisional
202511,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Hong Kong (Special Administrative Region),"2,060,000",7,"2,975,000",9,"5,035,000",16,Provisional
202511,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Malaysia,"18,000",6,0,0,"18,000",6,Provisional
202511,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Australia,"2,340,734",16,"570,000",2,"2,910,734",18,Provisional
202511,0101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,Australia,"800,312",12,0,0,"800,312",12,Provisional
202511,0101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,Australia,"129,230",4,0,0,"129,230",4,Provisional
202511,0101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,Australia,"116,012",5,0,0,"116,012",5,Provisional
202511,0101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,Australia,"11,390",1,0,0,"11,390",1,Provisional
202511,0104100001,"Sheep; live, for breeding",NMB,United Kingdom,"7,500",6,0,0,"7,500",6,Provisional
202511,0104100001,"Sheep; live, for breeding",NMB,"Korea, Republic of","53,814",26,0,0,"53,814",26,Provisional
202511,0104200010,"Goats; live, for breeding",NMB,"Korea, Republic of","1,025,020",518,0,0,"1,025,020",518,Provisional
202511,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Cook Islands,"2,787",510,0,0,"2,787",510,Provisional
202511,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Fiji,"137,865","25,740",0,0,"137,865","25,740",Provisional
202511,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Sri Lanka,"228,064","13,444",0,0,"228,064","13,444",Provisional
202511,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Malaysia,"742,502","51,427",0,0,"742,502","51,427",Provisional
202511,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,French Polynesia,"4,260","2,788",0,0,"4,260","2,788",Provisional
202511,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Papua New Guinea,"222,888","22,000",0,0,"222,888","22,000",Provisional
202511,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Tonga,"23,660","5,100",0,0,"23,660","5,100",Provisional
202511,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Samoa,"5,220","1,020",0,0,"5,220","1,020",Provisional
202511,0105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Cook Islands,"3,706",500,0,0,"3,706",500,Provisional
202511,0105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Japan,"2,011,870","59,869",0,0,"2,011,870","59,869",Provisional
