Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Imports ($NZD vfd),Imports ($NZD cif),Imports Qty,Status
202511,0101210010,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, stallions",NMB,Australia,"333,249","348,249",3,Provisional
202511,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Australia,"1,137,898","1,213,023",13,Provisional
202511,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Hong Kong (Special Administrative Region),"3,000","129,000",15,Provisional
202511,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,New Zealand,"150,032","186,062",6,Provisional
202511,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Australia,"1,309,785","1,413,940",16,Provisional
202511,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Ireland,"25,000","31,285",1,Provisional
202511,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,New Zealand,"958,898","1,111,708",24,Provisional
202511,0101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,New Zealand,"30,000","36,650",1,Provisional
202511,0101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,Australia,"1,836,735","1,844,885",1,Provisional
202511,0101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,Australia,"1,214,728","1,270,028",8,Provisional
202511,0101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,New Zealand,"345,000","361,300",2,Provisional
202511,0106190019,"Mammals; live, dogs",NMB,Australia,"68,788","95,544",19,Provisional
202511,0106190019,"Mammals; live, dogs",NMB,Belgium,"1,600","7,601",1,Provisional
202511,0106190019,"Mammals; live, dogs",NMB,Spain,"2,041","7,891",1,Provisional
202511,0106190019,"Mammals; live, dogs",NMB,France,"3,400","14,238",3,Provisional
202511,0106190019,"Mammals; live, dogs",NMB,United Kingdom,"5,637","16,646",2,Provisional
202511,0106190019,"Mammals; live, dogs",NMB,United States of America,"2,800","14,870",3,Provisional
202511,0106190029,"Mammals; live, other than primates, whales, dolphins, porpoises (order Cetacea), manatees, dugongs (order Sirenia), seals, sea lions, walruses (suborder Pinnipedia), camels, other camelids, rabbits, hares, deer, and dogs",NMB,Australia,"9,303","10,622",5,Provisional
202511,0106190029,"Mammals; live, other than primates, whales, dolphins, porpoises (order Cetacea), manatees, dugongs (order Sirenia), seals, sea lions, walruses (suborder Pinnipedia), camels, other camelids, rabbits, hares, deer, and dogs",NMB,Germany,"2,041","12,120",1,Provisional
202511,0106190029,"Mammals; live, other than primates, whales, dolphins, porpoises (order Cetacea), manatees, dugongs (order Sirenia), seals, sea lions, walruses (suborder Pinnipedia), camels, other camelids, rabbits, hares, deer, and dogs",NMB,United States of America,370,"2,385",3,Provisional
202511,0106490000,"Insects; live, other than bees",NMB,Costa Rica,"6,589","8,261","1,900",Provisional
202511,0106900000,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds, and insects",NMB,Germany,"2,851","4,936",157,Provisional
202511,0201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Australia,"632,133","647,431","28,952",Provisional
202511,0201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Australia,"2,596,671","2,622,526","146,579",Provisional
202511,0201300029,"Meat; of bovine animals, boneless cuts of veal (other than bobby), fresh or chilled",KGM,Australia,"197,356","198,585","5,399",Provisional
202511,0202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Australia,"151,690","152,071","9,655",Provisional
202511,0202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Australia,"1,007","1,263",176,Provisional
202511,0202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,Australia,"1,703,668","1,739,721","187,026",Provisional
202511,0202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,Japan,"83,778","86,180","1,077",Provisional
202511,0202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,New Zealand,"539,881","541,035","19,214",Provisional
202511,0202300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,Australia,"7,074,923","7,185,873","811,695",Provisional
