Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201910,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,"532,530",11,"125,990",3,"658,520",14,Final,,,,
201910,101210027,"Horses; live, pure-bred breeding animals, thoroughbred, breeding stock, excluding race or sport breeding stock, mares",NMB,"155,179",3,0,0,"155,179",3,Final,,,,
201910,101210033,"Horses; live, pure-bred breeding animals, standardbred, race breeding stock, mares",NMB,"11,001",3,0,0,"11,001",3,Final,,,,
201910,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"4,341,203",46,"54,000",1,"4,395,203",47,Final,,,,
201910,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"774,180",22,0,0,"774,180",22,Final,,,,
201910,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"305,262",12,0,0,"305,262",12,Final,,,,
201910,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"188,490",14,0,0,"188,490",14,Final,,,,
201910,101290021,"Horses; live, other than pure-bred breeding animals, sport horses, other than for racing, thoroughbred, stallions, colts, and geldings",NMB,"9,025",1,0,0,"9,025",1,Final,,,,
201910,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"38,208",2,0,0,"38,208",2,Final,,,,
201910,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"5,200",1,0,0,"5,200",1,Final,,,,
201910,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"10,399,000","7,215",0,0,"10,399,000","7,215",Final,,,,
201910,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"4,849,085","260,273",0,0,"4,849,085","260,273",Final,,,,
201910,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"124,414","26,534",0,0,"124,414","26,534",Final,,,,
201910,105990001,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g, for breeding",NMB,"108,232","21,937",0,0,"108,232","21,937",Final,,,,
201910,106190029,"Mammals; live, other than primates, whales, dolphins, porpoises (order Cetacea), manatees, dugongs (order Sirenia), seals, sea lions, walruses (suborder Pinnipedia), camels, other camelids, rabbits, hares, deer, and dogs",NMB,"175,700",16,0,0,"175,700",16,Final,,,,
201910,106410029,"Insects; live, bees other than queen bees",NMB,"3,940",600,0,0,"3,940",600,Final,,,,
201910,201200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, fresh or chilled",KGM,"19,559","1,249",0,0,"19,559","1,249",Final,,,,
201910,201200029,"Meat; of bovine animals, beef quarters of cow, G grade, with bone in, fresh or chilled",KGM,"3,900",275,0,0,"3,900",275,Final,,,,
201910,201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,"35,043",833,0,0,"35,043",833,Final,,,,
201910,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"1,300,954","106,913",0,0,"1,300,954","106,913",Final,,,,
201910,201200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"129,368","9,382",0,0,"129,368","9,382",Final,,,,
201910,201200051,"Meat; of bovine animals, beef cuts of bull, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"3,605",350,0,0,"3,605",350,Final,,,,
201910,201200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0201.20, fresh or chilled",KGM,"8,790",498,0,0,"8,790",498,Final,,,,
201910,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"32,138,907","2,313,155","1,885",149,"32,140,792","2,313,304",Final,,,,
201910,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"152,152","14,633",0,0,"152,152","14,633",Final,,,,
201910,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,"1,799,517","141,274",0,0,"1,799,517","141,274",Final,,,,
201910,201300021,"Meat; of bovine animals, boneless cuts of veal (bobby), fresh or chilled",KGM,"1,549",145,0,0,"1,549",145,Final,,,,
201910,202100001,"Meat; of bovine animals, carcasses, frozen",KGM,"3,535,364","715,592",0,0,"3,535,364","715,592",Final,,,,
201910,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,"3,350",198,0,0,"3,350",198,Final,,,,
201910,202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,66,20,0,0,66,20,Final,,,,
201910,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"10,649,804","1,566,983",0,0,"10,649,804","1,566,983",Final,,,,
201910,202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"1,888,132","759,648",0,0,"1,888,132","759,648",Final,,,,
201910,202200051,"Meat; of bovine animals, beef cuts of bull, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"2,746,316","708,572",0,0,"2,746,316","708,572",Final,,,,
201910,202200059,"Meat; of bovine animals, veal (other than bobby) quarters and cuts, with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"37,525","2,990",0,0,"37,525","2,990",Final,,,,
201910,202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,"10,943,414","2,349,129",0,0,"10,943,414","2,349,129",Final,,,,
201910,202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"94,733,282","11,333,197",0,0,"94,733,282","11,333,197",Final,,,,
201910,202300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"2,259,422","256,487",0,0,"2,259,422","256,487",Final,,,,
201910,202300011,"Meat; of bovine animals, boneless cuts of bull, frozen",KGM,"25,858,108","2,821,580",0,0,"25,858,108","2,821,580",Final,,,,
201910,202300021,"Meat; of bovine animals, boneless cuts of veal (bobby), frozen",KGM,"20,806,313","2,545,791",0,0,"20,806,313","2,545,791",Final,,,,
201910,202300029,"Meat; of bovine animals, boneless cuts of veal (other than bobby), frozen",KGM,223,1,0,0,223,1,Final,,,,
201910,203120009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, fresh or chilled",KGM,"5,640",486,0,0,"5,640",486,Final,,,,
201910,203190009,"Meat; of swine (other than wild pork), fresh or chilled, (excluding carcasses, half-carcasses, and hams, shoulders and cuts thereof, with bone in)",KGM,"9,078",707,0,0,"9,078",707,Final,,,,
201910,203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,"139,679","23,215","106,375","22,576","246,054","45,791",Final,,,,
201910,203290001,"Meat; of swine, wild pork, frozen (excluding carcasses, half-carcasses, hams, shoulders and cuts thereof, with bone in)",KGM,0,0,"7,115","1,057","7,115","1,057",Final,,,,
201910,203290011,"Meat; of swine n.e.c. in item no. 0203.2, frozen, meat bones and hocks",KGM,303,190,"60,982","16,500","61,285","16,690",Final,,,,
201910,203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"64,948","11,432","38,545","8,148","103,493","19,581",Final,,,,
201910,204100038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, fresh or chilled",KGM,"222,775","20,360",0,0,"222,775","20,360",Final,,,,
201910,204100042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, fresh or chilled",KGM,"171,987","13,916",0,0,"171,987","13,916",Final,,,,
201910,204100048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.10, fresh or chilled",KGM,"107,952","10,358",0,0,"107,952","10,358",Final,,,,
201910,204220001,"Meat; of sheep, lamb cuts with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"57,541,142","3,769,965",0,0,"57,541,142","3,769,965",Final,,,,
201910,204220009,"Meat; of sheep (excluding lamb), cuts with bone in, fresh or chilled, (excluding carcasses and half-carcasses)",KGM,"14,113",922,0,0,"14,113",922,Final,,,,
201910,204230001,"Meat; of sheep, boneless cuts of lamb, fresh or chilled",KGM,"25,863,717","1,431,739",0,0,"25,863,717","1,431,739",Final,,,,
201910,204230009,"Meat; of sheep (excluding lamb), boneless cuts, fresh or chilled",KGM,"53,074","3,131",0,0,"53,074","3,131",Final,,,,
201910,204300002,"Meat; of sheep, lamb carcasses and half-carcasses, A grade, frozen",KGM,"98,778","5,754",0,0,"98,778","5,754",Final,,,,
201910,204300022,"Meat; of sheep, lamb carcasses and half-carcasses, PM grade, frozen",KGM,"9,086","1,066",0,0,"9,086","1,066",Final,,,,
201910,204300028,"Meat; of sheep, lamb carcasses and half-carcasses, PX grade, frozen",KGM,"517,093","52,506",0,0,"517,093","52,506",Final,,,,
201910,204300032,"Meat; of sheep, lamb carcasses and half-carcasses, YL grade, frozen",KGM,"121,481","12,438",0,0,"121,481","12,438",Final,,,,
201910,204300038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, frozen",KGM,"3,080,587","313,390",0,0,"3,080,587","313,390",Final,,,,
201910,204300042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, frozen",KGM,"824,135","82,937",0,0,"824,135","82,937",Final,,,,
201910,204300048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.30, frozen",KGM,"2,765,436","278,358",0,0,"2,765,436","278,358",Final,,,,
201910,204410002,"Meat; of sheep, hogget carcasses and half-carcasses, HL grade, frozen",KGM,"29,557","3,495",0,0,"29,557","3,495",Final,,,,
201910,204410008,"Meat; of sheep, hogget carcasses and half-carcasses, HX grade, frozen",KGM,"163,094","17,711",0,0,"163,094","17,711",Final,,,,
201910,204410022,"Meat; of sheep, mutton carcasses and half-carcasses, MF grade, frozen",KGM,"266,717","42,384",0,0,"266,717","42,384",Final,,,,
201910,204410028,"Meat; of sheep, mutton carcasses and half-carcasses, MH grade, frozen",KGM,"451,413","69,828",0,0,"451,413","69,828",Final,,,,
201910,204410032,"Meat; of sheep, mutton carcasses and half-carcasses, ML grade, frozen",KGM,"765,860","97,487",0,0,"765,860","97,487",Final,,,,
201910,204410038,"Meat; of sheep, mutton carcasses and half-carcasses, MM grade, frozen",KGM,"13,163","1,551",0,0,"13,163","1,551",Final,,,,
201910,204410042,"Meat; of sheep, mutton carcasses and half-carcasses, MX grade, frozen",KGM,"3,550,386","441,286",0,0,"3,550,386","441,286",Final,,,,
201910,204410048,"Meat; of sheep, mutton carcasses and half-carcasses n.e.c. in item no. 0204.41, frozen",KGM,"130,603","17,823",0,0,"130,603","17,823",Final,,,,
201910,204410058,"Meat; of sheep, ram carcasses and half-carcasses, frozen",KGM,"99,197","17,011",0,0,"99,197","17,011",Final,,,,
201910,204420001,"Meat; of sheep, lamb cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"196,281,880","18,852,065","53,789","12,552","196,335,669","18,864,617",Final,,,,
201910,204420009,"Meat; of sheep (excluding lamb), cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"9,596,393","1,244,233",0,0,"9,596,393","1,244,233",Final,,,,
201910,204430001,"Meat; of sheep, boneless cuts of lamb, frozen",KGM,"25,952,319","2,271,940",0,0,"25,952,319","2,271,940",Final,,,,
201910,204430009,"Meat; of sheep (excluding lamb), boneless cuts, frozen",KGM,"2,315,362","232,977",0,0,"2,315,362","232,977",Final,,,,
201910,204500000,"Meat; of goats, fresh, chilled or frozen",KGM,"610,559","45,762",0,0,"610,559","45,762",Final,,,,
201910,206100029,"Offal, edible; of bovine animals, tongues, fresh or chilled",KGM,"356,989","20,463",0,0,"356,989","20,463",Final,,,,
201910,206100039,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.10, fresh or chilled",KGM,"657,542","58,156",0,0,"657,542","58,156",Final,,,,
201910,206210000,"Offal, edible; of bovine animals, tongues, frozen",KGM,"1,650,840","250,247",0,0,"1,650,840","250,247",Final,,,,
201910,206220000,"Offal, edible; of bovine animals, livers, frozen",KGM,"1,017,295","754,519",0,0,"1,017,295","754,519",Final,,,,
201910,206290009,"Offal, edible; of bovine animals, hearts, frozen",KGM,"684,032","215,366",0,0,"684,032","215,366",Final,,,,
201910,206290011,"Offal, edible; of bovine animals, kidneys, frozen",KGM,"395,932","89,559",0,0,"395,932","89,559",Final,,,,
201910,206290019,"Offal, edible; of bovine animals, sweetbreads, frozen",KGM,"164,556","12,750",0,0,"164,556","12,750",Final,,,,
201910,206290029,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.2, frozen",KGM,"5,722,310","957,242",0,0,"5,722,310","957,242",Final,,,,
201910,206490019,"Offal, edible; of swine, n.e.c. in item no. 0206.4, frozen",KGM,"1,147",592,0,0,"1,147",592,Final,,,,
201910,206900001,"Offal, edible; of lamb, brains, frozen",KGM,"25,980","2,132",0,0,"25,980","2,132",Final,,,,
201910,206900009,"Offal, edible; of lamb, hearts, frozen",KGM,"323,945","99,661",0,0,"323,945","99,661",Final,,,,
201910,206900011,"Offal, edible; of lamb, kidneys, frozen",KGM,"1,169,833","103,329",0,0,"1,169,833","103,329",Final,,,,
201910,206900019,"Offal, edible; of lamb, livers, frozen",KGM,"667,076","416,135",0,0,"667,076","416,135",Final,,,,
201910,206900021,"Offal, edible; of lamb, sweetbreads, frozen",KGM,"120,953","16,968",0,0,"120,953","16,968",Final,,,,
201910,206900029,"Offal, edible; of lamb, tongues, frozen",KGM,"164,829","26,032",0,0,"164,829","26,032",Final,,,,
201910,206900039,"Offal, edible; of lamb, n.e.c. in item no. 0206.90, frozen",KGM,"1,707,992","325,872",0,0,"1,707,992","325,872",Final,,,,
201910,206900041,"Offal, edible; of sheep (excluding lamb), brains, frozen",KGM,"22,853","1,882",0,0,"22,853","1,882",Final,,,,
201910,206900049,"Offal, edible; of sheep (excluding lamb), hearts, frozen",KGM,"54,210","14,606",0,0,"54,210","14,606",Final,,,,
201910,206900059,"Offal, edible; of sheep (excluding lamb), livers, frozen",KGM,"485,705","234,044",0,0,"485,705","234,044",Final,,,,
201910,206900069,"Offal, edible; of sheep (excluding lamb), tongues, frozen",KGM,"81,984","15,078",0,0,"81,984","15,078",Final,,,,
201910,206900079,"Offal, edible; of sheep (excluding lamb), n.e.c. in item no. 0206.90, frozen",KGM,"461,540","113,424",0,0,"461,540","113,424",Final,,,,
201910,206900081,"Offal, edible; of goats, horses, asses, mules or hinnies, hearts, frozen",KGM,"1,592",514,0,0,"1,592",514,Final,,,,
201910,206900099,"Offal, edible; of goats, horses, asses, mules or hinnies, n.e.c. in item no. 0206.90, frozen",KGM,"19,827","3,589",0,0,"19,827","3,589",Final,,,,
201910,207110000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",KGM,"21,492","4,934",0,0,"21,492","4,934",Final,,,,
201910,207120000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",KGM,"951,522","277,395",0,0,"951,522","277,395",Final,,,,
201910,207130000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",KGM,"425,990","41,442",0,0,"425,990","41,442",Final,,,,
201910,207141000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, livers",KGM,93,45,0,0,93,45,Final,,,,
201910,207149000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, excluding livers",KGM,"2,255,627","829,564",0,0,"2,255,627","829,564",Final,,,,
201910,207240000,"Meat and edible offal; of turkeys, not cut in pieces, fresh or chilled",KGM,708,30,0,0,708,30,Final,,,,
201910,207250000,"Meat and edible offal; of turkeys, not cut in pieces, frozen",KGM,"72,712","5,289",0,0,"72,712","5,289",Final,,,,
201910,207279000,"Meat and edible offal; of turkeys, cuts and offal, frozen, excluding livers",KGM,"11,089","4,022",0,0,"11,089","4,022",Final,,,,
201910,207410010,"Meat and edible offal; of ducks, not cut in pieces, fresh or chilled",KGM,"1,509",129,0,0,"1,509",129,Final,,,,
201910,207420010,"Meat and edible offal; of ducks, not cut in pieces, frozen",KGM,"83,233","12,383",0,0,"83,233","12,383",Final,,,,
201910,207459000,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen, excluding livers",KGM,"6,466",263,0,0,"6,466",263,Final,,,,
201910,208900011,"Meat and edible meat offal; of deer, fresh, chilled or frozen, pizzles",KGM,"309,421","3,725",0,0,"309,421","3,725",Final,,,,
201910,208900013,"Meat and edible meat offal; of deer, fresh, chilled or frozen, tails",KGM,"400,644","1,448",0,0,"400,644","1,448",Final,,,,
201910,208900015,"Meat and edible meat offal; of deer, fresh, chilled or frozen, offal (excluding pizzles or tails)",KGM,"80,386","8,945",0,0,"80,386","8,945",Final,,,,
201910,208900017,"Edible meat; other than offal, of deer, venison, chilled",KGM,"11,262,023","494,846",0,0,"11,262,023","494,846",Final,,,,
201910,208900018,"Edible meat; other than offal, of deer, venison, frozen",KGM,"5,289,265","457,224",0,0,"5,289,265","457,224",Final,,,,
201910,208900049,"Meat and edible meat offal; n.e.c. in chapter 02, fresh, chilled or frozen",KGM,"1,630",40,0,0,"1,630",40,Final,,,,
201910,210110009,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, salted, in brine or dried",KGM,"1,153",140,0,0,"1,153",140,Final,,,,
201910,210120000,"Meat; of swine, bellies (streaky) and cuts thereof, salted, in brine, dried or smoked",KGM,"24,265","2,220",0,0,"24,265","2,220",Final,,,,
201910,210190001,"Meat; of swine, bacon, salted, in brine, dried or smoked",KGM,"69,157","6,419",0,0,"69,157","6,419",Final,,,,
201910,210190019,"Meat; of swine, n.e.c. in heading 0210, smoked",KGM,"1,425",82,0,0,"1,425",82,Final,,,,
201910,210190029,"Meat; of swine, n.e.c. in heading 0210, dried",KGM,"54,926","11,222",314,6,"55,240","11,228",Final,,,,
201910,210200000,"Meat; of bovine animals, salted, in brine, dried or smoked",KGM,"26,695",616,0,0,"26,695",616,Final,,,,
201910,210992000,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, poultry liver",KGM,"2,375","1,500",0,0,"2,375","1,500",Final,,,,
