Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202210,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"3,125,061",33,"787,550",9,"3,912,611",42,Final,,,,
202210,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"521,846",14,0,0,"521,846",14,Final,,,,
202210,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"670,000",19,0,0,"670,000",19,Final,,,,
202210,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"95,501",8,0,0,"95,501",8,Final,,,,
202210,101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,"6,000",1,0,0,"6,000",1,Final,,,,
202210,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"41,001",2,0,0,"41,001",2,Final,,,,
202210,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"543,759",14,0,0,"543,759",14,Final,,,,
202210,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"28,582,411","8,834",0,0,"28,582,411","8,834",Final,,,,
202210,102290010,"Cattle; live, other than pure-bred, for breeding, dairy",NMB,"3,050,488","1,463",0,0,"3,050,488","1,463",Final,,,,
202210,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"3,693,774","193,134",0,0,"3,693,774","193,134",Final,,,,
202210,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"3,389,064","103,681",0,0,"3,389,064","103,681",Final,,,,
202210,201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,"35,575","2,420",0,0,"35,575","2,420",Final,,,,
202210,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"987,327","48,963",0,0,"987,327","48,963",Final,,,,
202210,201200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0201.20, fresh or chilled",KGM,"44,681","6,425",0,0,"44,681","6,425",Final,,,,
202210,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"36,586,808","2,095,711",0,0,"36,586,808","2,095,711",Final,,,,
202210,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"730,378","52,672",0,0,"730,378","52,672",Final,,,,
202210,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,"2,042,893","112,157",0,0,"2,042,893","112,157",Final,,,,
202210,201300021,"Meat; of bovine animals, boneless cuts of veal (bobby), fresh or chilled",KGM,"4,004",284,0,0,"4,004",284,Final,,,,
202210,202100001,"Meat; of bovine animals, carcasses, frozen",KGM,"1,505,954","358,202",0,0,"1,505,954","358,202",Final,,,,
202210,202100011,"Meat; of bovine animals, half-carcasses of veal (other than bobby), frozen",KGM,"11,507","2,055",0,0,"11,507","2,055",Final,,,,
202210,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,"225,368","41,578",0,0,"225,368","41,578",Final,,,,
202210,202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,"1,566,727","290,580",0,0,"1,566,727","290,580",Final,,,,
202210,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"11,793,884","1,438,909",0,0,"11,793,884","1,438,909",Final,,,,
202210,202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"2,638,827","873,009",0,0,"2,638,827","873,009",Final,,,,
202210,202200051,"Meat; of bovine animals, beef cuts of bull, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"3,238,015","827,145",0,0,"3,238,015","827,145",Final,,,,
202210,202200059,"Meat; of bovine animals, veal (other than bobby) quarters and cuts, with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"761,483","138,366",0,0,"761,483","138,366",Final,,,,
202210,202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,"15,339,298","2,839,787",0,0,"15,339,298","2,839,787",Final,,,,
202210,202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"126,033,019","11,706,140",0,0,"126,033,019","11,706,140",Final,,,,
202210,202300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"2,589,190","237,062",0,0,"2,589,190","237,062",Final,,,,
202210,202300011,"Meat; of bovine animals, boneless cuts of bull, frozen",KGM,"29,665,919","2,551,133",0,0,"29,665,919","2,551,133",Final,,,,
202210,202300021,"Meat; of bovine animals, boneless cuts of veal (bobby), frozen",KGM,"25,235,800","2,606,828",0,0,"25,235,800","2,606,828",Final,,,,
202210,202300029,"Meat; of bovine animals, boneless cuts of veal (other than bobby), frozen",KGM,"2,227,027","182,850",0,0,"2,227,027","182,850",Final,,,,
202210,203110008,"Meat; of swine, carcasses and half-carcasses, (other than wild pork), fresh or chilled",KGM,"3,058",392,0,0,"3,058",392,Final,,,,
202210,203120009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, fresh or chilled",KGM,"2,693",171,0,0,"2,693",171,Final,,,,
202210,203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,"18,082","3,229",0,0,"18,082","3,229",Final,,,,
202210,203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"431,950","65,420",0,0,"431,950","65,420",Final,,,,
202210,204100038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, fresh or chilled",KGM,"65,166","4,123",0,0,"65,166","4,123",Final,,,,
202210,204100042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, fresh or chilled",KGM,"179,631","11,098",0,0,"179,631","11,098",Final,,,,
202210,204220001,"Meat; of sheep, lamb cuts with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"52,694,138","2,915,509",0,0,"52,694,138","2,915,509",Final,,,,
202210,204230001,"Meat; of sheep, boneless cuts of lamb, fresh or chilled",KGM,"22,792,931","985,369",0,0,"22,792,931","985,369",Final,,,,
202210,204300002,"Meat; of sheep, lamb carcasses and half-carcasses, A grade, frozen",KGM,"27,957","2,088",0,0,"27,957","2,088",Final,,,,
202210,204300012,"Meat; of sheep, lamb carcasses and half-carcasses, PH grade, frozen",KGM,"1,045,994","119,412",0,0,"1,045,994","119,412",Final,,,,
202210,204300022,"Meat; of sheep, lamb carcasses and half-carcasses, PM grade, frozen",KGM,"6,969",476,0,0,"6,969",476,Final,,,,
202210,204300032,"Meat; of sheep, lamb carcasses and half-carcasses, YL grade, frozen",KGM,"214,106","18,646",0,0,"214,106","18,646",Final,,,,
202210,204300038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, frozen",KGM,"1,463,555","162,908",0,0,"1,463,555","162,908",Final,,,,
202210,204300042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, frozen",KGM,"607,556","69,396",0,0,"607,556","69,396",Final,,,,
202210,204300048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.30, frozen",KGM,"233,456","25,829",0,0,"233,456","25,829",Final,,,,
202210,204410002,"Meat; of sheep, hogget carcasses and half-carcasses, HL grade, frozen",KGM,"5,644",680,0,0,"5,644",680,Final,,,,
202210,204410022,"Meat; of sheep, mutton carcasses and half-carcasses, MF grade, frozen",KGM,"97,376","11,953",0,0,"97,376","11,953",Final,,,,
202210,204410028,"Meat; of sheep, mutton carcasses and half-carcasses, MH grade, frozen",KGM,"165,313","24,679",0,0,"165,313","24,679",Final,,,,
202210,204410032,"Meat; of sheep, mutton carcasses and half-carcasses, ML grade, frozen",KGM,"867,657","108,805",0,0,"867,657","108,805",Final,,,,
202210,204410038,"Meat; of sheep, mutton carcasses and half-carcasses, MM grade, frozen",KGM,"47,637","4,545",0,0,"47,637","4,545",Final,,,,
202210,204410042,"Meat; of sheep, mutton carcasses and half-carcasses, MX grade, frozen",KGM,"3,544,078","438,604",0,0,"3,544,078","438,604",Final,,,,
202210,204410048,"Meat; of sheep, mutton carcasses and half-carcasses n.e.c. in item no. 0204.41, frozen",KGM,"624,456","77,962",0,0,"624,456","77,962",Final,,,,
202210,204410058,"Meat; of sheep, ram carcasses and half-carcasses, frozen",KGM,"2,731",363,0,0,"2,731",363,Final,,,,
