Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,
202210,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Australia,"3,105,061",31,"787,550",9,"3,892,611",40,Final,,,
202210,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Singapore,"20,000",2,0,0,"20,000",2,Final,,,
202210,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Australia,"521,846",14,0,0,"521,846",14,Final,,,
202210,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,Australia,"670,000",19,0,0,"670,000",19,Final,,,
202210,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,Australia,"95,501",8,0,0,"95,501",8,Final,,,
202210,101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,Australia,"6,000",1,0,0,"6,000",1,Final,,,
202210,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,Australia,"41,001",2,0,0,"41,001",2,Final,,,
202210,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,Australia,"543,759",14,0,0,"543,759",14,Final,,,
202210,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"China, People's Republic of","28,582,411","8,834",0,0,"28,582,411","8,834",Final,,,
202210,102290010,"Cattle; live, other than pure-bred, for breeding, dairy",NMB,"China, People's Republic of","3,050,488","1,463",0,0,"3,050,488","1,463",Final,,,
202210,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Fiji,"75,318","46,780",0,0,"75,318","46,780",Final,,,
202210,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Malaysia,"537,774","10,484",0,0,"537,774","10,484",Final,,,
202210,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Nepal,"771,836","15,164",0,0,"771,836","15,164",Final,,,
202210,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,French Polynesia,"69,233","19,760",0,0,"69,233","19,760",Final,,,
202210,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Papua New Guinea,"178,792","18,208",0,0,"178,792","18,208",Final,,,
202210,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Philippines,"346,798","37,940",0,0,"346,798","37,940",Final,,,
202210,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Pakistan,"406,360","13,000",0,0,"406,360","13,000",Final,,,
202210,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Thailand,"1,294,901","29,198",0,0,"1,294,901","29,198",Final,,,
202210,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Tonga,"12,762","2,600",0,0,"12,762","2,600",Final,,,
202210,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Fiji,"141,750","38,444",0,0,"141,750","38,444",Final,,,
202210,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Malaysia,"3,120,287","57,544",0,0,"3,120,287","57,544",Final,,,
202210,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Papua New Guinea,"120,152","5,193",0,0,"120,152","5,193",Final,,,
202210,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Tonga,"4,125","1,500",0,0,"4,125","1,500",Final,,,
202210,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Vanuatu,"2,750","1,000",0,0,"2,750","1,000",Final,,,
202210,201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,French Polynesia,"35,575","2,420",0,0,"35,575","2,420",Final,,,
202210,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,United Arab Emirates,"195,259","9,939",0,0,"195,259","9,939",Final,,,
202210,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Australia,"4,051",275,0,0,"4,051",275,Final,,,
202210,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Belgium,"38,059","1,241",0,0,"38,059","1,241",Final,,,
