Month,Harmonised System Code,Harmonised System Description,Unit Qty,Imports ($NZD vfd),Imports ($NZD cif),Imports Qty,Status,,
202210,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"1,097,615","1,421,645",44,Final,,
202210,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"1,534,737","1,686,637",26,Final,,
202210,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"107,500","120,000",2,Final,,
202210,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"55,000","66,700",2,Final,,
202210,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"278,735","295,582",2,Final,,
202210,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"420,170","471,570",8,Final,,
202210,106190019,"Mammals; live, dogs",NMB,"125,759","198,536",28,Final,,
202210,106190029,"Mammals; live, other than primates, whales, dolphins, porpoises (order Cetacea), manatees, dugongs (order Sirenia), seals, sea lions, walruses (suborder Pinnipedia), camels, other camelids, rabbits, hares, deer, and dogs",NMB,"20,494","28,973",6,Final,,
202210,106490000,"Insects; live, other than bees",NMB,"5,950","7,601","1,378",Final,,
202210,106900000,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds, and insects",NMB,"3,991","7,705","650,000,114",Final,,
202210,201200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"102,453","103,490","5,025",Final,,
202210,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"238,035","242,914","23,485",Final,,
202210,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"1,862,777","1,905,987","153,974",Final,,
202210,202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,49,72,20,Final,,
202210,202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"375,264","383,367","39,756",Final,,
202210,202300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"3,759,608","3,877,039","422,942",Final,,
202210,203120009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, fresh or chilled",KGM,"80,528","91,296","5,742",Final,,
202210,203190009,"Meat; of swine (other than wild pork), fresh or chilled, (excluding carcasses, half-carcasses, and hams, shoulders and cuts thereof, with bone in)",KGM,"190,254","208,787","26,621",Final,,
202210,203210008,"Meat; of swine, carcasses and half-carcasses, (other than wild pork), frozen",KGM,"19,108","35,804","6,199",Final,,
202210,203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,"1,621,235","1,821,672","396,210",Final,,
202210,203290011,"Meat; of swine n.e.c. in item no. 0203.2, frozen, meat bones and hocks",KGM,"219,932","258,216","78,424",Final,,
202210,203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"19,182,513","20,562,806","3,604,638",Final,,
202210,204220001,"Meat; of sheep, lamb cuts with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,11,13,0,Final,,
202210,204420001,"Meat; of sheep, lamb cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"1,755,491","1,806,853","234,242",Final,,
202210,204420009,"Meat; of sheep (excluding lamb), cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,812,"1,197",324,Final,,
202210,204430001,"Meat; of sheep, boneless cuts of lamb, frozen",KGM,"549,534","561,985","45,851",Final,,
202210,206210000,"Offal, edible; of bovine animals, tongues, frozen",KGM,"27,455","29,358","3,749",Final,,
202210,206290029,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.2, frozen",KGM,"89,023","107,735","5,905",Final,,
202210,206490001,"Offal, edible; of swine, hearts, frozen",KGM,"181,855","194,958","71,679",Final,,
202210,206490009,"Offal, edible; of swine, kidneys, frozen",KGM,"3,103","3,811","2,600",Final,,
202210,206490019,"Offal, edible; of swine, n.e.c. in item no. 0206.4, frozen",KGM,"314,083","339,879","124,496",Final,,
202210,206900019,"Offal, edible; of lamb, livers, frozen",KGM,"29,328","33,097","12,730",Final,,
202210,206900059,"Offal, edible; of sheep (excluding lamb), livers, frozen",KGM,"24,816","28,005","10,771",Final,,
202210,207440000,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, fresh or chilled",KGM,11,13,0,Final,,
