Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202510,0101210010,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, stallions",NMB,"281,595",2,0,0,"281,595",2,Provisional
202510,0101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,"5,000",1,0,0,"5,000",1,Provisional
202510,0101210027,"Horses; live, pure-bred breeding animals, thoroughbred, breeding stock, excluding race or sport breeding stock, mares",NMB,"363,264",4,0,0,"363,264",4,Provisional
202510,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"2,227,482",20,"2,995,000",12,"5,222,482",32,Provisional
202510,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"1,176,404",7,0,0,"1,176,404",7,Provisional
202510,0101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"286,931",8,0,0,"286,931",8,Provisional
202510,0101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"182,035",5,0,0,"182,035",5,Provisional
202510,0101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"83,927",5,0,0,"83,927",5,Provisional
202510,0101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"160,531",5,0,0,"160,531",5,Provisional
202510,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"1,280,516","134,005",0,0,"1,280,516","134,005",Provisional
202510,0105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"4,030,160","159,777",0,0,"4,030,160","159,777",Provisional
202510,0106110000,"Mammals; live, primates",NMB,"1,000",1,0,0,"1,000",1,Provisional
202510,0201100019,"Meat; of bovine animals, half-carcasses n.e.c. in item no. 0201.10, fresh or chilled",KGM,"12,196",355,0,0,"12,196",355,Provisional
202510,0201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,"322,211","25,094",0,0,"322,211","25,094",Provisional
202510,0201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"1,279,980","56,653",0,0,"1,279,980","56,653",Provisional
202510,0201200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"27,299",858,0,0,"27,299",858,Provisional
202510,0201200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0201.20, fresh or chilled",KGM,"21,172","1,387",0,0,"21,172","1,387",Provisional
202510,0201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"71,720,979","3,393,473",0,0,"71,720,979","3,393,473",Provisional
202510,0201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"228,040","18,812",0,0,"228,040","18,812",Provisional
202510,0201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,"1,315,310","56,954",0,0,"1,315,310","56,954",Provisional
202510,0201300021,"Meat; of bovine animals, boneless cuts of veal (bobby), fresh or chilled",KGM,"31,854","1,826",0,0,"31,854","1,826",Provisional
202510,0202100001,"Meat; of bovine animals, carcasses, frozen",KGM,"77,327","15,450",0,0,"77,327","15,450",Provisional
202510,0202100011,"Meat; of bovine animals, half-carcasses of veal (other than bobby), frozen",KGM,"29,130","7,019",0,0,"29,130","7,019",Provisional
202510,0202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,"33,506","1,064",0,0,"33,506","1,064",Provisional
202510,0202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,"697,385","194,798",0,0,"697,385","194,798",Provisional
202510,0202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"9,406,891","1,184,115","1,939",105,"9,408,830","1,184,220",Provisional
202510,0202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"3,350,003","1,213,422",0,0,"3,350,003","1,213,422",Provisional
202510,0202200051,"Meat; of bovine animals, beef cuts of bull, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"2,050,534","488,680",0,0,"2,050,534","488,680",Provisional
202510,0202200059,"Meat; of bovine animals, veal (other than bobby) quarters and cuts, with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"1,450,234","211,692",0,0,"1,450,234","211,692",Provisional
202510,0202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,"10,451,567","2,090,650",0,0,"10,451,567","2,090,650",Provisional
202510,0202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"108,025,825","9,232,840",0,0,"108,025,825","9,232,840",Provisional
202510,0202300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"10,816,411","1,098,485",0,0,"10,816,411","1,098,485",Provisional
202510,0202300011,"Meat; of bovine animals, boneless cuts of bull, frozen",KGM,"24,163,482","1,923,816",0,0,"24,163,482","1,923,816",Provisional
202510,0202300021,"Meat; of bovine animals, boneless cuts of veal (bobby), frozen",KGM,"30,959,677","2,665,479",0,0,"30,959,677","2,665,479",Provisional
202510,0202300029,"Meat; of bovine animals, boneless cuts of veal (other than bobby), frozen",KGM,"1,090,467","125,059",0,0,"1,090,467","125,059",Provisional
202510,0203120009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, fresh or chilled",KGM,"5,951",324,0,0,"5,951",324,Provisional
202510,0203190009,"Meat; of swine (other than wild pork), fresh or chilled, (excluding carcasses, half-carcasses, and hams, shoulders and cuts thereof, with bone in)",KGM,244,2,"9,270","1,507","9,514","1,509",Provisional
202510,0203210008,"Meat; of swine, carcasses and half-carcasses, (other than wild pork), frozen",KGM,"5,420",441,0,0,"5,420",441,Provisional
202510,0203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,"12,061","1,203","206,138","24,802","218,199","26,006",Provisional
202510,0203290011,"Meat; of swine n.e.c. in item no. 0203.2, frozen, meat bones and hocks",KGM,"2,805",404,"16,649","2,604","19,454","3,008",Provisional
202510,0203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"404,421","43,365","240,733","28,980","645,154","72,345",Provisional
202510,0204100032,"Meat; of sheep, lamb carcasses and half-carcasses, YL grade, fresh or chilled",KGM,"4,589",357,0,0,"4,589",357,Provisional
202510,0204100038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, fresh or chilled",KGM,"37,174","2,252",0,0,"37,174","2,252",Provisional
202510,0204100042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, fresh or chilled",KGM,"116,529","7,079",0,0,"116,529","7,079",Provisional
202510,0204100048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.10, fresh or chilled",KGM,"39,290","1,357",0,0,"39,290","1,357",Provisional
202510,0204220001,"Meat; of sheep, lamb cuts with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"73,799,107","3,438,853",0,0,"73,799,107","3,438,853",Provisional
202510,0204230001,"Meat; of sheep, boneless cuts of lamb, fresh or chilled",KGM,"35,513,247","1,182,353",0,0,"35,513,247","1,182,353",Provisional
202510,0204230009,"Meat; of sheep (excluding lamb), boneless cuts, fresh or chilled",KGM,"10,187",347,0,0,"10,187",347,Provisional
202510,0204300002,"Meat; of sheep, lamb carcasses and half-carcasses, A grade, frozen",KGM,"63,411","4,181",0,0,"63,411","4,181",Provisional
202510,0204300022,"Meat; of sheep, lamb carcasses and half-carcasses, PM grade, frozen",KGM,"2,179",140,0,0,"2,179",140,Provisional
202510,0204300028,"Meat; of sheep, lamb carcasses and half-carcasses, PX grade, frozen",KGM,"81,946","6,759",0,0,"81,946","6,759",Provisional
202510,0204300032,"Meat; of sheep, lamb carcasses and half-carcasses, YL grade, frozen",KGM,"108,737","7,751",0,0,"108,737","7,751",Provisional
202510,0204300038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, frozen",KGM,"481,296","34,499",0,0,"481,296","34,499",Provisional
202510,0204300042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, frozen",KGM,"711,158","51,395",0,0,"711,158","51,395",Provisional
202510,0204300048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.30, frozen",KGM,"13,612","1,304",0,0,"13,612","1,304",Provisional
202510,0204410002,"Meat; of sheep, hogget carcasses and half-carcasses, HL grade, frozen",KGM,"112,820","12,113",0,0,"112,820","12,113",Provisional
202510,0204410022,"Meat; of sheep, mutton carcasses and half-carcasses, MF grade, frozen",KGM,"329,284","45,823",0,0,"329,284","45,823",Provisional
202510,0204410028,"Meat; of sheep, mutton carcasses and half-carcasses, MH grade, frozen",KGM,"453,569","63,352",0,0,"453,569","63,352",Provisional
202510,0204410032,"Meat; of sheep, mutton carcasses and half-carcasses, ML grade, frozen",KGM,"30,137","3,696",0,0,"30,137","3,696",Provisional
202510,0204410042,"Meat; of sheep, mutton carcasses and half-carcasses, MX grade, frozen",KGM,"4,086,971","497,049",0,0,"4,086,971","497,049",Provisional
202510,0204410048,"Meat; of sheep, mutton carcasses and half-carcasses n.e.c. in item no. 0204.41, frozen",KGM,"1,575,650","195,512",0,0,"1,575,650","195,512",Provisional
202510,0204410058,"Meat; of sheep, ram carcasses and half-carcasses, frozen",KGM,"81,481","11,392",0,0,"81,481","11,392",Provisional
202510,0204420001,"Meat; of sheep, lamb cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"198,463,826","16,806,665",0,0,"198,463,826","16,806,665",Provisional
202510,0204420009,"Meat; of sheep (excluding lamb), cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"7,752,271","899,809",0,0,"7,752,271","899,809",Provisional
202510,0204430001,"Meat; of sheep, boneless cuts of lamb, frozen",KGM,"56,998,060","3,368,608",0,0,"56,998,060","3,368,608",Provisional
202510,0204430009,"Meat; of sheep (excluding lamb), boneless cuts, frozen",KGM,"1,072,088","76,194",0,0,"1,072,088","76,194",Provisional
202510,0204500000,"Meat; of goats, fresh, chilled or frozen",KGM,"653,607","49,507",0,0,"653,607","49,507",Provisional
202510,0206100029,"Offal, edible; of bovine animals, tongues, fresh or chilled",KGM,"175,253","6,238",0,0,"175,253","6,238",Provisional
202510,0206100039,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.10, fresh or chilled",KGM,"994,842","54,814",0,0,"994,842","54,814",Provisional
202510,0206210000,"Offal, edible; of bovine animals, tongues, frozen",KGM,"3,540,724","434,836",0,0,"3,540,724","434,836",Provisional
202510,0206220000,"Offal, edible; of bovine animals, livers, frozen",KGM,"1,418,304","541,240",0,0,"1,418,304","541,240",Provisional
202510,0206290001,"Offal, edible; of bovine animals, brains, frozen",KGM,"5,872",280,0,0,"5,872",280,Provisional
202510,0206290009,"Offal, edible; of bovine animals, hearts, frozen",KGM,"927,990","191,134",0,0,"927,990","191,134",Provisional
202510,0206290011,"Offal, edible; of bovine animals, kidneys, frozen",KGM,"93,105","50,041",0,0,"93,105","50,041",Provisional
202510,0206290019,"Offal, edible; of bovine animals, sweetbreads, frozen",KGM,"33,894","1,496",0,0,"33,894","1,496",Provisional
202510,0206290029,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.2, frozen",KGM,"5,627,850","628,131",0,0,"5,627,850","628,131",Provisional
202510,0206300029,"Offal, edible; of swine, n.e.c. in item no. 0206.30, fresh or chilled",KGM,467,18,228,6,695,24,Provisional
202510,0206490019,"Offal, edible; of swine, n.e.c. in item no. 0206.4, frozen",KGM,420,21,0,0,420,21,Provisional
202510,0206900001,"Offal, edible; of lamb, brains, frozen",KGM,"36,013","2,002",0,0,"36,013","2,002",Provisional
202510,0206900009,"Offal, edible; of lamb, hearts, frozen",KGM,"901,922","185,237",0,0,"901,922","185,237",Provisional
202510,0206900011,"Offal, edible; of lamb, kidneys, frozen",KGM,"772,580","156,244",0,0,"772,580","156,244",Provisional
202510,0206900019,"Offal, edible; of lamb, livers, frozen",KGM,"830,959","321,489",0,0,"830,959","321,489",Provisional
202510,0206900021,"Offal, edible; of lamb, sweetbreads, frozen",KGM,"184,438","9,508",0,0,"184,438","9,508",Provisional
202510,0206900029,"Offal, edible; of lamb, tongues, frozen",KGM,"228,520","18,580",0,0,"228,520","18,580",Provisional
202510,0206900039,"Offal, edible; of lamb, n.e.c. in item no. 0206.90, frozen",KGM,"1,656,522","192,453",0,0,"1,656,522","192,453",Provisional
202510,0206900049,"Offal, edible; of sheep (excluding lamb), hearts, frozen",KGM,"305,535","64,514",0,0,"305,535","64,514",Provisional
202510,0206900059,"Offal, edible; of sheep (excluding lamb), livers, frozen",KGM,"798,222","246,902",0,0,"798,222","246,902",Provisional
202510,0206900069,"Offal, edible; of sheep (excluding lamb), tongues, frozen",KGM,"33,788","2,976",0,0,"33,788","2,976",Provisional
202510,0206900079,"Offal, edible; of sheep (excluding lamb), n.e.c. in item no. 0206.90, frozen",KGM,"269,608","57,552",0,0,"269,608","57,552",Provisional
202510,0206900081,"Offal, edible; of goats, horses, asses, mules or hinnies, hearts, frozen",KGM,"4,575","1,293",0,0,"4,575","1,293",Provisional
202510,0206900099,"Offal, edible; of goats, horses, asses, mules or hinnies, n.e.c. in item no. 0206.90, frozen",KGM,"18,944","8,163",0,0,"18,944","8,163",Provisional
202510,0207110000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",KGM,"26,518","1,882",0,0,"26,518","1,882",Provisional
202510,0207120000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",KGM,"1,030,314","248,481",0,0,"1,030,314","248,481",Provisional
202510,0207130000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",KGM,"797,076","93,354",0,0,"797,076","93,354",Provisional
202510,0207141000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, livers",KGM,301,40,0,0,301,40,Provisional
202510,0207149000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, excluding livers",KGM,"3,895,391","1,029,236",0,0,"3,895,391","1,029,236",Provisional
202510,0207250000,"Meat and edible offal; of turkeys, not cut in pieces, frozen",KGM,"50,438","4,463",0,0,"50,438","4,463",Provisional
202510,0207279000,"Meat and edible offal; of turkeys, cuts and offal, frozen, excluding livers",KGM,"11,002","1,939",0,0,"11,002","1,939",Provisional
202510,0207420010,"Meat and edible offal; of ducks, not cut in pieces, frozen",KGM,"13,027","1,568",0,0,"13,027","1,568",Provisional
202510,0207459000,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen, excluding livers",KGM,"1,605",100,0,0,"1,605",100,Provisional
202510,0208900011,"Meat and edible meat offal; of deer, fresh, chilled or frozen, pizzles",KGM,"247,687","3,306",0,0,"247,687","3,306",Provisional
202510,0208900013,"Meat and edible meat offal; of deer, fresh, chilled or frozen, tails",KGM,"434,297","4,094",0,0,"434,297","4,094",Provisional
202510,0208900015,"Meat and edible meat offal; of deer, fresh, chilled or frozen, offal (excluding pizzles or tails)",KGM,"257,723","12,161",0,0,"257,723","12,161",Provisional
202510,0208900017,"Edible meat; other than offal, of deer, venison, chilled",KGM,"7,880,621","222,362",0,0,"7,880,621","222,362",Provisional
202510,0208900018,"Edible meat; other than offal, of deer, venison, frozen",KGM,"9,387,790","584,198",0,0,"9,387,790","584,198",Provisional
202510,0210110009,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, salted, in brine or dried",KGM,35,1,0,0,35,1,Provisional
202510,0210120000,"Meat; of swine, bellies (streaky) and cuts thereof, salted, in brine, dried or smoked",KGM,0,0,"75,464","6,535","75,464","6,535",Provisional
202510,0210190001,"Meat; of swine, bacon, salted, in brine, dried or smoked",KGM,"78,960","2,856","150,964","10,596","229,924","13,452",Provisional
202510,0210190011,"Meat; of swine, pork n.e.c. in heading 0210, salted or pickled",KGM,182,1,0,0,182,1,Provisional
202510,0210190029,"Meat; of swine, n.e.c. in heading 0210, dried",KGM,0,0,98,1,98,1,Provisional
202510,0210200000,"Meat; of bovine animals, salted, in brine, dried or smoked",KGM,"18,672",143,0,0,"18,672",143,Provisional
202510,0210993021,"Meat and edible meat offal; of deer, edible offal, preserved, salted, in brine, dried or smoked, pizzles",KGM,"77,663",100,0,0,"77,663",100,Provisional
202510,0210993050,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, n.e.c. in heading 0210",KGM,"385,903","6,398",0,0,"385,903","6,398",Provisional
202510,0301910009,"Fish; live, trout, (oncorhynchus mykiss/clarki/aguabonita/gilae/apache/chrysogaster), n.e.c. in item no. 0301.91.00.01",KGM,"9,009",429,0,0,"9,009",429,Provisional
202510,0301920000,"Fish; live, eels (anguilla spp.)",KGM,"94,615","6,700",0,0,"94,615","6,700",Provisional
202510,0302130010,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), whole",KGM,"1,447,551","50,042",0,0,"1,447,551","50,042",Provisional
202510,0302130015,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), headed and gutted",KGM,"6,456,896","219,038",0,0,"6,456,896","219,038",Provisional
202510,0302130029,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"5,855,534","186,164",0,0,"5,855,534","186,164",Provisional
202510,0302230001,"Fish; fresh or chilled, sole (Solea spp.), whole",KGM,"4,178",286,0,0,"4,178",286,Provisional
202510,0302240010,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), whole",KGM,"13,314","1,061",0,0,"13,314","1,061",Provisional
