Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202510,0101210010,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, stallions",NMB,Australia,"281,595",2,0,0,"281,595",2,Provisional
202510,0101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,Australia,"5,000",1,0,0,"5,000",1,Provisional
202510,0101210027,"Horses; live, pure-bred breeding animals, thoroughbred, breeding stock, excluding race or sport breeding stock, mares",NMB,Australia,"363,264",4,0,0,"363,264",4,Provisional
202510,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Australia,"1,050,482",8,0,0,"1,050,482",8,Provisional
202510,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Hong Kong (Special Administrative Region),"1,142,000",5,"2,995,000",12,"4,137,000",17,Provisional
202510,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Malaysia,"35,000",7,0,0,"35,000",7,Provisional
202510,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Australia,"1,166,404",6,0,0,"1,166,404",6,Provisional
202510,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Malaysia,"10,000",1,0,0,"10,000",1,Provisional
202510,0101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,Australia,"286,931",8,0,0,"286,931",8,Provisional
202510,0101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,Australia,"182,035",5,0,0,"182,035",5,Provisional
202510,0101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,Australia,"83,927",5,0,0,"83,927",5,Provisional
202510,0101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,Australia,"160,531",5,0,0,"160,531",5,Provisional
202510,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Fiji,"78,459","30,300",0,0,"78,459","30,300",Provisional
202510,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Malaysia,"899,047","74,018",0,0,"899,047","74,018",Provisional
202510,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,French Polynesia,"41,976","5,114",0,0,"41,976","5,114",Provisional
202510,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Papua New Guinea,"208,302","24,480",0,0,"208,302","24,480",Provisional
202510,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Samoa,"52,732",93,0,0,"52,732",93,Provisional
202510,0105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Fiji,"272,274","22,130",0,0,"272,274","22,130",Provisional
202510,0105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Japan,"1,910,829","36,850",0,0,"1,910,829","36,850",Provisional
202510,0105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Sri Lanka,"893,309","12,180",0,0,"893,309","12,180",Provisional
202510,0105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Malaysia,"716,998","66,764",0,0,"716,998","66,764",Provisional
202510,0105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,French Polynesia,"59,302","12,252",0,0,"59,302","12,252",Provisional
202510,0105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Papua New Guinea,"148,753","4,501",0,0,"148,753","4,501",Provisional
202510,0105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Tonga,"28,695","5,100",0,0,"28,695","5,100",Provisional
