Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Imports ($NZD vfd),Imports ($NZD cif),Imports Qty,Status
202510,0101210041,"Horses; live, pure-bred breeding animals, standardbred, breeding stock, excluding race or sport breeding stock, stallions",NMB,Australia,"5,114","10,114",1,Provisional
202510,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Australia,"912,738","995,113",13,Provisional
202510,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,New Zealand,"435,149","479,549",7,Provisional
202510,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Australia,"263,497","292,997",5,Provisional
202510,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Ireland,"122,000","136,080",2,Provisional
202510,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,New Zealand,"2,094,107","2,222,992",20,Provisional
202510,0101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,Australia,"5,000","11,250",1,Provisional
202510,0101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,New Zealand,"30,000","36,050",1,Provisional
202510,0101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,Australia,"114,129","146,879",5,Provisional
202510,0106190019,"Mammals; live, dogs",NMB,Australia,"38,497","58,362",13,Provisional
202510,0106190019,"Mammals; live, dogs",NMB,Switzerland,"4,500","16,880",1,Provisional
202510,0106190019,"Mammals; live, dogs",NMB,United Kingdom,"3,810","16,596",2,Provisional
202510,0106190019,"Mammals; live, dogs",NMB,New Zealand,"60,000","70,180",2,Provisional
202510,0106190019,"Mammals; live, dogs",NMB,Sweden,"4,708","17,738",1,Provisional
202510,0106190019,"Mammals; live, dogs",NMB,United States of America,"4,386","11,166",1,Provisional
