Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201909,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,"736,860",28,"335,640",2,"1,072,500",30,Final,,,,
201909,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"6,164,998",58,"333,330",1,"6,498,328",59,Final,,,,
201909,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"1,067,220",28,"1,405,391",3,"2,472,611",31,Final,,,,
201909,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"89,811",8,0,0,"89,811",8,Final,,,,
201909,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"7,000",2,0,0,"7,000",2,Final,,,,
201909,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"40,370",4,"70,498",1,"110,868",5,Final,,,,
201909,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"89,000",5,0,0,"89,000",5,Final,,,,
201909,102290010,"Cattle; live, other than pure-bred, for breeding, dairy",NMB,"7,711,493","3,983",0,0,"7,711,493","3,983",Final,,,,
201909,104100001,"Sheep; live, for breeding",NMB,"13,830",8,0,0,"13,830",8,Final,,,,
201909,104200010,"Goats; live, for breeding",NMB,"72,888",3,0,0,"72,888",3,Final,,,,
201909,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"4,913,088","189,997","448,389","14,976","5,361,477","204,973",Final,,,,
201909,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"211,834","21,988",0,0,"211,834","21,988",Final,,,,
201909,105990001,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g, for breeding",NMB,"329,299","63,897",0,0,"329,299","63,897",Final,,,,
201909,106410029,"Insects; live, bees other than queen bees",NMB,"1,970",300,0,0,"1,970",300,Final,,,,
201909,201200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, fresh or chilled",KGM,"13,784",976,0,0,"13,784",976,Final,,,,
201909,201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,"44,328","1,306",0,0,"44,328","1,306",Final,,,,
201909,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"1,179,586","98,177",0,0,"1,179,586","98,177",Final,,,,
201909,201200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"1,588",250,0,0,"1,588",250,Final,,,,
201909,201200059,"Meat; of bovine animals, quarters and cuts of veal (other than bobby), with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"11,808",666,0,0,"11,808",666,Final,,,,
201909,201200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0201.20, fresh or chilled",KGM,"41,831","4,383",0,0,"41,831","4,383",Final,,,,
201909,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"29,499,644","2,140,477",0,0,"29,499,644","2,140,477",Final,,,,
