Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202209,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"3,330,472",22,"1,190,000",8,"4,520,472",30,Final,,,,
202209,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"1,513,270",8,0,0,"1,513,270",8,Final,,,,
202209,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"291,231",17,0,0,"291,231",17,Final,,,,
202209,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"130,600",8,0,0,"130,600",8,Final,,,,
202209,101290021,"Horses; live, other than pure-bred breeding animals, sport horses, other than for racing, thoroughbred, stallions, colts, and geldings",NMB,"68,180",3,0,0,"68,180",3,Final,,,,
202209,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"22,801",5,0,0,"22,801",5,Final,,,,
202209,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"95,993",6,0,0,"95,993",6,Final,,,,
202209,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"5,499,873","1,635",0,0,"5,499,873","1,635",Final,,,,
202209,102210019,"Cattle; live, pure-bred breeding animals, beef",NMB,"24,029,614","11,113",0,0,"24,029,614","11,113",Final,,,,
202209,102290010,"Cattle; live, other than pure-bred, for breeding, dairy",NMB,"9,092,112","4,081",0,0,"9,092,112","4,081",Final,,,,
202209,104100001,"Sheep; live, for breeding",NMB,"7,620",4,0,0,"7,620",4,Final,,,,
202209,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"4,121,665","209,680",0,0,"4,121,665","209,680",Final,,,,
202209,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"2,002,958","96,919",0,0,"2,002,958","96,919",Final,,,,
202209,106190019,"Mammals; live, dogs",NMB,"3,000",2,0,0,"3,000",2,Final,,,,
202209,201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,"75,456","6,749",0,0,"75,456","6,749",Final,,,,
202209,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"995,575","51,942",0,0,"995,575","51,942",Final,,,,
202209,201200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0201.20, fresh or chilled",KGM,"49,180","4,281",0,0,"49,180","4,281",Final,,,,
202209,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"38,142,361","2,171,577","1,709",81,"38,144,070","2,171,658",Final,,,,
202209,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"799,505","75,752",0,0,"799,505","75,752",Final,,,,
202209,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,"1,588,713","90,818",0,0,"1,588,713","90,818",Final,,,,
