Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,
202209,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Australia,"3,047,472",17,"1,030,000",5,"4,077,472",22,Final,,,
202209,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Malaysia,0,0,"20,000",2,"20,000",2,Final,,,
202209,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Singapore,"283,000",5,"140,000",1,"423,000",6,Final,,,
202209,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Australia,"1,513,270",8,0,0,"1,513,270",8,Final,,,
202209,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,Australia,"291,231",17,0,0,"291,231",17,Final,,,
202209,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,Australia,"130,600",8,0,0,"130,600",8,Final,,,
202209,101290021,"Horses; live, other than pure-bred breeding animals, sport horses, other than for racing, thoroughbred, stallions, colts, and geldings",NMB,Australia,"68,180",3,0,0,"68,180",3,Final,,,
202209,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,Australia,"22,801",5,0,0,"22,801",5,Final,,,
202209,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,Australia,"95,993",6,0,0,"95,993",6,Final,,,
202209,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"China, People's Republic of","5,499,873","1,635",0,0,"5,499,873","1,635",Final,,,
202209,102210019,"Cattle; live, pure-bred breeding animals, beef",NMB,"China, People's Republic of","24,029,614","11,113",0,0,"24,029,614","11,113",Final,,,
202209,102290010,"Cattle; live, other than pure-bred, for breeding, dairy",NMB,"China, People's Republic of","9,092,112","4,081",0,0,"9,092,112","4,081",Final,,,
202209,104100001,"Sheep; live, for breeding",NMB,Japan,"7,620",4,0,0,"7,620",4,Final,,,
202209,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Cook Islands,"3,479",650,0,0,"3,479",650,Final,,,
202209,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"China, People's Republic of","2,512,919","54,080",0,0,"2,512,919","54,080",Final,,,
202209,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Fiji,"188,535","68,778",0,0,"188,535","68,778",Final,,,
202209,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,French Polynesia,"16,807","4,500",0,0,"16,807","4,500",Final,,,
202209,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Papua New Guinea,"211,198","22,660",0,0,"211,198","22,660",Final,,,
202209,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Philippines,"994,850","34,472",0,0,"994,850","34,472",Final,,,
202209,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Viet Nam,"170,080","18,240",0,0,"170,080","18,240",Final,,,
202209,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,Samoa,"23,797","6,300",0,0,"23,797","6,300",Final,,,
202209,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Fiji,"104,365","29,190",0,0,"104,365","29,190",Final,,,
202209,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Malaysia,"1,701,214","29,330",0,0,"1,701,214","29,330",Final,,,
202209,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,French Polynesia,"39,395","15,460",0,0,"39,395","15,460",Final,,,
202209,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Papua New Guinea,"115,391","9,869",0,0,"115,391","9,869",Final,,,
202209,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Tonga,"27,135","9,050",0,0,"27,135","9,050",Final,,,
202209,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,Vanuatu,"15,458","4,020",0,0,"15,458","4,020",Final,,,
202209,106190019,"Mammals; live, dogs",NMB,Australia,"3,000",2,0,0,"3,000",2,Final,,,
202209,201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,French Polynesia,"60,384","6,057",0,0,"60,384","6,057",Final,,,
202209,201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,Singapore,"15,072",692,0,0,"15,072",692,Final,,,
202209,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,United Arab Emirates,"205,377","12,209",0,0,"205,377","12,209",Final,,,
202209,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Australia,"21,783","1,098",0,0,"21,783","1,098",Final,,,
202209,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Belgium,"11,251",413,0,0,"11,251",413,Final,,,
202209,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Bahrain,"44,999","2,515",0,0,"44,999","2,515",Final,,,
202209,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Canada,"21,747",871,0,0,"21,747",871,Final,,,
202209,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"China, People's Republic of","63,119","3,690",0,0,"63,119","3,690",Final,,,
202209,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Denmark,"1,237",67,0,0,"1,237",67,Final,,,
202209,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Faeroe Islands,"1,213",70,0,0,"1,213",70,Final,,,
202209,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Hong Kong (Special Administrative Region),"4,817",231,0,0,"4,817",231,Final,,,
202209,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Italy,"7,327",394,0,0,"7,327",394,Final,,,
202209,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Jordan,"11,714",463,0,0,"11,714",463,Final,,,
202209,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Japan,"12,905",629,0,0,"12,905",629,Final,,,
202209,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Kuwait,"17,023","1,060",0,0,"17,023","1,060",Final,,,
202209,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,New Caledonia,"39,297","1,776",0,0,"39,297","1,776",Final,,,
202209,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Oman,"57,773","2,818",0,0,"57,773","2,818",Final,,,
202209,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,French Polynesia,"248,304","12,286",0,0,"248,304","12,286",Final,,,
202209,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Qatar,"10,413",712,0,0,"10,413",712,Final,,,
202209,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Saudi Arabia,"23,648","1,167",0,0,"23,648","1,167",Final,,,
202209,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Singapore,"45,284","1,822",0,0,"45,284","1,822",Final,,,
202209,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,United States of America,"136,163","6,993",0,0,"136,163","6,993",Final,,,
202209,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Wallis and Futuna,"10,181",658,0,0,"10,181",658,Final,,,
202209,201200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0201.20, fresh or chilled",KGM,Hong Kong (Special Administrative Region),"1,907",67,0,0,"1,907",67,Final,,,
202209,201200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0201.20, fresh or chilled",KGM,French Polynesia,"47,273","4,214",0,0,"47,273","4,214",Final,,,
202209,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,United Arab Emirates,"2,133,138","126,640",0,0,"2,133,138","126,640",Final,,,
202209,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Australia,"427,581","27,461",0,0,"427,581","27,461",Final,,,
202209,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Belgium,"835,004","25,494",0,0,"835,004","25,494",Final,,,
202209,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Bahrain,"471,629","28,446",0,0,"471,629","28,446",Final,,,
202209,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Canada,"565,285","33,161",0,0,"565,285","33,161",Final,,,
202209,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Switzerland,"8,156",255,0,0,"8,156",255,Final,,,
