Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202509,0101210010,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, stallions",NMB,"281,595",2,0,0,"281,595",2,Provisional
202509,0101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,"10,668",4,0,0,"10,668",4,Provisional
202509,0101210033,"Horses; live, pure-bred breeding animals, standardbred, race breeding stock, mares",NMB,"15,000",1,0,0,"15,000",1,Provisional
202509,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"3,298,862",24,"1,140,000",5,"4,438,862",29,Provisional
202509,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"41,112",8,0,0,"41,112",8,Provisional
202509,0101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"297,143",13,0,0,"297,143",13,Provisional
202509,0101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"262,192",7,0,0,"262,192",7,Provisional
202509,0101290027,"Horses; live, other than pure-bred breeding animals, sport horses, other than for racing, standardbred, stallions, colts, and geldings",NMB,"9,000",1,0,0,"9,000",1,Provisional
202509,0101290029,"Horses; live, other than pure-bred breeding animals, sport horses, other than for racing, standardbred, mares and fillies",NMB,"8,500",1,0,0,"8,500",1,Provisional
202509,0101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"387,626",19,0,0,"387,626",19,Provisional
202509,0101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"635,389",14,0,0,"635,389",14,Provisional
202509,0105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"2,291,872","153,532",0,0,"2,291,872","153,532",Provisional
202509,0105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"1,463,899","64,344",0,0,"1,463,899","64,344",Provisional
202509,0201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,"171,002","7,368",0,0,"171,002","7,368",Provisional
202509,0201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"871,655","46,718",0,0,"871,655","46,718",Provisional
202509,0201200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"1,759",51,0,0,"1,759",51,Provisional
202509,0201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"57,701,190","2,852,864",0,0,"57,701,190","2,852,864",Provisional
202509,0201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"248,216","19,336",0,0,"248,216","19,336",Provisional
202509,0201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,"919,477","36,444",0,0,"919,477","36,444",Provisional
202509,0202100001,"Meat; of bovine animals, carcasses, frozen",KGM,"97,888","15,930",0,0,"97,888","15,930",Provisional
202509,0202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,"125,466","11,058",0,0,"125,466","11,058",Provisional
202509,0202200029,"Meat; of bovine animals, beef quarters of cow, G grade, with bone in, frozen",KGM,"177,548","24,199",0,0,"177,548","24,199",Provisional
202509,0202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,"892,331","214,435",0,0,"892,331","214,435",Provisional
202509,0202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"9,800,029","1,295,282",0,0,"9,800,029","1,295,282",Provisional
202509,0202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"3,000,512","1,237,262",0,0,"3,000,512","1,237,262",Provisional
202509,0202200051,"Meat; of bovine animals, beef cuts of bull, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"2,493,382","538,686",0,0,"2,493,382","538,686",Provisional
202509,0202200059,"Meat; of bovine animals, veal (other than bobby) quarters and cuts, with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"891,392","164,105",0,0,"891,392","164,105",Provisional
