Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Imports ($NZD vfd),Imports ($NZD cif),Imports Qty,Status
202509,0101210010,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, stallions",NMB,Australia,"5,056","10,056",1,Provisional
202509,0101210019,"Horses; live, pure-bred breeding animals, thoroughbred, sport breeding stock, excluding race breeding stock, mares",NMB,Australia,"196,315","202,765",1,Provisional
202509,0101210027,"Horses; live, pure-bred breeding animals, thoroughbred, breeding stock, excluding race or sport breeding stock, mares",NMB,Australia,"8,989","13,989",1,Provisional
202509,0101210033,"Horses; live, pure-bred breeding animals, standardbred, race breeding stock, mares",NMB,New Zealand,"4,000","10,450",1,Provisional
202509,0101210035,"Horses; live, pure-bred breeding animals, standardbred, sport breeding stock, excluding race breeding stock, stallions",NMB,Australia,"6,742","11,742",1,Provisional
202509,0101210041,"Horses; live, pure-bred breeding animals, standardbred, breeding stock, excluding race or sport breeding stock, stallions",NMB,Germany,"7,022","12,022",1,Provisional
202509,0101210049,"Horses; live, pure-bred breeding animals, standardbred, breeding stock, excluding race or sport breeding stock, mares",NMB,Germany,"28,090","33,090",1,Provisional
202509,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Australia,"189,800","233,860",7,Provisional
202509,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,Ireland,"52,054","58,504",1,Provisional
202509,0101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,New Zealand,"11,000","17,450",1,Provisional
202509,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,Australia,"338,330","351,040",2,Provisional
202509,0101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,New Zealand,"250,000","262,330",2,Provisional
202509,0101290027,"Horses; live, other than pure-bred breeding animals, sport horses, other than for racing, standardbred, stallions, colts, and geldings",NMB,United States of America,"25,000","85,173",1,Provisional
202509,0101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,Australia,"110,000","116,450",1,Provisional
202509,0101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,Australia,"83,169","101,919",3,Provisional
202509,0101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,New Zealand,"745,568","790,918",7,Provisional
202509,0106190019,"Mammals; live, dogs",NMB,Australia,"39,453","52,456",16,Provisional
202509,0106190019,"Mammals; live, dogs",NMB,Canada,"1,500","9,250",1,Provisional
202509,0106190019,"Mammals; live, dogs",NMB,United Kingdom,"2,040","4,963",1,Provisional
202509,0106190019,"Mammals; live, dogs",NMB,Norway,"1,721","2,727",1,Provisional
202509,0106190019,"Mammals; live, dogs",NMB,United States of America,"2,586","6,341",1,Provisional
202509,0106190029,"Mammals; live, other than primates, whales, dolphins, porpoises (order Cetacea), manatees, dugongs (order Sirenia), seals, sea lions, walruses (suborder Pinnipedia), camels, other camelids, rabbits, hares, deer, and dogs",NMB,Australia,"4,494","5,003",2,Provisional
202509,0106190029,"Mammals; live, other than primates, whales, dolphins, porpoises (order Cetacea), manatees, dugongs (order Sirenia), seals, sea lions, walruses (suborder Pinnipedia), camels, other camelids, rabbits, hares, deer, and dogs",NMB,United Kingdom,"14,286","16,956",1,Provisional
202509,0106190029,"Mammals; live, other than primates, whales, dolphins, porpoises (order Cetacea), manatees, dugongs (order Sirenia), seals, sea lions, walruses (suborder Pinnipedia), camels, other camelids, rabbits, hares, deer, and dogs",NMB,Netherlands,"15,300","32,008",10,Provisional
202509,0106190029,"Mammals; live, other than primates, whales, dolphins, porpoises (order Cetacea), manatees, dugongs (order Sirenia), seals, sea lions, walruses (suborder Pinnipedia), camels, other camelids, rabbits, hares, deer, and dogs",NMB,Poland,"3,061","9,544",2,Provisional
202509,0106490000,"Insects; live, other than bees",NMB,Costa Rica,"8,845","11,190","1,760",Provisional
202509,0106900000,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds, and insects",NMB,Germany,"7,712","10,882",186,Provisional
202509,0201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Australia,"1,375,762","1,394,612","69,716",Provisional
202509,0201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Australia,"4,801,300","4,866,393","306,531",Provisional
202509,0202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Australia,"161,433","163,776","5,250",Provisional
202509,0202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,New Zealand,"64,451","70,934","21,721",Provisional
202509,0202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,New Zealand,"33,568","37,826","8,955",Provisional
202509,0202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,Australia,"1,161","1,757",51,Provisional
202509,0202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,Australia,"1,488,708","1,522,638","180,819",Provisional
202509,0202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,Japan,"66,527","67,942",728,Provisional
202509,0202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,New Zealand,"204,293","214,758","17,546",Provisional
